F16F9/0218	｛単一管状ユニット（Ｆ１６Ｆ９／０２２７，Ｆ１６Ｆ９／０２３６，Ｆ１６Ｆ９／０２４５が優先）｝
F16F9/0227	｛ピストン構造によって特徴付けられるもの｝
F16F9/0236	｛中空ピストンロッドを有することによって特徴付けられるもの｝
F16F9/0245	｛ばねや減衰装置の長さを調整したり，または固定したりする手段｝
F16F9/0254	｛機械的に固定可能なもの，例．摩擦カラーを使用するもの（翼を保持するため拡張装置の機械的固定Ｅ０５Ｃ１７／３０）｝
F16F9/0263	｛作動手段によって特徴付けられるもの，例．手動式レバー装置（Ｆ１６Ｆ９／０２５４が優先）｝
F16F9/0272	｛ピストンロッドからピストンへと伸びた制御用ロットをもつもの｝
F16F9/0281	｛細部｝
F16F9/029	｛電気，例．接続または接触｝
F16F9/04	可撓壁をもつ室の中にあるもの｛（合成樹脂製中空物を生産すること，例．空気式蛇腹，Ｂ２９Ｄ２２／００）｝
F16F9/0409	｛壁構造によって特徴付けられるもの｝
F16F9/0418	｛特定形状を有するもの，例．輪状，球状，管状のもの（Ｆ１６Ｆ９／０５が優先）｝
F16F9/0427	｛トロイダル形状｝
F16F9/0436	｛一般的な閉鎖空間に包含されることにより特徴付けられるもの｝
F16F9/0445	｛中間リングまたは他の埋め込まれていない強化要素によって特徴付けられるもの（壁構造Ｆ１６Ｆ９／０４０９）｝
F16F9/0454	｛組立て方法または取付装置によって特徴付けられるもの，例．薄膜の取付（Ｆ１６Ｆ９／０４０９，Ｆ１６Ｆ９／０４４５が優先）｝
F16F9/0463	｛別個の圧接ばねをもつもの｝
F16F9/0472	｛減衰装置を構成することにより特徴付けられるもの（部材の可塑性変形をもつものＦ１６Ｆ７／１２；遅延装置または配列Ｆ１５Ｂ２１／１０）｝
F16F9/0481	｛外部に開放されているもの｝
F16F9/049	｛複数室からなるもの（Ｆ１６Ｆ９／０４７２，Ｆ１６Ｆ９／０５が優先）｝
F16F9/05	可撓壁がローリングダイヤフラム型であるもの
F16F9/052	｛バンパーによって特徴付けられるもの｝
F16F9/055	｛二重ダイアフラム構造をもつもの｝
F16F9/057	｛ピストンによって特徴付けられるもの｝
F16F9/06	ガスおよび液体両方を用いるもの｛（Ｆ１６Ｆ９／４８６が優先；自己ポンピング流体ばねＢ６０Ｇ１７／０４４）｝
F16F9/061	｛単一管状ユニット｝
F16F9/062	｛二管状ユニット｝
F16F9/063	｛中空ピストンロッドを構成するもの｝
F16F9/064	｛拡張室の位置または形状によって特徴付けられるもの（Ｆ１６Ｆ９／０６８，Ｆ１６Ｆ９／０８が優先）｝
F16F9/065	｛拡張室が減衰装置の上端または下端に接しているか離れているもの，または減衰装置の側面に位置するもの｝
F16F9/066	｛仕切り，バッフルまたは同様の要素で特徴付けられるもの（Ｆ１６Ｆ９／０６８，Ｆ１６Ｆ９／０８が優先）｝
F16F9/067	｛ピストン型式の仕切り，例．すべりピストン｝
F16F9/068	｛気体の絞りが減衰作用を提供するもの｝
F16F9/08	｛気体が可撓壁をもつ室にあるもの｝｛（加圧流体系蓄圧室そのものＦ１５Ｂ１／０４）｝
F16F9/081	｛流体移動型であること，すなわち減衰装置を構成しないピストン（Ｆ１６Ｆ９／０９６が優先）｝
F16F9/082	｛油圧空気圧式蓄圧室｝
F16F9/084	可撓壁内に封じ込められたガスばねからなるもので，その壁が減衰流体と接触していないもの，すなわち，減衰シリンダに外側から取り付けたもの
F16F9/088	シリンダ内の単筒型制振器のピストン棒上または複筒型制振器の内筒に備えられた可撓壁を有するガスばねからなるもの
F16F9/092	複筒型制振器の筒の間に備えられた可撓壁を有するガスばねからなるもの
