C09B29/0826	｛（【式】）を持つもの　｝
C09B29/0827	｛（【式】）を持つもの　｝
C09B29/0828	｛（【式】）を持つもの　｝
C09B29/0829	｛（【式】）を持つもの　｝
C09B29/083	｛（【式】）を持つもの　｝
C09B29/0832	｛（【式】）を持つもの　｝
C09B29/0833	｛次の置換基を除くベンゼン環の置換基に特徴があるもの，:　ＣＨ３，　Ｃ２Ｈ５，　Ｏ−アルキル，　ＮＨＣＯ−アルキル，　ＮＨＣＯＯ−アルキル，　ＮＨＣＯ−　Ｃ６Ｈ５，　ＮＨＣＯＯ−Ｃ６Ｈ５｝
C09B29/0834	｛−Ｏ−を介して結合されたもの　（ＯＨは　Ｃ０９Ｂ２９／２４，　Ｃ０９Ｂ２９／２６を参照）｝
C09B29/0835	｛−Ｓ−を介して結合されたもの｝
C09B29/0836	｛−Ｎ＝　を介して結合されたもの（複素環のものはＣ０９Ｂ２９／０８４６を参照）｝
C09B29/0838	｛特定のアルキル−ＣＯ−Ｎ−，　アラルキル　ＣＯＮ−，　シクロアルキルＣＯＮ−，　アルキルＯＣＯＮ−｝
C09B29/0839	｛特定の−ＮＣＯ　アリール，　−ＮＣＯ　ヘテロアリール｝
C09B29/084	｛特定の−ＮＳＯ２Ｎ　，ＮＳＯ２ＸＲ，　−ＮＳＯ２Ｒ｝
C09B29/0841	｛特定の−ＮＣＯＮ｝
C09B29/0842	｛−Ｃ−，　−ＣＳ−，　（【式】）を介して結合されたもの　；　−ＣＮ｝
C09B29/0844	｛アルキル基で置換されたもの，例．　ＣＦ３｝
C09B29/0845	｛ベンゼン環に直接結合した炭素環で置換されたもの｝　
C09B29/0846	｛ベンゼン環に直接結合した複素環で置換されたもの｝　
C09B29/0847	｛ハロゲンで置換されたもの｝
C09B29/0848	｛ＮＯ２で置換されたもの｝
C09B29/095	アミノ―ナフタレン
C09B29/0955	｛水溶性基を含むもの｝
C09B29/10	唯一のダイレクティンググループとしてヒドロキシ基を含むカップリング成分からのもの
C09B29/103	｛ナフタレン系のもの｝
C09B29/106	｛ナフタレン系のヒドロキシカルボン酸｝
C09B29/12	ベンゼン系
C09B29/14	ヒドロキシ―カルボン酸
C09B29/16	ナフトール−スルホン酸
C09B29/18	オルト―ヒドロキシカルボン酸アミド
C09B29/20	ナフタレン系
C09B29/22	複素環化合物
C09B29/24	ダイレクティンググループとしてヒドロキシ基およびアミノ基をともに含むカップリング成分からのもの
C09B29/26	アミノ―フェノール
C09B29/28	アミノ―ナフトール
C09B29/30	アミノ―ナフトールスルホン酸
C09B29/32	反応性メチレン基を含むカップリング成分からのもの
C09B29/322	｛酸基，例．　ＣＯＯＨ，　ＳＯ３Ｈ，　ＰＯ３Ｈ２，　ＯＳＯ３Ｈ，　ＯＰＯ２Ｈ２，を含むもの；　その塩｝
C09B29/325	｛酸基を持たないもの｝
