H05K3/426	｛金属を用いない基体内の貫通孔の初期メッキ｝
H05K3/427	｛金属被覆基体内の貫通孔の初期メッキ｝
H05K3/428	｛金属模様を有する基体内の貫通孔の初期メッキ｝
H05K3/429	｛特に多層回路用，例．内部回路層と接続するもの，のメッキされた貫通孔｝
H05K3/44	絶縁された金属心回路｛または他の絶縁された電気的導電性心回路｝の製造｛（Ｈ０５Ｋ３／００５８，Ｈ０５Ｋ３／４６０８，およびＨ０５Ｋ３／４６４１が優先）｝
H05K3/445	｛金属心を貫通する絶縁孔または絶縁ビア接続を有するもの｝
H05K3/46	多重層回路の製造
H05K3/4602	｛特別な回路基板を追加的な回路層が構築されまたは追加的な回路基板が積層される上で基礎または中央心に用いることに特徴のあるもの｝
H05K3/4605	｛無機絶縁材料から作られたもの｝
H05K3/4608	｛電気的に導電性の基礎または心材を含むもの｝
H05K3/4611	｛２またはそれ以上の回路基板の積層によるもの（Ｈ０５Ｋ３／４６５２が優先）｝
H05K3/4614	｛回路基板の間の電気的接続が積層をまたいで作られたもの｝
H05K3/4617	｛片面回路基板のみまたはそれにほぼ類似するものの積層に特徴のあるもの｝
H05K3/462	｛両面回路基板のみまたはそれにほぼ類似するものの積層に特徴のあるもの｝
