A43B7/12	特に水密性の履物（オーバーシューズＡ４３Ｂ３／１６）
A43B7/125	｛水蒸気を透過する部材，例．膜，を備えるもの（Ａ４３Ｂ２３／０２２が優先）｝
A43B7/14	足を支持する部品を有するもの
A43B7/1405	パッドまたは孔を１つまたはそれ以上の数の位置に有するもの，または解剖学的または曲線状の形状をもつもの
A43B7/141	｛解剖学的または曲線状の形状をもつもの｝
A43B7/1415	足の下に位置することに特徴のあるもの
A43B7/142	内側のアーチ部，すなわち，舟状骨または楔状骨の下に位置するもの
A43B7/1425	母指球，すなわち，第一中足骨と第一基節骨との間の関節，の下に位置するもの
A43B7/143	外側のアーチ部，すなわち，立方骨，の下に位置するもの
A43B7/1435	第五基節骨と第五中足骨との間の関節の下に位置するもの
A43B7/144	かかと，すなわち踵骨，の下に位置するもの
A43B7/1445	足の中央，すなわち二番目，三番目または四番目の中足骨，の下に位置するもの
A43B7/145	つま先，すなわち指趾骨，の下に位置するもの
A43B7/1455	特殊な性質を持つもの
A43B7/146	｛足のマッサージのために指圧する地点または手段を備えるもの｝
A43B7/1463	足に合うように改造することを可能にする取り外し可能なパッドのあるもの<br><br><u>警告</u><br><br>グループＡ４３Ｂ７／１４６３はグループＡ４３Ｂ７／１４６４からの文献の再分類が未完成であり保留されている。<br>グループＡ４３Ｂ７／１４６４およびＡ４３Ｂ７／１４６３はコンプリートサーチの完遂のために考慮されるべきである。
A43B7/1464	足に合うように改造することを可能にする調整可能なパッドのあるもの<br><br><u>警告</u><br><br>グループＡ４３Ｂ７／１４６４はグループＡ４３Ｂ７／１４６３，Ａ４３Ｂ７／１４６６，Ａ４３Ｂ７／１４６７，Ａ４３Ｂ７／１４６８およびＡ４３Ｂ７／１４６９への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
A43B7/1466	ねじまたはねじ筋により調整可能なもの<br><br><u>警告</u><br><br>グループＡ４３Ｂ７／１４６６はグループＡ４３Ｂ７／１４６４からの文献の再分類が未完成であり保留されている。<br>グループＡ４３Ｂ７／１４６４および４３Ｂ７／１４６６はコンプリートサーチの完遂のために考慮されるべきである。
A43B7/1467	弾性部材により調整可能なもの，例．スプリング<br><br><u>警告</u><br><br>グループＡ４３Ｂ７／１４６７はグループＡ４３Ｂ７／１４６４からの文献の再分類が未完成であり保留されている。<br>グループＡ４３Ｂ７／１４６４およびＡ４３Ｂ７／１４６７はコンプリートサーチの完遂のために考慮されるべきである。
A43B7/1468	シムにより調整可能なもの<br><br><u>警告</u><br><br>グループＡ４３Ｂ７／１４６８はグループＡ４３Ｂ７／１４６４からの文献の再分類が未完成であり保留されている。<br>グループＡ４３Ｂ７／１４６４およびＡ４３Ｂ７／１４６８はコンプリートサーチの完遂のために考慮されるべきである。
A43B7/1469	複数の利用可能な位置の中から選択して締め付けまたは固定することにより調整可能なもの<br><br><u>警告</u><br><br>グループＡ４３Ｂ７／１４６９はグループＡ４３Ｂ７／１４６４からの文献の再分類が未完成であり保留されている。<br>グループＡ４３Ｂ７／１４６４およびＡ４３Ｂ７／１４６９はコンプリートサーチの完遂のために考慮されるべきである。
A43B7/147	｛患者または身体障害者，例．骨関節炎または糖尿病の患者，のためのもの｝
A43B7/1475	支持体の種類に特徴のあるもの
A43B7/148	支持体またはパッドで充填された凹部または孔
A43B7/1485	パッドの厚みを部分的にまたは完全にせん孔する凹部または孔
A43B7/149	パッド，例．足対向面が突出しているもの
A43B7/1495	｛輪形のふまず支持体のあるもの｝
A43B7/16	内部に上げ底したかかと部を有するもの
A43B7/18	関節支持具，例．甲部支持具
A43B7/19	直接土面に接するもの
A43B7/20	くるぶしの関節支持具または保持具
A43B7/22	固定されたへん平足用そう入物，中足骨支持具，くるぶしあてまたは類似のものを有するもの
A43B7/223	｛構造的形状に特徴のあるもの｝
A43B7/226	｛材料に特徴のあるもの｝
A43B7/24	足が一方へ傾くのを防ぐ，｛回外または回内を防ぐ｝そう入物または他の支持具
A43B7/26	足指を定間隔に保持するための部材または足指を広げるための部材を有するもの
A43B7/28	靴の内底｛または甲被の側面｝を足の裏に合せるもの
A43B7/30	ふみつけ部を立っている圧力から保護するもの
A43B7/32	衝撃吸収手段を有するもの（弾性底Ａ４３Ｂ１３／１８）
A43B7/34	防熱具または防寒具を有するもの
A43B7/36	電気的接地手段を有するもの
A43B7/38	上げ底，すなわち高さをさらに高くしたもの（内部に上げ底したかかと部を有するものＡ４３Ｂ７／１６；生来の足の長さを長くするためのつなぎ合わせ具Ａ６１Ｆ３／００）
A43B9/00	個々の部分の組合せに特徴のある履物
A43B9/02	縫着または釘打ちされた履物
A43B9/04	細革を取付けた履物（細革Ａ４３Ｂ１５／００）
A43B9/06	縫着または釘打ちした履物
A43B9/08	ターンシュー式の履物
A43B9/10	外方へ折曲げられた甲被を有する履物
A43B9/12	糊着または接着した履物
A43B9/125	｛一時的な保護用の中底または内底を用いるもの｝
A43B9/14	プラットフォームをもつ靴
A43B9/16	甲被にモールド成形底をつけた履物または接着剤を用いずに甲被に底を溶着した履物
A43B9/18	成形したもの
A43B9/20	溶着したもの
A43B11/00	着脱を容易にする装置を有するもの，例．つまみを有するもの
A43B11/02	くつべらを取付けたもの
A43B13/00	底；底およびかかとが一体になったもの
A43B13/02	材料に特徴のあるもの<br><br><u>警告</u><br><br>グループＡ４３Ｂ１３／０２はグループＡ４３Ｂ１３／０６への再分類の影響を受ける。<br>グループＡ４３Ｂ１３／０２およびＡ４３Ｂ１３／０６はコンプリートサーチの完遂のために考慮されるべきである。
A43B13/023	｛同質材を積層した底｝
A43B13/026	｛複合材，例．炭素繊維またはアラミド繊維；１つ以上の底の層または底の部品が複合材で作られた底｝
A43B13/04	合成樹脂，ゴムまたはバルカンファイバー
