F21V29/58	冷却液に特徴のあるもの
F21V29/59	｛冷却液を強制流動させるもの｝
F21V29/60	気体，例．空気，の強制流動の使用に特徴のあるもの
F21V29/61	制御手段に特徴のあるもの
F21V29/63	電気駆動振動手段を使用するもの；イオン風を使用するもの
F21V29/65	閉回路の中で気体を流動させるもの
F21V29/67	ファンの配置に特徴のあるもの
F21V29/673	｛ファンが吸入に用いられるもの｝
F21V29/677	｛ファンが排出に用いられるもの｝
F21V29/70	自然冷却による放熱体に特徴のあるもの，例．ヒートシンク
F21V29/71	別々の放熱体を熱伝導手段により相互接続したもの，例．別々のヒートシンクの間をヒートパイプまたは熱伝導棒で接続したもの
F21V29/713	｛相互の直接的な熱的及び機械的接触により単一の系を形成するもの｝
F21V29/717	｛分割または分離され熱的に相互に連結されるユニットを用いるもの，例．熱伝導性棒状体またはヒートパイプ｝
F21V29/73	放熱体が相互に調節可能なもの，例．ヒンジ結合されたもの
F21V29/74	フィンまたはブレードのあるもの
F21V29/745	｛フィンまたはブレードが平面状であって，フィンまたはブレードが延出する接合面に対して傾斜しているもの｝
F21V29/75	異なる形状，厚みまたは間隔をもつフィンまたはブレードのあるもの
F21V29/76	実質的に同一のフィンまたはブレードが平行に配置されるもの，例．櫛のような横断面をもつもの
F21V29/763	｛フィンまたはブレードを含む平面が光軸の方向を向くもの｝
F21V29/767	｛フィンまたはブレードを含む平面が光軸に垂直な方向を向くもの｝
F21V29/77	実質的に同一のフィンまたはブレードが放射状に配置されるもの，例．ファンまたは星のような横断面をもつもの
F21V29/773	｛フィンまたはブレードを含む平面が光軸の方向を向くもの｝
F21V29/777	｛フィンまたはブレードを含む平面が光軸に垂直な方向を向くもの｝
F21V29/78	フィンまたはブレードがらせん状または渦巻き状に配置されるもの
F21V29/80	ピンまたはワイヤのあるもの
F21V29/81	形状，長さまたは間隔が異なるピンまたはワイヤのあるもの
F21V29/83	放熱体が開口部，ダクトまたは溝をもつもの，例．熱放射孔
F21V29/85	材料に特徴のあるもの（冷却液Ｆ２１Ｖ２９／５６）
F21V29/86	｛セラミックまたはガラス｝
F21V29/87	有機材料，例．ポリマー充填複合材；そのための熱伝導性添加剤またはコーティング
F21V29/89	金属
F21V29/90	加熱手段
F21V31/00	気密または水密装置
F21V31/005	｛そのための密封装置｝
F21V31/03	通気できるもの｛（車両の前照灯のものＦ２１Ｓ４５／３３，車両の後部照明灯のものＦ２１Ｓ４１／１９２）｝
F21V31/04	充てん物の供給
F21V33/00	他に分類されない，その他の物品と照明装置との構造的な組み合わせ
F21V33/0004	｛個人の商品または家庭の商品｝
F21V33/0008	｛衣類または衣類の付属品，例．スカーフ，手袋またはベルト｝
F21V33/0012	｛備品類（病院のベッドＦ２１Ｖ３３／００７２）｝
F21V33/0016	｛窓やドアのための備品類（日除けＦ２１Ｖ３３／００６）｝
F21V33/002	｛コンパクトディスク等のためのラック｝
F21V33/0024	｛家庭用またはテーブル用の機器｝
F21V33/0028	｛装飾用の家庭用機器，例．植物ホルダまたは模擬食品｝
F21V33/0032	｛塗料，絵画または写真；その枠｝
F21V33/0036	｛食器またはテーブル用機器，例．皿，刃物類またはトレイ｝
