F15B2201/31	剛性分離手段，例．ピストン，のあるもの
F15B2201/312	それらのための密封，例．ピストンリング
F15B2201/315	柔軟な分離手段のあるもの
F15B2201/3151	柔軟な分離手段がダイアフラムまたは膜であるもの
F15B2201/3152	柔軟な分離手段が空気袋であるもの
F15B2201/3153	柔軟な分離手段が蛇腹であるもの
F15B2201/3154	柔軟な分離手段が完全に取り囲まれているもの，例．ガスを詰めたボールまたは泡
F15B2201/3155	柔軟な分離手段の材料に特徴のあるもの
F15B2201/3156	それらの取付けに特徴のあるもの
F15B2201/3157	柔軟な分離手段の密封
F15B2201/3158	柔軟な分離手段の案内，例．つぶされた空気袋のためのもの
F15B2201/32	複数の分離手段のあるもの，例．主ピストンの内部をスライドする予備ピストンをもつもの，複数の膜をもつものまたはそれらの組み合わせ
F15B2201/40	他に分類されないアキュムレータの構造的細部
F15B2201/405	ハウジング
F15B2201/4053	材料に特徴のあるもの
F15B2201/4056	ハウジングの構成要素の取り付けに特徴のあるもの
F15B2201/41	液体の出入口
F15B2201/411	弁手段のあるもの
F15B2201/413	複数の液体の出入口のあるもの
F15B2201/415	気体の出入口
F15B2201/4155	弁手段のあるもの
F15B2201/42	等温的な圧縮および拡張のための熱回収器
F15B2201/43	はみ出し防止手段
F15B2201/435	分離手段に固定されているもの
F15B2201/50	アキュムレータのための監視，検出および試験手段
F15B2201/505	アキュムレータの試験，例．締め付け度の試験
F15B2201/51	圧力の検出
F15B2201/515	分離手段のための位置の検出
F15B2201/60	アキュムレータの製造のための組立てまたは方法
F15B2201/605	そのハウジングの製造のための組立てまたは方法
F15B2201/61	その分離手段の製造のための組立てまたは方法
F15B2201/615	その出入口の製造のための組立てまたは方法
F15B2211/00	サーボモータ系のための回路
F15B2211/20	流体圧力源，例．アキュムレータまたは可変軸ピストンポンプ
F15B2211/205	ポンプをもつ系
F15B2211/20507	原動力の形式
F15B2211/20515	電動機
F15B2211/20523	内燃機関
F15B2211/2053	ポンプの形式
F15B2211/20538	不変容量
F15B2211/20546	可変容量
F15B2211/20553	パイロット回路をもつもの，例．回転斜板を制御するためのもの
F15B2211/20561	逆転可能なもの
F15B2211/20569	ポンプおよびモータとして作動することが可能であるもの
F15B2211/20576	複数のポンプもつもの
F15B2211/20584	高容量および低容量のポンプの組み合わせ
F15B2211/20592	高圧力および低圧力を供給するためのポンプの組み合わせ
F15B2211/21	ポンプ以外の圧力源，例．燃焼式装薬，をもつ系
F15B2211/212	圧力源がアキュムレータであるもの
F15B2211/214	圧力源が水力変換器であるもの
F15B2211/216	圧力源が空気圧から水圧への変換器であるもの
F15B2211/218	圧力源が燃焼式装薬であるもの
F15B2211/25	圧力制御の機能
F15B2211/251	高圧力の制御
F15B2211/252	低圧力の制御
F15B2211/253	圧力マージン，例．負荷圧力との関係におけるポンプ圧力，の制御
F15B2211/255	流量制御の機能
F15B2211/26	電力制御の機能
F15B2211/265	複数圧力源の制御
F15B2211/2652	優先順位のないもの
F15B2211/2654	１以上の圧力源が優先であるもの
F15B2211/2656	ポンプの制御によるもの
F15B2211/2658	原動力の制御によるもの
F15B2211/27	圧力源による方向の制御
F15B2211/275	原動力の制御，例．水力制御
F15B2211/30	方向の制御
F15B2211/305	弁の形式に特徴のあるもの
F15B2211/30505	逆止め弁，すなわち逆止弁
F15B2211/3051	クロスチェック弁
F15B2211/30515	負荷保持弁
F15B2211/3052	シャトル弁
F15B2211/30525	方向制御弁，例．４／３−方向制御弁
F15B2211/3053	圧力補償弁との組み合わせにおけるもの
F15B2211/30535	圧力補償弁が圧力源と方向制御弁との間に配置されたもの
