B31B50/8126	｛ウェブまたはブランクの移動の方向に平行であるもの｝
B31B50/8127	｛ウェブまたはブランクの移動の方向に垂直であるもの｝
B31B50/8128	｛ウェブまたはブランクが細長い片または紐の適用中に静止しているもの｝
B31B50/8129	｛ウェブまたはブランクが細長い片または紐の適用中に移動するもの｝
B31B50/813	｛ウェブまたはブランクの移動の方向に傾斜するものまたは非定常の経路におけるもの｝
B31B50/814	｛ブランク，ウェブまたは箱への閉鎖要素の適用｝
B31B50/8142	｛閉鎖要素状のボタンと紐状体またはワッシャの適用｝
B31B50/8144	｛他の閉鎖要素，例．ホックおよびループ型の固定具，の適用｝
B31B50/82	窓を形成または取付けるもの<br><br><u>警告</u><br><br>グループＢ３１Ｂ５０／８２はグループＢ３１Ｂ５０／７４からの文献の再分類が未完であり保留されている。<br>グループＢ３１Ｂ５０／８２もまたグループＢ３１Ｂ５０／８３への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B31B50/83	窓となる開口を切断により設けるもの<br><br><u>警告</u><br><br>グループＢ３１Ｂ５０／８３はグループＢ３１Ｂ５０／７４およびＢ３１Ｂ５０／８２からの文献の再分類が未完であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B31B50/84	内容物を充填または分配するための手段，例．弁またはスパウト，を形成または取付けるもの<br><br><u>警告</u><br><br>グループＢ３１Ｂ５０／８４はグループＢ３１Ｂ５０／７４およびＢ３１Ｂ５０／８１からの文献の再分類が未完であり保留されている。<br>グループＢ３１Ｂ５０／８４もまたグループＢ３１Ｂ５０／８５への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B31B50/85	パッチまたは可撓性弁インサートを適用するもの，例．フィルム状の弁を適用するもの<br><br><u>警告</u><br><br>グループＢ３１Ｂ５０／８５はグループＢ３１Ｂ５０／７４，Ｂ３１Ｂ５０／８１およびＢ３１Ｂ５０／８４からの文献の再分類が未完であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B31B50/86	一体の取手を形成するもの；別体の取手を取り付けるもの<br><br><u>警告</u><br><br>グループＢ３１Ｂ５０／８６〜Ｂ３１Ｂ５０／９８はグループＢ３１Ｂ５０／７４からの文献の再分類が未完であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B31B50/87	｛別体の把手の箱，例．引用カップ，への取付け｝
B31B50/88	印刷するもの；エンボス加工するもの
B31B50/92	移送するもの
B31B50/94	一つずつまたは間欠的に
B31B50/96	部分的に重なり合った状態で
B31B50/98	山または束にして
B31B50/99	手道具を使用するもの<br><br><u>警告</u><br><br>グループＢ３１Ｂ５０／９９はグループＢ３１Ｂ２２４７／００からの文献の再分類が未完であり保留されている。<br>グループＢ３１Ｂ５０／９９もまたグループＢ３１Ｂ７０／９９への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B31B70/00	可撓性容器の製造，例．封筒または袋<br><br><u>注</u><br><br>１．可撓性容器および剛性または準剛性容器の両方を製造するための工程または装置はグループＢ３１Ｂ５０／００に分類する。<br>２．このグループにおいては，グループＢ３１Ｂ２１５０／００〜Ｂ３１Ｂ２１７０／００のインデキシングコードを付与することが望ましい。
B31B70/001	｛折りたたみ以外の方法での，圧力をかけてのシート材の成形｝
B31B70/002	｛穴あけまたは金型を用いるもの｝
B31B70/003	｛袋を開きまたは張り広げるもの｝
B31B70/004	｛袋を閉じるもの｝
B31B70/005	｛機械類の特別なレイアウトまたは関連するそのサブユニットの配置を含むもの｝
B31B70/006	｛制御；規制；計測；安全対策｝
B31B70/008	強化または補強（Ｂ３１Ｂ７０／８７６が優先）<br><br><u>警告</u><br><br>グループＢ３１Ｂ７０／００８はグループＢ３１Ｂ７０／８７６への再分類の影響を受ける。<br>グループＢ３１Ｂ７０／００８およびＢ３１Ｂ７０／８７６はコンプリートサーチの完遂のために考慮されるべきである。
B31B70/02	シート，ブランクまたはウエブを送りまたは位置させるもの
B31B70/022	｛シートまたはウェブを送るまたは位置させるための保持具｝
B31B70/024	｛回転する保持具，例．星形車，ドラム｝
B31B70/04	シートまたはブランクを送るもの
B31B70/10	ウエブを送りまたは位置させるもの
B31B70/14	切断するもの，例．ミシン目を入れ，穴をあけ，切り裂きまたは切り整えるもの（窓明き部を切断するものＢ３１Ｂ７０／８３）<br><br><u>警告</u><br><br>グループＢ３１Ｂ７０／１４はグループＢ３１Ｂ７０／８３への再分類の影響を受ける。<br>グループＢ３１Ｂ７０／１４およびＢ３１Ｂ７０／８３はコンプリートサーチの完遂のために考慮されるべきである。
B31B70/142	｛プレスまたは金型を用いるもの｝
B31B70/144	｛ベルトまたはチェーン上に取り付けられた道具を用いるもの｝
B31B70/146	｛ドラム上に取り付けられた道具を用いるもの｝
B31B70/148	｛ウェブまたはシートの側部からの部分の切り取り｝
B31B70/16	ウエブを切断するもの
B31B70/18	長手方向に
B31B70/20	シートまたはブランクを切断するもの 
B31B70/25	｛表面に筋を付ける加工｝
B31B70/252	｛プレスまたは金型を用いるもの｝
B31B70/254	｛ベルトまたはチェーン上に取り付けられた道具を用いるもの｝
B31B70/256	｛ドラム上に取り付けられた道具を用いるもの｝
B31B70/26	シート，ブランクまたはウエブを折りたたむもの
B31B70/261	｛直交する折りたたみ，すなわち，移動の方向に垂直な線に沿ってのもの，を含むもの｝
B31B70/262	｛長手方向の折りたたみ，すなわち，移動の方向に平行な線に沿ってのもの，を含むもの｝
B31B70/266	｛折り込み形成を含むもの｝
B31B70/28	｛マンドレルを取り囲むもの｝
B31B70/30	｛移動するマンドレル｝
B31B70/36	それらを静止した部材，例．平板，鋤形部材または芯棒，に連続的に送ることによるもの
B31B70/44	｛折りたたみ用の型内を動くプランジャによるもの｝
B31B70/52	往復または振動するプランジャと型以外の部材，例．指状部材，によるもの
B31B70/56	｛羽根と協働する回転部材によるもの｝
B31B70/58	｛ベルトまたはチェーンによって移動するもの｝
B31B70/60	向かい合う面または端縁を結合するもの；テープを貼ること<br><br><u>警告</u><br><br>グループＢ３１Ｂ７０／６０はグループＢ３１Ｂ７０／６１〜Ｂ３１Ｂ７０／６８への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B31B70/61	｛細長い片またはシートを当てて固定することによるもの｝<br><br><u>警告</u><br><br>グループＢ３１Ｂ７０／６１〜Ｂ３１Ｂ７０／６８はグループＢ３１Ｂ７０／６０からの文献の再分類が未完であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B31B70/62	接着剤によるもの
B31B70/626	｛接着剤の設置を許可するための配置｝
B31B70/628	｛筒状のウェブを形成するために移動するウェブ上への接着剤の適用｝
B31B70/64	熱または圧力を加えることによるもの（接着剤が適用された領域を結合するためのものＢ３１Ｂ７０／６２）
B31B70/642	｛密封顎または密封型を用いるもの｝
B31B70/643	｛積み重ねられたシート上でのもの，例．積み重ねられた袋の密封｝
B31B70/644	｛移動の方向に平行な密封，すなわち，長手方向の密封，の作成｝
B31B70/645	｛移動の方向に直交する密封の作成｝
B31B70/648	｛ベルトまたはチェーン上に取り付けられた道具を用いるもの｝
B31B70/649	｛ドラム上に取り付けられた道具を用いるもの｝
B31B70/66	高周波電気で加熱するもの
B31B70/68	縫いとじ，ステープル留めまたはリベット留めによるもの
B31B70/74	補助的な操作<br><br><u>警告</u><br><br>グループＢ３１Ｂ７０／７４はグループＢ３１Ｂ７０／７６〜Ｂ３１Ｂ７０／９８８への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
