B65H9/101	｛物品の端部に作用するもの｝
B65H9/103	｛摩擦力または吸着力を利用して押すかまたは引っ張ることで物品を整合位置に移動させるもの，例．ストッパに対抗するもの｝
B65H9/105	｛吸着手段を用いるもの｝
B65H9/106	｛物品への作用部として被駆動回転素子を用いるもの（Ｂ６５Ｈ９／１０５が優先；物品が主たる向きに前進中に横方向の整合を行うものＢ６５Ｈ９／１６）｝
B65H9/108	｛エアブラストを利用するもの｝
B65H9/12	物品挾持具で整合されるもの
B65H9/14	物品が停止装置に到着したときこれの前進運動を遅延または制御すること
B65H9/16	傾斜テープ，ローラまたは同様の物品移送端整合器
B65H9/163	｛テープ｝
B65H9/166	｛ローラ｝
B65H9/18	反射板，レンズ，透明板または機械的指示器のような装置による補助
B65H9/20	光電式，音響式または空気式指示器による補助
B65H11/00	供給テーブル
B65H11/002	｛移送ベルトを組み込むもの｝
B65H11/005	｛吸引ベルト｝
B65H11/007	｛前方停止装置を備えるもの｝
B65H11/02	物品の面内での角度調整
B65H13/00	一部が重ね合せられた堆積物の形成を容易にするための堆積物の端部の昇降
B65H15/00	物品の反転
B65H15/004	
B65H15/008	
B65H15/012	
B65H15/016	
B65H15/02	堆積物の反転
B65H16/00	ウエブの巻戻し，送り出し　｛（リール・トゥ・リールタイプのウェブ巻取り巻戻し機構Ｂ６５Ｈ１８／１０３，Ｂ６５Ｈ１８／１４５）｝
B65H16/005	｛ディスペンサー，例．ウエブロールの部分のみを巻き戻す機械｝
B65H16/02	ウエブロールの支持
B65H16/021	｛複数のウェブロール支持具または保持具｝
B65H16/023	｛回転可能なもの｝
B65H16/024	
B65H16/028	｛その外周で支持するもの（Ｂ６５Ｈ１６／０８が優先）｝
B65H16/04	片持ち型
B65H16/06	両端型
B65H16/08	平行ローラ型
B65H16/10	ウエブロールを確実に回転させる装置
B65H16/103	｛ウェブロールのスピンドルに動力が加えらえるもの｝
B65H16/106	｛ウェブロールに動力が加えられるもの｝
B65H18/00	ウエブの巻取り
B65H18/02	ウェブロールの支持
B65H18/021	｛複数のウェブロール支持具または保持具｝
B65H18/0212	
B65H18/023	｛その外周で支持するもの｝
B65H18/025	｛平行ローラ型｝
B65H18/026	｛片持ち型｝
B65H18/028	｛両持ち型｝
B65H18/04	内部からの支持
B65H18/06	横からの支持
B65H18/08	ウエブ巻取り機構
B65H18/085	｛不連続に巻き取るもの｝
B65H18/10	動力がウエブロールのスピンドルに加えられる機構
B65H18/103	｛リール・トゥ・リールタイプのウェブ巻取り巻戻し機構｝
B65H18/106	｛並置した複数のストリップ用｝
B65H18/12	ウエブを間欠送給するもの
B65H18/14	動力がウエブロールに加えられる機構，例．ウエブを連続送給するもの
B65H18/145	｛リール・トゥ・リールタイプのウェブ巻取り巻戻し機構｝
B65H18/16	摩擦ローラによるもの
B65H18/18	ウエブを間欠送給するもの
B65H18/20	少なくとも一方が駆動される２つの平行ローラ上に支持されるウエブロール
B65H18/22	摩擦バンドによるもの
B65H18/24	ウエブを間欠送給するもの
B65H18/26	巻取りウエブ包装体への接触圧制御装置，例．ウエブ層間の空気量を調整するもの
B65H18/28	巻取りの後のウエブロールの形状
B65H19/00	ウエブロールの交換
B65H19/10	巻戻し機構におけるもの，または巻戻し操作に関係するもの
B65H19/102	｛重ね継ぎ作業前の交換ウェブの先端の前処理；交換ウェブの先端への接着剤の塗布；重ね継ぎ用のタブと接着テープ｝
B65H19/105	｛ウェブロールの開口；損傷した外層の取り外し；閉じたウェブロールの先端の検知｝
B65H19/107	｛重ね継ぎ作業後の，交換したウェブの終端処理，例．終端の再巻取り｝
B65H19/12	ウエブロールの昇降，移送，または挿入；空巻芯の取外し
B65H19/123	｛片持ち支持装置をもつもの｝
B65H19/126	｛両持ち支持装置をもつもの｝
B65H19/14	ウエブロールの交換中に機械に送給する余剰ウエブ集積
B65H19/18	使用ずみウエブに対する交換ウエブの取付け，例．貼着　｛（交換ウェブの先端への接着剤の塗布，重ね継ぎ用のタブおよび接着テープＢ６５Ｈ１９／１０２；駆動手段それ自体Ｂ６５Ｈ１９／１６(ＥＣＬＡ)）｝
B65H19/1805	｛フライングスプライス，すなわち重ね継ぎ部を接合する前に交換ウェブが加速されるもの｝
B65H19/181	｛交換ロール上で行われるもの｝
B65H19/1815	｛ロール支持具が直進運動および／またはアーチ形運動をするもの（Ｂ６５Ｈ１９／１８２１が優先）｝
B65H19/1821	｛ロール保持具が小塔タイプのもの｝
B65H19/1826	｛交換ロールと距離をおいて行われるもの｝
B65H19/1831	｛ロール保持具が直進運動および／またはアーチ形運動をするもの（Ｂ６５Ｈ１９／１８３６が優先）｝
B65H19/1836	｛ロール保持具が小塔タイプのもの｝
B65H19/1842	｛スタンディングスプライス，すなわち重ね継ぎ部を接合する前に交換ウェブを一旦停止させるもの｝
B65H19/1847	｛交換ロール上で行われるもの｝
B65H19/1852	｛交換ロールと距離をおいて行われるもの｝
B65H19/1857	｛ウェブロールの支持装置｝
B65H19/1863	｛ロール支持体の並進または円弧状移動があるもの｝
B65H19/1868	｛タレットタイプのロール支持体｝
B65H19/1873	｛交互に交換および期限切れになるロールを担持する二つの静止ロール支持体を備えるもの｝
B65H19/1878	｛ロール用の１つの静止支持体を備えるもの｝
B65H19/1884	｛ウェブロールの正回転を実行する，例．交換ロールを加速するための詳細｝
B65H19/1889	｛駆動装置に関するもの｝
B65H19/1894	｛期限切れウェブとの接触により加速される交換ウェブ｝
B65H19/20	使用ずみウエブ切断
B65H19/22	巻取り機構におけるもの，または巻取り操作に関係するもの
B65H19/2207	｛ウェブロールを中央駆動型または芯駆動型の巻取り機構によって駆動するもの｝
B65H19/2215	｛２つのロール保持具を有する小塔タイプのもの｝
B65H19/2223	｛３つ以上のロール保持具を有する小塔タイプのもの｝
B65H19/223	｛ロール保持具が共通路に沿って別々に移動可能なもの｝
B65H19/2238	｛ウェブロールを圧搾駆動型または接線力駆動型の巻取り機構によって駆動するもの（Ｂ６５Ｈ１９／２２７６が優先）｝
B65H19/2246	｛加えて，ロールが２つのローラ上に支持されているもの｝
