A63F1/00	カードゲーム
A63F2009/0047	ビールマットまたはコースター；食卓用マット
A63F2009/0049	玩具またはゲームとして２次使用を有するもの
A63F2009/005	灰皿
A63F2009/0052	栓抜き
A63F2009/0053	カップ
A63F2009/0055	ベン油
A63F2009/0056	家具，例．ベッド
A63F2009/0058	ガラスコップ
A63F2009/0059	札入れ
A63F2009/0061	カレンダ
A63F2009/0063	ライター
A63F2009/0064	健康または医療用機器に関する項目
A63F2009/0066	コンドーム
A63F2009/0067	紙ばさみ
A63F2009/0069	洗濯ばさみ
A63F2009/007	貯金箱
A63F2009/0072	ホイッスル
A63F9/0073	｛面または空間に駒の特定の配列を得るためのゲーム（Ａ６３Ｆ９／０８が優先；三目並べＡ６３Ｆ３／００Ｆ(ＥＣＬＡ)；三次元チェスに類似するゲームＡ６３Ｆ３／０２Ｈ１(ＥＣＬＡ)）｝
A63F2009/0075	ハノイの塔
A63F9/0076	｛技術的，工業的または科学的な活動を表現するゲーム，例．油探査，宇宙船の航行ゲーム｝
A63F9/0078	｛迷路ゲーム（Ａ６３Ｆ３／００Ｌ(ＥＣＬＡ)，Ａ６３Ｆ７／０４が優先）｝
A63F9/0079	｛圧縮空気を用いるゲーム，例．送風機，気球を有するもの（Ａ６３Ｆ７／０６６，Ａ６３Ｆ７／０８Ｂ(ＥＣＬＡ)が優先）｝
A63F2009/0081	吸収または真空を使用するもの
A63F2009/0083	風船を有するゲーム
A63F2009/0084	破裂すること
A63F2009/0086	膨張可能物を使用するもの
A63F2009/0087	気流をつくるための手段を有するもの
A63F2009/0089	口によって吹かれるもの
A63F2009/009	圧縮空気によるもの
A63F2009/0092	空気銃
A63F9/0093	｛パンチボード｝
A63F2009/0095	異なった深さに挿入された止め釘，例．目にみえない要素の挿入
A63F9/0096	｛反応時間ゲーム（反応時間の検査Ａ６１Ｂ５／１６２；反応時間練習Ａ６３Ｂ６９／００５３；スポーツまたはゲームと関連する時間の登録，表示または記録Ｇ０７Ｃ１／２２）｝
A63F9/0098	｛単語または数字ゲーム（Ａ６３Ｆ３／０４１５，Ａ６３Ｆ３／０４２１，Ａ６３Ｆ３／０４２３が優先）｝
A63F9/02	射出または投てきゲーム（Ａ６３Ｆ９／２２(ＥＣＬＡ)が優先；スポーツとしてＡ６３Ｂ６５／００，Ａ６３Ｂ６７／００；発射または投石器玩具それ自体Ａ６３Ｈ３３／１８；　｛銃シミュレータＦ４１Ａ３３／００，例．光または放射線を放つ銃Ｆ４１Ａ３３／０２；銃のねらいをつけるための練習装置Ｆ４１Ｇ３／２６，例．発光機を用いるものＦ４１Ｇ３／２６１６｝；標的，射撃場，弾丸受けＦ４１Ｊ；　｛光電子命中検知システムＦ４１Ｊ５／０２｝）
A63F9/0204	｛そのための標的（ボールゲーム用Ａ６３Ｂ６３／００）｝
A63F9/0208	｛標的に接続可能な発射体，例．ベルクロ（登録商標），フックを使用するもの｝
A63F2009/0213	発射体，例．ホックまたはスティックに投げるためのリングまたは輪
A63F2009/0217	蹄鉄型を使用するもの
A63F2009/0221	突き刺す釘，例．投げ矢として，を有するもの
A63F2009/0226	標的上の犬釘
A63F2009/023	吸着盤を有するもの
A63F2009/0234	標的上の吸着盤
A63F2009/0239	マジックテープを使用するもの
A63F9/0243	
A63F9/0247	｛爆弾または落下ゲーム｝
A63F9/0252	｛そのための射撃装置｝
A63F2009/0256	評価の角度が調整可能なもの
A63F2009/026	衝撃点を変えるもの
A63F2009/0265	弾性的な要素を使用するもの
A63F2009/0269	弓と矢
A63F2009/0273	石弓
A63F9/0278	｛発射体（Ａ６３Ｆ９／０２０８，Ａ６３Ｆ９／０２４７，Ａ６３Ｆ９／０２５２が優先）｝
A63F2009/0282	ボール以外の形を有するもの
A63F2009/0286	円板状のもの
A63F9/0291	｛模擬の発射体を有するもの，例．画面上のイメージ｝
A63F2009/0295	おはじき型ゲーム
A63F9/04	さいころ（さいころ表示をするこまＡ６３Ｆ５／０４）；さいころ容器；機械的なさいころ投出装置　｛（ボード上で遊ぶカジノまたは賭ゲームＡ６３Ｆ３／００Ｗ(ＥＣＬＡ)）｝
A63F9/0402	
A63F2009/0404	
A63F9/0406	｛ダイスカップ；さいころ投出装置｝
A63F2009/0408	ダイス投出装置を有するもの
A63F2009/0411	ダイスカップ
A63F9/0413	｛立方体のさいころ｝
A63F9/0415	｛非立方体のさいころ｝
A63F2009/0417	２面からなるダイスまたはコイン
A63F2009/042	３面を持ったもの
A63F2009/0422	４面を持ったもの
A63F2009/0424	５面を持ったもの
A63F2009/0426	６面の非直方体
A63F2009/0428	７面を持ったもの
A63F2009/0431	８面を持ったもの
A63F2009/0433	９面を持ったもの
A63F2009/0435	１０面を持ったもの
A63F2009/0437	１２面を持ったもの
A63F2009/044	１４面を持ったもの
A63F2009/0442	１６面を持ったもの
A63F2009/0444	１８面を持ったもの
A63F2009/0446	２０面を持ったもの
A63F2009/0448	２４面を持ったもの
A63F2009/0451	２６面を持ったもの
A63F2009/0453	３０面を持ったもの
A63F2009/0455	３２面を持ったもの
