H10H29/14	複数の発光半導体構成部品を備えるもの<br><br><u>警告</u><br><br>グループH10H29/14はグループH10H29/142からの文献の再分類が未完成であり保留されている。<br>グループH10H29/14もまたグループH10H29/011，H10H29/922，H10H29/942およびH10H29/962への<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
H10H29/142	｛２次元の配置，例．不均衡なＬＥＤのレイアウト｝<br><br><u>警告</u><br><br>グループH10H29/142はグループH10H29/011，H10H29/14，H10H29/30，H10H29/32，H10H29/34，H10H29/345，H10H29/352，H10H29/362，H10H29/37，H10H29/39，H10H29/41，H10H29/45，H10H29/49，H10H29/8517，H10H29/8552，H10H29/922，H10H29/942およびH10H29/962への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
H10H29/20	グループＨ１０Ｈ２０／００に包含される，少なくとも１つの発光半導体装置を備える，複数の装置の組立体（アクティブマトリクス型ＬＥＤディスプレイＨ１０Ｈ２９／３０）
H10H29/24	複数の発光半導体装置を備えるもの
H10H29/30	アクティブマトリクス型ＬＥＤディスプレイ<br><br><u>注</u><br><br>このグループは，その発明の重点がＬＥＤ，ＬＥＤと密接に関連する層またはＬＥＤと密接に関連する構造的細部であるアクティブマトリクス型ディスプレイを包含する，例．ＬＥＤ間またはその封緘の間の相互接続<br><br><u>警告</u><br><br>グループH10H29/30，H10H29/32，H10H29/34，H10H29/345，H10H29/352，H10H29/362，H10H29/37，H10H29/39，H10H29/41およびH10H29/45はグループH10H29/142からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
H10H29/32	副画素の内部の素子の幾何学的形状または配置に特徴のあるもの，例．ＲＧＢ副画素の内部のトランジスタの配置
H10H29/34	画素の内部の副画素の幾何学的形状または配置に特徴のあるもの，例．ＲＧＢ副画素の相対的配置
H10H29/345	｛そのサブピクセル領域が異なるもの｝
H10H29/352	｛ディスプレイの異なる領域，例．中央および周辺の領域，における要素，サブピクセルまたはピクセルの幾何学的形状または配置の相違に特徴のあるもの｝
H10H29/362	｛３より多いサブピクセルからなるもの，例．赤−緑−青−白［ＲＧＢＷ］｝
H10H29/37	画素を定義するための構造，例．ＬＥＤ間の隔壁
H10H29/39	駆動トランジスタへの画素電極の接続
H10H29/41	駆動トランジスタとＬＥＤ間に形成される絶縁層
H10H29/45	それぞれ上にアクティブ素子を有する２つの基板からなるもの，例．異なる基板上に存在するＬＥＤアレイと駆動回路からなるディスプレイ
H10H29/49	相互接続，例．配線または端子（駆動トランジスタへの画素電極の接続Ｈ１０Ｈ２９／３９）<br><br><u>警告</u><br><br>グループH10H29/49はグループH10H20/857およびH10H29/142からの文献の再分類が未完成であり保留されている。<br>グループH10H20/857，H10H29/142およびH10H29/49はコンプリートサーチの完遂のために考慮されるべきである。
H10H29/80	構造的細部<br><br><u>注</u><br><br>構造的細部が集積装置または複数の装置の組立体に関する場合は，グループＨ１０Ｈ２９／８０に分類する。構造的細部が個々の装置に関する場合は，グループＨ１０Ｈ２０／８０に分類する。<br><br><u>警告</u><br><br>グループH10H29/80はグループH10H20/80からの文献の再分類が未完成であり保留されている。<br>グループH10H20/80およびH10H29/80はコンプリートサーチの完遂のために考慮されるべきである。
H10H29/832	｛電極｝<br><br><u>警告</u><br><br>グループH10H29/832はグループH10H20/83からの文献の再分類が未完成であり保留されている。<br>グループH10H20/83およびH10H29/832はコンプリートサーチの完遂のために考慮されるべきである。
H10H29/8321	｛それらの形状に特徴のあるもの｝<br><br><u>警告</u><br><br>グループH10H29/8321はグループH10H20/831からの文献の再分類が未完成であり保留されている。<br>グループH10H20/831およびH10H29/8321はコンプリートサーチの完遂のために考慮されるべきである。
H10H29/8322	｛それらの材料に特徴のあるもの｝<br><br><u>警告</u><br><br>グループH10H29/8322はグループH10H20/832からの文献の再分類が未完成であり保留されている。<br>グループH10H20/832およびH10H29/8322はコンプリートサーチの完遂のために考慮されるべきである。
