B60T13/141	｛分配器弁をもつシステム（Ｂ６０Ｔ１３／１４７が優先）｝
B60T13/142	｛マスターシリンダをもつシステム｝
B60T13/143	｛ブースタと機械的に連結されたマスターシリンダ｝
B60T13/144	｛ブースタピストン内に設けられたパイロットバルブ｝
B60T13/145	｛ブースタと一体化または液圧的に連結されたマスターシリンダ｝
B60T13/146	｛ブースタ圧力により直接的に作動するシステムの部分｝
B60T13/147	｛分配器弁と組み合わされたもの｝
B60T13/148	｛圧力供給装置｝
B60T13/16	直接ポンプを使用するもの，すなわち蓄圧器または貯蔵器リザーバが介在しないもの
B60T13/161	｛マスターシリンダをもつシステム｝
B60T13/162	｛ブースタと機械的に連結されたマスターシリンダ｝
B60T13/163	｛ブースタピストン内に設けられたパイロットバルブ｝
B60T13/165	｛ブースタと一体化または液圧的に連結されたマスターシリンダ｝
B60T13/166	｛ブースタ圧力により直接的に作動するシステムの部分｝
B60T13/167	｛分配器弁と組み合わされたもの｝
B60T13/168	｛圧力供給装置｝
