B	処理操作；運輸
B25B	締め具，連結具，外し具，保持具のような他に分類されない工具，または卓上器具<br><br><u>｛警告</u><br><br>１．このサブクラスは旧分類表（ＩｄＴ）８７Ａの有効期限の満了に伴い１９７５年１月１日に導入された。２．特許文献は，有効期限が満了したＩｄＴ分類表からＩＰＣ分類表へ現在も継続的に再分類されている。３．一般的なＩＰＣ−ＩＤＴコンコーダンスは以下のとおりである:Ｂ２５Ｂ１／００−Ｂ２５Ｂ１／０２　:　８７Ａ１Ｂ２５Ｂ１／０６−Ｂ２５Ｂ１／１８　:　８７Ａ１Ｂ２５Ｂ３／００　:　８７Ａ４Ｂ２５Ｂ５／００−Ｂ２５Ｂ５／１６　:　８７Ａ４Ｂ２５Ｂ７／００−Ｂ２５Ｂ７／１８　:　８７Ａ１６Ｂ２５Ｂ７／２０　:　８７Ａ２５Ｂ２５Ｂ７／２２　:　８７Ａ１６Ｂ２５Ｂ９／００−Ｂ２５Ｂ９／０４　:　８７Ａ４，　８７Ａ２２ＣＢ２５Ｂ１１／００　:　８７Ａ４，　４９Ｃ３１Ｂ２５Ｂ１１／０２　:　８７Ａ６−８７Ａ４Ｂ２５Ｂ１３／００　:　８７Ａ６−８７Ａ１２Ｂ２５Ｂ１３／０２−Ｂ２５Ｂ１３／０４　:　８７Ａ６Ｂ２５Ｂ１３／０６　:　８７Ａ６ＡＢ２５Ｂ１３／０８　:　８７Ａ６Ｂ２５Ｂ１３／１０−Ｂ２５Ｂ１３／１２　:　８７Ａ１０Ｂ２５Ｂ１３／１４−Ｂ２５Ｂ１３／１６　:　８７Ａ７Ｂ２５Ｂ１３／１８−Ｂ２５Ｂ１３／２０　:　８７Ａ１０Ｂ２５Ｂ１３／２２　:　８７Ａ８Ｂ２５Ｂ１３／２６−Ｂ２５Ｂ１３／４２　:　８７Ａ１０Ｂ２５Ｂ１３／４４　:　８７Ａ６ＡＢ２５Ｂ１３／４６　:　８７Ａ１２Ｂ２５Ｂ１３／５０　:　８７Ａ１４Ｂ２５Ｂ１３／５６−Ｂ２５Ｂ１３／５８　:　８７Ａ６−８７Ａ１２Ｂ２５Ｂ１５／００−Ｂ２５Ｂ１５／０２　:　８７Ａ１９Ｂ２５Ｂ１５／０４　:　８７Ａ１２，　８７Ａ１９Ｂ２５Ｂ１５／０６　:　８７Ａ１９Ｂ２５Ｂ１７／００−Ｂ２５Ｂ１７／０２　:　８７Ａ１２，　８７Ａ１９Ｂ２５Ｂ１９　:　８７Ａ１２，　８７Ａ１９Ｂ２５Ｂ２１／００−Ｂ２５Ｂ２１／０２　:　８７Ａ１９ＡＢ２５Ｂ２３／００−Ｂ２５Ｂ２３／００９２　:　８７Ａ１９ＡＢ２５Ｂ２３／０２−Ｂ２５Ｂ２３／１２　:　８７Ａ１９ＡＢ２５Ｂ２３／１４−Ｂ２５Ｂ２３／１４０５　:　８７Ａ２７ＣＢ２５Ｂ２３／１４２２　:　８７Ａ２７Ｂ２Ｂ２５Ｂ２３／１６　:　８７Ａ１９，　８７Ａ１９ＡＢ２５Ｂ２３／１８　:　８７Ａ１９Ｂ２５Ｂ２７／００−Ｂ２５Ｂ２７／０００７　:　８７Ａ２２Ｂ２５Ｂ２７／０２−Ｂ２５Ｂ２７／０２６　:　８７Ａ２２ＢＢ２５Ｂ２７／０６−Ｂ２５Ｂ２７／０６４　:　８７Ａ２２ＢＢ２５Ｂ２７／１２　:　８７Ａ２２ＤＢ２５Ｂ２７／１４　:　８７Ａ２２Ｂ２５Ｂ２７／１６　:　８７Ａ２２，　８７Ａ２２ＫＢ２５Ｂ２９／００　:　８７Ａ１２，　８７Ａ１９，　８７Ａ１９ＡＢ２５Ｂ２９／０２　:　８７Ａ２７Ｂ２４．以下のＩＰＣグループはＥＣＬＡ分類表では使用されない。これらのグループに包含される主題事項は，以下の各ＥＣＬＡグループに分類する:Ｂ２５Ｂ２３／１４３はＢ２５Ｂ２３／１４２２に包含。Ｂ２５Ｂ２３／１４４はＢ２５Ｂ２３／１４２５に包含。Ｂ２５Ｂ２３／１５１はＢ２５Ｂ２３／１４，　Ｂ２５Ｂ２３／１４７に包含。Ｂ２５Ｂ２３／１５３はＢ２５Ｂ２３／１４１５に包含。Ｂ２５Ｂ２３／１５５はＢ２５Ｂ２３／１４１に包含。Ｂ２５Ｂ２３／１５７はＢ２５Ｂ２３／１４に包含。Ｂ２５Ｂ２３／１５９はＢ２５Ｂ２３／１４に包含。Ｂ２５Ｂ２７／０６７は　Ｂ２５Ｂ２７／０６に包含。Ｂ２５Ｂ２７／０７３は　Ｂ２５Ｂ２７／０６２に包含。｝<br><br><u>注</u><br><br>このサブクラスは，Ｂ２５Ｃ（釘打ち具またはステープラー）のような他のサブクラス，あるいはＢ６５Ｂ（包装）またはＢ２１Ｆ（針金の加工）のような応用クラスに分類されていない，固着，連結，掛け外し，または保持用手工具を包含するものとする。
B25C	　手持ち釘打ち工具またはステ−プラ−；手動可搬型ステ−プラ−（履物の製造のためのものＡ４３Ｄ）<br><br><u>｛警告</u><br><br>１．このサブクラスは旧分類表（ＩｄＴ）５４Ａ９の有効期限の満了に伴い１９７５年１月１日に導入された。２．特許文献は，有効期限が満了したＩｄＴ分類表からＩＰＣ分類表へ現在も継続的に再分類されている。３．一般的なＩＰＣ−ＩＤＴグループのコンコ−ダンスは以下のとおりである:Ｂ２５Ｃ５／００　:　５４Ａ９｝<br><br><u>注</u><br><br>このサブクラスのため，釘の用語はピン，ボルト，およびプラグも含むこことする。
B25D	衝撃工具（鍛造用衝撃機械Ｂ２１Ｊ；手持ち式ボール盤，一般Ｂ２３Ｂ４５／００，木工用のものＢ２７Ｃ３／０８；掘削機，採掘または採石に用いられるもの，作用面と離接した際断続的に回動される往復動工具をもつものＥ２１Ｃ３／００）[特記以下のＩＰＣグループはＥＣＬＡ分類表では使用されない。これらのグループに包含される主題事項は，以下の各ＥＣＬＡグループに分類する:Ｂ２５Ｄ１３／００　は　Ｂ２５Ｄ１１／０６４に包含。Ｂ２５Ｄ１５／００　は　Ｂ２５Ｄ１１／０６６に包含。Ｂ２５Ｄ１５／０２　は　Ｂ２５Ｄ１１／０６８に包含。Ｂ２５Ｄ１７／１０　は　Ｂ２５Ｄ１７／００，　Ｆ１６Ｐに包含。Ｂ２５Ｄ１７／１４　は　Ｂ２３Ｑ１１／００４２に包含。Ｂ２５Ｄ１７／１６　は　Ｂ２３Ｑ１１／００４２に包含。Ｂ２５Ｄ１７／１８　は　Ｂ２３Ｑ１１／００４２に包含。｝
B25F	他に分類されない組合せ工具または多目的工具；作業に特に関連せずかつ他に分類されない携帯用動力駆動工具の細部または要素｛（単一の他のサブクラスに分類されない異なる金属加工作業を特別に組合せたものを行う機械または機械設備Ｂ２３Ｐ２３／００およびサブグループ）｝<br><br><u>注</u><br><br>このサブクラスは，明らかな主機能と同時に単数または複数の二次機能をもつ工具を包含しない。それらの工具は，主機能をもつ工具としての関連サブクラスに包含され，このサブクラスのグループＢ２５Ｆ１／００またはＢ２５Ｆ３／００に分類されない。
B25G	手工具用の柄（土作業のための手工具の柄に刃物またはその類似物を取付けることＡ０１Ｂ１／２２；収穫用の手道具の柄Ａ０１Ｄ１／１４；ブラシ製品と一体の柄Ａ４６Ｂ）<br><br><u>注</u><br><br>１．このサブクラスは以下のものを包含する:―手道具の柄一般；―特殊用途用手道具の柄，　下記注（２）を条件とする。２．このサブクラスには他のサブクラスに分類される柄は包含しない。　例，　Ａ４５Ｂ９／０２，　Ａ４５Ｃ１３／２２，　Ａ４５Ｃ１３／２６，　Ａ４７Ｂ９５／０２，　Ａ４７Ｊ４５／００，　Ｂ２３Ｄ５１／０１，　Ｂ２５Ｊ１３／０２，　Ｂ２６Ｂ，　Ｂ６０Ｎ３／０２，　Ｂ６２Ｂ５／０６，　Ｂ６２Ｂ９／２０，　Ｂ６２Ｋ２１／２６，　Ｂ６２Ｍ３／１４，　Ｂ６５Ｄ２５／２８，　Ｂ０５Ｂ，　Ｇ０５Ｇ，に分類される柄は包含しない。
B25H	　作業場設備，例．工作物の印付け用；作業場用の貯蔵手段（貯蔵または包装Ｂ６５）<br><br><u>｛警告</u><br><br>１．このサブクラスは旧分類表（ＩｄＴ）８７Ａおよび４２Ｂの有効期限の満了に伴い１９７５年１月１日に導入された。２．特許文献は，有効期限が満了したＩｄＴ分類表からＩＰＣ分類表へ現在も継続的に再分類されている。３．ＩＰＣからＩｄＴグループへの一般的なコンコーダンスは以下のとおりである:Ｂ２５Ｈ１／００　−　Ｂ２５Ｈ１／２０　:　８７Ａ２２Ｇ，８７Ａ２２Ｇ２Ｂ｝
B25J	　マニプレータ；マニプレータ装置を持つ小室　（｛手術に使用するのに特に適したマニプレータＡ６１Ｂ１９／００Ｍ；　中空物品の清掃に使用されるマニプレータＢ０８Ｂ９／０４｝；　ロールミルに関連するマニプレータＢ２１Ｂ３９／２０；鍛造機械に関連するマニプレータＢ２１Ｊ１３／１０；｛機構の持ち上げおよび配置に関連するマニプレータプレータＢ２３Ｐ１９／００７｝；　車輪またはその部品の保持手段Ｂ６０Ｂ３０／００；[Ｎ:　接地推進手段を持つ車両，例．足踏部材Ｂ６２Ｄ５７／０２，　Ｂ６２Ｄ５７／０３２；　コンベア間の物品または物質の取り上げかつ置くための装置Ｂ６５Ｇ４７／９０，　Ｂ６５Ｇ４７／９１；　包装体の移送のための把持または保持手段を有するマニプレータＢ６５Ｈ６７／０６５]；　クレーンＢ６６Ｃ；　　[Ｎ:　パイプライン敷設の保護または監視に使用されるマニプレータＦ１７Ｄ５／００；核蒸気発生器に特に適した足踏み装置　Ｆ２２Ｂ３７／００６]；　核反応装置に特に適した，または関連するマニプレータＧ２１Ｃ）[Ｎ:<br><br><u>注</u><br><br>以下のＩＰＣグループはＥＣＬＡ分類表では使用されない。これらのグループに包含される主題事項は，以下の各ＥＣＬＡグループに分類する:Ｂ２５Ｊ９／１８はＢ２５Ｊ９／１６に包含。Ｂ２５Ｊ９／２２はＢ２５Ｊ９／１６５６およびＧ０５Ｂ１９／４２に包含。]<br><br><u>注</u><br><br>このサブクラスにおいては，下記の用語は以下に示す意味で用いる:　−　マニプレータは，空間内において有形の運動および方向の変更ができ，そのような運動および変更は，ヘッドから離れた手段によって随意に制御されるような把持部，またはワークヘッドを有するハンドリング器具，装置または機械を含む。
B26	切断手工具；切断；切断機
B26B	他に分類されない手持ち切断工具（収穫用Ａ０１Ｄ；園芸用，林業用Ａ０１Ｇ；屠殺または肉の処理用Ａ２２；靴類の製造または修理用Ａ４３Ｄ；つめ切り器またはつめ切りＡ４５Ｄ２９／０２；台所用具Ａ４７Ｊ；手術目的のためのものＡ６１Ｂ；金属用Ｂ２３Ｄ；研削性流体噴射による切断Ｂ２４Ｃ５／０２；切断刃を備えたプライヤー類似工具Ｂ２５Ｂ７／２２；ペンチＢ２５Ｃ１１／０２；手工具の柄一般Ｂ２５Ｇ；ギロチン型カッターＢ２６Ｄ；｛非機械的手段による穴抜き，例．流体ジェットによるもの，Ｂ２６Ｆ１／２６｝擦り消すためのものＢ４３Ｌ１９／００；繊維材料用Ｄ０６Ｈ）<br><br><u>｛注</u><br><br>このサブクラスにおいては，２００５年２月１日以降，新たな文献は改訂されたＥＣＬＡの基準に準拠し分類されている。すなわち重要な（発明のような）情報はＥＣＬＡの分類符号，例．Ｂ２６Ｂ２１／２４，他の（二次的）情報はＩＣＯの符号，例．Ｂ２６Ｂ２１／２４を付して表している。｝
B26D	切断；切断機，例．切断，穴あけ，牡，型抜によるもの，に共通の細部（土作業Ａ０１Ｂ；作物または植物の育成用Ａ０１Ｄ，Ｇ；飼料またはわら用Ａ０１Ｆ；バター塊用Ａ０１Ｊ；パン生地用Ａ２１Ｃ；屠殺用Ａ２２Ｂ；たばこ，葉巻たばこまたは紙巻たばこ用Ａ２４；マーク付け，ミシン目打ちまたはボタン穴あけＡ４１Ｈ２５／００；履物の製造Ａ４３Ｄ；ブラシ製造Ａ４６Ｄ；手術Ａ６１Ｂ；破砕，粉砕，または砕解一般Ｂ０２Ｃ；線材の切断，ピンまたは釘の製造Ｂ２１Ｆ，Ｇ；金属用に使用されるものＢ２３；研削性流体噴射による切断Ｂ２４Ｃ５／０２；手持ち切断工具Ｂ２６Ｂ；穴あけ，切抜，型抜または牡，あるいは切断刃以外の手段による切断Ｂ２６Ｆ；木材用Ｂ２７；石材用Ｂ２８Ｄ；プラスチックまたは可塑状態の物質の加工Ｂ２９；紙または類似の加工素材，例．金属箔，の箱，カートン，封筒または袋の製造Ｂ３１Ｂ；切断またはミシン孔穿孔機に結合されている物品またはウエブ排送装置Ｂ６５Ｈ３５／００；皮革または詰め物，かわ張りされた物品用Ｂ６８，Ｃ１４Ｂ；ガラス用Ｃ０３Ｂ；マッチの製造Ｃ０６Ｆ；でい炭用Ｃ１０Ｆ；糖用Ｃ１３Ｈ；繊維材料用Ｄ０６Ｈ；土木，建築，採鉱，セクションＥ参照；ライトガイド用Ｇ０２Ｂ６／２５；処理済写真材料の裁断Ｇ０３Ｄ１５／０４）<br><br><u>注</u><br><br>このサブクラスは以下のものを包含する<br>−非金属板材と金属箔の切断一般；<br>−　他に分類されていない非金属物質の他の形態のものの切断；<br>−切断，穴あけ，打抜，切抜，型抜，または切断刃以外の手段による切断機に特有で，それらの目的のために独特でない種類の必要性または課題に関係のある特徴，すなわち．そのような特徴が機種によって具体的に異なるかもしれないが，それらの機械を操作および制御する細部または装置。このサブクラスはたとえ，その特徴がある特別の場合，各々の機種にある程度独特であったりあるいは各々にのみ要求されるものであっても，そのような特徴が一般に包含される。<br>このサブクラスにおいては，グループＢ２６Ｄ５／００とＢ２６Ｄ７／００において下記の用語は以下に示す意味で用いる:<br>−切断は切抜，打抜，型抜，穴あけおよび切断刃以外の手段による切断を含む。<br>細部あるいは装置が切削機，穴あけ機，型抜き機，切抜き機，打抜き機または切断機に特定される本質的な特徴を持っていない場合，より一般的なクラス，例．Ｆ１６，が優先する。
