H01H9/22	箱，蓋，または保護シャッターと接点操作機構との間を相互鎖錠するためのもの｛（防爆箱Ｈ０１Ｈ９／０４５；内蔵ヒューズ及び連動機構Ｈ０１Ｈ９／１０４；回路遮断器の自動開放によるものＨ０１Ｈ７１／１２６）｝
H01H9/223	｛無効にできる鎖錠手段｝
H01H9/226	｛ケーシングがスイッチにより操作する電気機器以外のものを含むもの｝
H01H9/24	接点操作機構の２以上の部分を相互鎖錠するためのもの
H01H9/26	２以上のスイッチを相互鎖錠するためのもの（｛Ｈ０１Ｈ１３／５６８が優先｝；取り外し可能の部材によるものＨ０１Ｈ９／２８；｛電磁リレーを用いるものＨ０１Ｈ５０／３２３｝）
H01H9/262	｛フレキシブル伝送素子を用いるもの，例．ボーデンケーブル｝
H01H2009/265	｛２より多いスイッチを相互鎖錠するもの｝
H01H2009/267	｛３つのスイッチのうちの２つを相互鎖錠するもの，例．２つのスイッチがそれぞれ電源をブスバーに接続しバス結合スイッチが電源が決して並列に接続されないように相互鎖錠するもの｝
H01H9/28	キーまたは同等の取り外し可能の部材によりスイッチ部分を鎖錠するためのもの（キーで操作されるスイッチＨ０１Ｈ２７／００；２つの部材が結合した装置のうち取り外せる部材によって鎖錠するものＨ０１Ｒ）
H01H9/281	｛パドロックを用いるもの（Ｈ０１Ｈ９／２８７が優先）｝
H01H9/282	｛かつ，スイッチ組立体に装着されたまたは装着可能で，非鎖錠位置とパドロックにより保護された鎖錠位置との間を移動可能な分割部品｝
H01H9/283	｛部分が取り外し可能であるもの｝
H01H9/285	｛スイッチ組立体に組み込まれてキーまたは特殊工具により操作される鎖錠機構｝
H01H9/286	｛操作部分上で直接に作動する可動係止部品を使用するもの（Ｈ０１Ｈ９／２８１が優先）｝
H01H9/287	｛操作部分が操作することができない，あるいは蓋体，カバー，ガードにより操作することがより困難であるもの，例．鎖錠可能なカバー｝
H01H2009/288	｛溶接された接点に関する装置｝
H01H9/30	通電部分間の消弧またはアーク発生防止装置
H01H9/302	｛その中で固定部分から消弧ガスを発生するもの｝
H01H2009/305	｛高温のアークガスから機械を保護するためまたはアーク室内のアークガスを保持するためにアークガスを遮蔽する手段を含むもの｝
H01H2009/307	｛ゆっくりとした切断動作を伴うもの，例．交流電流のゼロクロスまで待機するもの｝
H01H9/32	接点間にはめ込みうる絶縁体
H01H9/34	アークを制限したり細分するための静止部品，例．バリヤプレート
H01H9/341	｛電極を担持する隔壁｝
H01H9/342	｛アークシュート用の通気装置｝
H01H2009/343	｛消弧内圧の可変換気装置機能，例．弾性フラップ弁またはチェック弁｝
H01H9/345	｛アークシュートを装着するもの｝
