G03B21/606	レリーフ映写用
G03B21/608	流体スクリーン
G03B21/62	半透明スクリーン
G03B21/625	半透明なレンチキュラースクリーン
G03B21/64	投映する個々の画面をマウントする手段，例．透過陽画の枠
G03B23/00	ビュアー装置または投映機における画面を転換するための装置<br><br><u>注</u><br><br>本グループにおいては用語画面とは，透明か否かを問わず，すべての平面的な画像，例．写真，手書きまたは印刷によってつくられたもの，を意味する。
G03B23/02	マガジン，すなわち，画面が貯蔵部分から取出され，再び同一かまたは他のものへ返されるもの；そのためのマガジン
G03B23/04	直線型運動をするもの
G03B23/042	｛それによって画面が同一の貯蔵部分に返されないもの｝
G03B23/044	｛それによって画面が同一の貯蔵部分に返されるもの｝
G03B23/046	｛画面切り替え装置｝
G03B23/048	｛水平滑動機構をもつもの｝
G03B23/06	回転型運動をするもの
G03B23/08	画面が可動キャリヤーに取り付けられているもの
G03B23/10	ドラム型または円板型キャリヤー
G03B23/105	｛円板型キャリヤー｝
G03B23/12	直線型長片
G03B23/125	｛画面が鎖に取り付けられまたは鎖状になるように連携されたもの｝
G03B23/14	画面を投影位置または観察しうる位置へ出入れさせるよう作動し，かつ，一つ又は二つの画面のみを取除けるようにして搬送するキャリヤ（Ｇ０３Ｂ２３／１８が優先）｛および貯蔵部，例．落とし樋，を備えない他の装置｝
G03B23/18	溶暗および溶明の効果をもつもの
G03B25/00	投映ビュアー以外の，残像によって映画効果を与えるビュアー，例．ゾエトロープ
G03B25/02	レンチキュラーまたは線状のスクリーンを介在させたもの
G03B27/00	写真的焼付装置
G03B27/02	密着焼付用露光装置
G03B27/04	露光中に，原版と光源との間に相対的な動きのないコピー装置，例．焼付用枠体または焼付用箱体
G03B27/06	同一原版のコピーを自動的に反復して行なえるもの
G03B27/08	複数の原版のコピーを順次自動的に行なえるもの，例．映面フイルムのコピー
G03B27/10	露光中に，原版と光源との間に相対的な動きのあるコピー装置
G03B27/12	同一原版を自動的に反覆してコピーできるもの
G03B27/14	細部
G03B27/16	照明の配置，例．光源の位置決め，反射鏡の位置決め（露光の制御Ｇ０３Ｂ２７／７２）
G03B27/18	原版と感光材料との間の接触圧力を維持し，または作るもの
G03B27/20	真空または流体圧力を用いるもの
G03B27/22	湾曲表面上で伸張することによるもの
G03B27/24	プリントからの原版の分離
G03B27/26	冷却
G03B27/28	側縁部おおい装置
G03B27/30	処理装置と組み合わせているもの
G03B27/303	｛ガス処理（ガス処理装置Ｇ０３Ｄ７／００）｝
G03B27/306	｛熱現像（熱現像装置Ｇ０３Ｄ１３／００２）｝
G03B27/32	投影焼付装置，例．引伸機，コピー用カメラ
G03B27/323	｛コピー用カメラ（Ｇ０３Ｂ２７／３４〜Ｇ０３Ｂ２７／７０が優先）｝
G03B27/326	｛引伸機（Ｇ０３Ｂ２７／３４〜Ｇ０３Ｂ２７／７０が優先）｝
G03B27/34	そのための自動焦点調節手段
G03B27/36	機械的な結合によるもの，例．カムによるもの，リンク連結によるもの
G03B27/38	一様でないピッチを有するねじによるもの
G03B27/40	焦点距離の異なるレンズを使用するもの
G03B27/42	同一原板のコピーを自動的に逐次行うためのもの（Ｇ０３Ｂ２７／３４，Ｇ０３Ｂ２７／５３が優先）
G03B27/423	｛コピー用カメラ内｝
G03B27/426	｛引伸機内｝
G03B27/44	同時に同一原板を複数コピーするためのもの（Ｇ０３Ｂ２７／３４，Ｇ０３Ｂ２７／５３が優先）
G03B27/46	異なる原版のコピーを自動的に逐次行うためのもの，例．引伸機，ロールフィルムプリンタ（Ｇ０３Ｂ２７／３４，Ｇ０３Ｂ２７／５０，Ｇ０３Ｂ２７／５３が優先）
G03B27/462	｛引伸機内，例．ロールフイルムプリンタ｝
G03B27/465	同一ストリップの異なる位置におけるもの，例．マイクロフィルム
G03B27/47	同一シートの異なる位置におけるもの，例．マイクロフイッシュ
G03B27/475	映画フィルムのコピー（Ｇ０３Ｂ２７／４８が優先）
G03B27/48	連続して動くフイルム片形式の原版をもちい，それにともなう像の動きを補償するもの
G03B27/50	連続的露光のために原版上を動くスリットまたは同様な絞りを有するもの（Ｇ０３Ｂ２７／３４が優先；｛投影光学系それ自体Ｇ０３Ｂ２７／５２５｝）
G03B27/52	細部
G03B27/521	｛感光性材料に追加的情報を適用するための装置，例．符号づけ（カメラ内でフイルムに印を付けるものＧ０３Ｂ１７／２４）｝
G03B27/522	｛投影光学系（特に電気写真的コピー機用Ｇ０３Ｇ１５／０４）｝
G03B27/523	｛全時間露光用｝
G03B27/525	｛スリット露光用｝
G03B27/526	｛その中で投影光学系が動くもの｝
G03B27/527	｛全体としては直線的な動きであるもの｝
G03B27/528	｛その中で投影光学系が静止しているもの｝
G03B27/53	原版相互にまた感光層に対しての原版の自動的位置合わせまたは位置決め
G03B27/54	ランプハウス；照明装置
G03B27/542	｛コピー用カメラ用，リフレックス露出光用のもの｝
G03B27/545	｛引伸機用のもの｝
G03B27/547	｛混色ヘッド｝
G03B27/56	支柱への引伸機ヘッドの取付け；｛支柱への再生カメラの取付け｝
