B60Y2400/604	交流機械，例．非同期モーター
B60Y2400/607	軸フラックス機械
B60Y2400/608	クラッチモーター，すなわちステーターを回転させるもの
B60Y2400/61	電動機械のコントローラーの配置，例．インバーター
B60Y2400/70	ギア
B60Y2400/702	ウォームギア
B60Y2400/71	マニュアルまたは半オートマチック，例．自動マニュアルトランスミッション
B60Y2400/72	無段変速機（ＣＶＴ）
B60Y2400/73	プラネタリーギア
B60Y2400/732	十分にかみ合ったプラネタリーギア，例．ラヴィグノー
B60Y2400/74	軸ブレーキ，例．入力軸ブレーキ
B60Y2400/75	動力シフト，例．駆動トルクの中断がないもの
B60Y2400/76	ニュートラルへの自動ギアシフト
B60Y2400/77	ギアシフト位置の決定，例．ニュートラル位置のチェック
B60Y2400/78	ポンプ，例．ジェットタイプ
B60Y2400/785	ポンプ駆動
B60Y2400/79	ドライブシャフト，出力シャフトまたはプロペラシャフト
B60Y2400/795	動力取出し装置
B60Y2400/80	デフ
B60Y2400/802	デフロックシステム
B60Y2400/804	トルクベクタリング手段
B60Y2400/81	ブレーキシステム
B60Y2400/82	四輪駆動システム
B60Y2400/83	ステアリング入力メンバー
B60Y2400/84	後輪操舵；全輪操舵
B60Y2400/85	スキッドステアリングシステム，例．軌陸車のためのもの
B60Y2400/86	懸架システム
B60Y2400/87	補機の駆動
B60Y2400/88	エアーコンディショナー，例．コンプレッサの駆動
B60Y2400/89	冷却システム，例．ファンの駆動
B60Y2400/90	運転者への警報
B60Y2400/902	触覚信号を与えるもの
B60Y2400/92	運転手用ディスプレイ
B60Y2410/00	車両サブユニットの構造上の特徴
B60Y2410/10	ハウジング
B60Y2410/102	軸配置；軸支持，例．ベアリング
B60Y2410/1022	同心軸配置
B60Y2410/104	液体用バルブ
B60Y2410/105	バルブボディー；液体コントローラの取付
B60Y2410/111	ＩＤまたは仕様の収集，例．ＲＦＩＤの使用
B60Y2410/113	マウントクリップ，スナップフィット，例．弾性部材によるクイックフィット
B60Y2410/114	遮蔽，例．熱保護
B60Y2410/115	電気配線；電気コネクター
B60Y2410/12	車両部品の生産または製造
B60Y2410/121	モールドによって製造された金属部材
B60Y2410/122	モールドによって製造されたプラスチック部材
B60Y2410/123	一体的にモールド部材
B60Y2410/124	溶接部材
B60Y2410/125	境界のある部材
B60Y2410/13	特別の特性を有する材料または流体
B60Y2410/132	磁石，例．永久磁石
B60Y2410/134	磁気粘性流体または電気粘性流体
B60Y2410/136	記憶合金
