A63H33/007	｛車輪を押したりまたは引っ張ったりするもの，例．車輪で動く形象玩具以外の可動部分を有するもの（Ａ６３Ｈ３３／０２が優先；移動可能な形象玩具を駆動するためのものＡ６３Ｈ７／０４）｝
A63H33/008	｛劇場，遊戯テント，内部での遊戯のために十分な大きさであるもの｝
A63H33/009	｛刀剣玩具または類似の武器玩具；盾玩具｝
A63H33/02	フープ玩具，　｛すなわち分かれた棒により転がされるリング｝；推進用棒
A63H33/04	積木，細長い切れ，または類似の建物の部品
A63H33/042	｛機械的，電気的，光学的，空気的または流体的装置；モーター｝
A63H33/044	｛建物｝
A63H33/046	｛磁気的な相互手段，例．磁気引力により一緒に保持するもの｝
A63H33/048	｛ベルクロ（登録商標）または類似のものを使用して組み立てられるもの｝
A63H33/06	付加的要素の使用なしに組立てることができるもの
A63H33/062	｛クリップまたはスナップ機構を有するもの｝
A63H33/065	｛弾性変形を使用したもの（Ａ６３Ｈ３３／０６２が優先）｝
A63H33/067	｛回転または変換を伴うもの，例．鍵穴またはバヨネット型のもの｝
A63H33/08	補足的孔，みぞ，または突起，例．ありつぎ，が備えられているもの
A63H33/082	｛ありつぎを有するもの｝
A63H33/084	｛溝を有するもの（ありつぎＡ６３Ｈ３３／０８２）｝
A63H33/086	｛第２の突出部との間の補足的な空間に摩擦で適合させる第１の突出部を有するもの，例．側壁｝
A63H33/088	｛穴を有するもの（Ａ６３Ｈ３３／０６２，Ａ６３Ｈ３３／０６５が優先）｝
A63H33/10	非粘着性要素を加えることによって組立てることができるもの
A63H33/101	｛クリップまたはスナップ機構を有するもの｝
A63H33/102	｛弾性変形を使用したもの（Ａ６３Ｈ３３／１０１が優先）｝
A63H33/103	｛ワイヤー，スプリング，吸引カップ，伸縮自在要素を有するもの｝
A63H33/105	｛溝を有するもの，例．ありつぎ｝
A63H33/106	｛回転をともなうもの，例．バヨネット型｝
A63H33/107	｛ねじ，ボルト，釘，リベット，クランプを使用するもの｝
A63H33/108	｛穴を有するもの（Ａ６３Ｈ３３／１０１，Ａ６３Ｈ３３／１０２とＡ６３Ｈ３３／１０７が優先）｝
A63H33/12	棒，ボルトまたは類似物によって組立てられる穴のあいた細長い切れまたは類似物
A63H33/14	粘着材またはセメントによって組立てられるように特に適合されたもの
A63H33/16	折り紙によって作られた模形
A63H33/18	発射または投石器玩具，　｛例．円盤玩具の飛行（競技に使用される円盤Ａ６３Ｂ６５／１０）｝（ゲームの一部分としてＡ６３Ｆ９／０２；投石武器Ｆ４１Ｂ３／００；ばね玩具銃Ｆ４１Ｂ７／０８）
A63H33/185	｛重力下で降下したとき，自動的に回転する空中玩具｝
A63H33/20	パラシュートを有する玩具；パラシュート玩具　（｛Ａ６３Ｈ２７／００４，Ａ６３Ｈ２７／００５とＡ６３Ｈ２７／０８７が優先｝；航空術のためのパラシュートＢ６４Ｄ）
A63H33/22	光学，色彩，または陰影玩具　（｛光学的要素を有したパズルＡ６３Ｆ９／０６１３｝；万華鏡Ｇ０２Ｂ２７／０８）
A63H33/26	磁気または電気玩具（電気的駆動装置Ａ６３Ｈ２９／２２；　｛磁力を有した小さな玉で遊ぶ屋内ゲームＡ６３Ｆ７／００８８，Ａ６３Ｆ７／０６８｝）
A63H33/28	シャボン玉玩具；喫煙玩具（煙の輪を吹くものＡ２４Ｆ１３／３０）
A63H33/30	他類に属しない種々雑多な機械装置の模造品，例．電話，秤量機，金銭登録器（貯金箱Ａ４５Ｃ１／１２；切符の穴あけばさみ玩具Ｇ０７Ｂ９／０２）
A63H33/3005	｛金銭登録機｝
A63H33/3011	｛秤量機｝
A63H33/3016	｛電話｝
A63H33/3022	｛疑似流体，例．ほ乳瓶（飲み，涙下，ぬる人形Ａ６３Ｈ３／２４）｝
A63H33/3027	｛ラジオまたはテレビジョン受信機｝
A63H33/3033	｛仮想ドライブ；付属具，例．ステアリングホイル｝
A63H33/3038	｛風呂；シャワー｝
