H01R12/596	｛シールドの付加的な接地導体，例．ドレイン電線，への接続｝
H01R12/598	｛それぞれの導体が個々にシールドに囲まれているもの，例．平形構造内の複数の同軸ケーブル｝
H01R12/61	可撓性の印刷回路，フラットケーブルもしくはリボンケーブルまたは類似の構造物への接続
H01R12/613	｛相互接続素子の手段によるもの｝
H01R12/616	｛導体との接触をなすために絶縁体を突き刺す接点，例．針先，をもつもの｝
H01R12/62	剛性の印刷回路または類似の構造物への接続
H01R12/63	他の形状のケーブルへの接続
H01R12/65	端子に特徴があるもの
H01R12/67	絶縁体を貫通する端子
H01R12/675	｛ケーブル絶縁体を突き刺すため，少なくともスロット板を有する接触子があるもの，例．丸形導体フラットケーブル用の絶縁移動接触子｝
H01R12/68	変形可能な部分を含むもの
H01R12/69	変形可能な端子，例．圧着端子
H01R12/70	嵌合装置
H01R12/7005	｛案内，取付け，分極または鎖錠する手段；抽出装置（印刷回路基板用Ｈ０５Ｋ）｝
H01R12/7011	｛印刷回路基板に接続器を鎖錠または固定するもの｝
H01R12/7017	｛スナップ手段｝
H01R12/7023	｛嵌合装置と一体のもの｝
H01R12/7029	｛嵌合装置と一体でないもの｝
H01R12/7035	｛非弾性変形に関係しないもの，例．塑性変形，溶融（Ｈ０１Ｒ１２／７０６４が優先）｝
H01R12/7041	｛にかわ付け，またはテーピング｝
H01R12/7047	｛嵌合装置内のねじ孔を貫通する固着装置を備えたもの｝
H01R12/7052	｛位置決め部材に特徴があるもの｝
H01R12/7058	｛動きに特徴があるもの，例．枢軸で回転，カム運動，または印刷回路基板に平行な移動｝
H01R12/7064	｛プレスフィット｝
H01R12/707	｛ハンダ付けまたは溶接接続｝
H01R12/7076	｛印刷回路基板と構成部品間を接続するためのもの，例．ディスプレイ｝
H01R12/7082	｛印刷回路基板との共働のみにより支持される接続装置｝
H01R12/7088	｛電源母線のための配列｝
H01R12/7094	｛印刷回路基板の係合により作動する開閉器を備えたもの｝
H01R12/71	剛性の印刷回路または類似の構造物のためのもの
H01R12/712	｛印刷回路の表面と，印刷回路の表面のみに設けた嵌合装置と協働するもの（Ｈ０１Ｒ１２／７２が優先）｝
H01R12/714	｛印刷回路と直接接合する接触子を有するもの；印刷回路に設けたそのためのボタン接触子｝
H01R12/716	｛印刷回路基板上に設けた相手方部品｝
H01R12/718	｛絶縁ハウジングなしに印刷回路基板上に設けた接触部材（接合のための接触子Ｈ０１Ｒ１２／７１４）｝
H01R12/72	剛性の印刷回路または類似の構造物の端部との結合
H01R12/721	｛印刷回路の縁部と直接共働するもの｝
H01R12/722	｛印刷回路の縁部上に取り付けられた嵌合装置｝
H01R12/724	｛直角をなす接点部材を含むもの｝
H01R12/725	｛接点を装着する部片，例．縁部のような部片，をなす接点部材を含むもの｝
H01R12/727	｛接点が列をなす嵌合装置｝
H01R12/728	｛ＰＣＢの縁部上に設けられた絶縁ハウジングをもたない嵌合装置｝
H01R12/73	他の剛性の印刷回路または類似の構造物への接続
H01R12/732	｛印刷回路が同一平面上にあるもの｝
H01R12/735	｛印刷回路が互いの間に角度をなすもの｝
H01R12/737	｛印刷回路が互いに実質的に垂直をなすもの（印刷されたコネクタのためのものＨ０５Ｋ３／３６６）｝
H01R12/75	フラットケーブルまたはリボンケーブルを除くケーブルへの接続
H01R12/77	可撓性の印刷回路，フラットケーブルもしくはリボンケーブルまたは類似の構造物のためのもの
H01R12/771	｛細部｝
H01R12/772	｛歪緩和手段｝
H01R12/774	｛リテーナ｝
H01R12/775	｛接地または遮蔽体の配列｝
H01R12/777	｛ピン，刃または類似の接触子を備えた接続部品（Ｈ０１Ｒ１２／７８，Ｈ０１Ｒ１２／７９が優先）｝
H01R12/778	｛ソケット，クリップまたは類似の相手方接触子を備えた接続部品（Ｈ０１Ｒ１２／７８，Ｈ０１Ｒ１２／７９が優先）｝
H01R12/78	他の可撓性のある印刷回路，フラットケーブルもしくはリボンケーブルまたは類似の構造物への接続
H01R12/79	剛性の印刷回路または類似の構造物への接続
H01R12/81	フラットケーブルまたはリボンケーブルを除く他のケーブルへの接続
H01R12/82	低挿入力またはゼロ挿入力により接続したもの
H01R12/83	挿入後に印刷回路または類似の構造物の回動により接続したもの
H01R12/85	印刷回路または類似の構造物の挿入後に作動される端子が接触圧力を生ずる手段
H01R12/853	｛流体で作動するもの｝
H01R12/856	｛形状記憶材料で作動するもの｝
H01R12/87	剛性の印刷回路または類似の構造物の挿入によって自動的に作動されるもの
H01R12/88	コネクタのケース部分を手動で回転または回動させて作動させるもの
H01R12/89	コネクタのケース部分を手動で直線的に動かして作動させるもの，例．スライダ
H01R12/91	嵌合部分の間で相対的な運動を許容するもの，例．フローティングまたは自己整合（印刷回路，フラットケーブル，リボンケーブルまたはその類似の平面構造に特に適合されない嵌合装置のためのものはＨ０１Ｒ１３／６３１５が優先）
H01R13/00	グループＨ０１Ｒ１２／７０またはＨ０１Ｒ２４／００〜Ｈ０１Ｒ３３／００に分類される種類の嵌合装置の細部
H01R13/005	｛流体式結合と結びついた電気式結合｝
H01R13/02	接触部材
H01R13/025	｛ケーブル端部の導体で形成されたもの｝
H01R13/03	材質により特徴づけられるもの，例．メッキ材料または被覆材料
H01R13/035	｛メッキされた誘電体材料｝
H01R13/04	ソケットと共働するピンまたは刃
H01R13/05	弾性ピンまたは刃（別体の弾性部分を備えているものＨ０１Ｒ１３／１５）
H01R13/052	｛円形横断面を有するソケットと共働するもの｝
H01R13/055	｛長方形の横断面を有するソケットと共働するもの｝
H01R13/057	｛正方形の横断面を有するソケットと共働するもの｝
H01R13/08	弾性的に取り付けられた剛性ピンまたは刃
H01R13/10	ピンまたは刃と共働するソケット
H01R13/11	弾性ソケット（別体の弾性部分を備えているものＨ０１Ｒ１３／１５）
H01R13/111	｛円形の横断面を有するピンと共働するもの｝
H01R13/112	｛２つの脚部を有するフォーク形状のソケット｝
H01R13/113	｛長方形の横断面を有するピンまたは刃と共働するもの｝
H01R13/114	｛正方形の断面を有するピンまたは刃と共働するもの｝
H01R13/115	内側に曲げられた脚部を有するＵ字形状のソケット，例．鋤の形状
H01R13/14	弾性的に取り付けられた剛性ソケット
H01R13/15	接触圧力を生じまたは増大させるために別体のばね部材を有するピン，刃またはソケット
H01R13/17	ばね部材がピン上にあるもの
H01R13/18	ソケットを取り囲むばね部材をもつもの
H01R13/187	ばね部材がソケットの中にあるもの
H01R13/193	接続部品の接続の終了時に接触圧力を増大するための手段，｛例．挿入力がゼロまたは摩擦がないもの｝
H01R13/20	共働部品を一体に保持するように形成され，または別体の部材が設けられたピン，刃またはソケット
H01R13/207	ねじ込み接続によるもの
H01R13/213	バヨネット接続によるもの
H01R13/22	接合接触により共働するための接触子
H01R13/24	弾性的なもの；弾性的に取り付けられたもの
H01R13/2407	｛弾性手段に特徴のあるもの｝
H01R13/2414	｛導電性エラストマー｝
H01R13/2421	｛コイルばねを使用するもの｝
H01R13/2428	｛蛇行スプリングを使用するもの｝
H01R13/2435	｛対抗する接点のあるもの，例．Ｃビーム｝
H01R13/2442	｛単一の片持ち梁のあるもの｝
H01R13/245	｛打ち抜き弾性接点アームによるもの｝
H01R13/2457	｛同一の相手方部材に接触する少なくとも２つの弾性アームからなるもの｝
H01R13/2464	｛接点に特徴のあるもの｝
H01R13/2471	｛ピン形状｝
H01R13/2478	｛球状｝
H01R13/2485	｛ボールに接触するためのもの｝
H01R13/2492	｛複数の接点｝
H01R13/26	１側面においてのみ摺動的に共働するピンまたは刃形接触子｛（モジュラージャック形の接続器用のものＨ０１Ｒ２４／６２）｝
H01R13/28	同一形状の接触子と摺動的に共働する接触子（例．雌雄同体の接続装置用のもの）｛（Ｈ０１Ｒ２４／８４が優先）｝
H01R13/33	弾性線で作られた接触部材
H01R13/35	異なる型の接触部材と非同時に共働するためのもの（例．丸ピンとも平ピンとも共働するソケット）
H01R13/40	接触部材の基台，ケース内でのまたは基板，ケースへの固着；接触部材の絶縁
H01R13/405	取り出しできない固着（例．モールド，リベット）
H01R13/41	はとめ，パネルまたは基台内での摩擦把持によるもの
H01R13/415	接触部材の永久的変形によるもの
H01R13/42	取り外し可能な固着
H01R13/422	弾性のある単一の基台またはケース内での固着，｛例．摩擦によるもの｝；弾性的な鎖錠部材を伴って形成された単一の基台またはケース
H01R13/4223	｛指部を保持する，一体的な可撓性接触子からなるもの｝
H01R13/4226	｛単一接触子に作用する２以上の一体的な可撓性保持指部からなるもの｝
H01R13/424	少くとも１個の弾性絶縁部分を有する多数の絶縁部分からなる基台またはケース内で固着するもの
H01R13/426	基台またはケースで支持される別体の弾性保持片により固着するもの，例．カラー｛または金属接触保持クリップ｝
H01R13/428	接触部材上の弾性鎖錠部材によるもの；弾性接触部材上の鎖錠部材によるもの
H01R13/432	基台またはケースの肩部にはまる型打ちされた弾性舌片によるもの
H01R13/434	接触部材上への別体の弾性鎖錠部材によるもの（例．保持カラーまたは接触部材の回りの環）
H01R13/436	１個の鎖錠部片により多数の接触部材を固着するもの｛または作動｝
H01R13/4361	｛接触子の挿入方向に垂直な鎖錠片の挿入｝
H01R13/4362	｛一時的な，かつ最終的な鎖錠位置からなるもの｝
H01R13/4364	｛前面からの鎖錠片の挿入｝
H01R13/4365	｛一時的な，かつ最終的な鎖錠位置からなるもの｝
H01R13/4367	｛後部からの鎖錠片の挿入｝
H01R13/4368	｛一時的な，かつ最終的な鎖錠位置からなるもの｝
H01R13/44	通電中の接触子へ近づくのを防ぐ装置｛（相手方部品の係合により作動する開閉器を利用するものＨ０１Ｒ１３／７０３６）｝
H01R13/443	ダミープラグ
H01R13/447	シャッターまたはカバー
H01R13/453	相手方部品の係合により開くシャッターまたはカバー
H01R13/4532	｛回転するシャッター｝
H01R13/4534	｛横方向に摺動するシャッター｝
H01R13/4536	｛内部方向に枢軸で回転するシャッター｝
H01R13/4538	｛係合方向に摺動する，または引き抜くカバー｝
H01R13/46	基台；ケース
