H03F3/45282	｛長尾ペア（Ｈ０３Ｆ３／４５３０９，Ｈ０３Ｆ３／４５３３６が優先）｝
H03F3/45286	｛折り重なってないカスコードステージ｝
H03F3/45291	｛折り重なっているカスコードステージ｝
H03F3/45295	｛ＰＩタイプ（Ｈ０３Ｆ３／４５３２２，Ｈ０３Ｆ３／４５３４９が優先）｝　
H03F3/453	｛折り重なってないカスコードステージ｝
H03F3/45304	｛折り重なっているカスコードステージ｝
H03F3/45309	｛並列入力をもち並列に供給される相補型長尾ペア｝
H03F3/45313	｛折り重なってないカスコードステージ｝
H03F3/45318	｛折り重なっているカスコードステージ｝
H03F3/45322	｛並列入力をもち並列に供給される相補型ＰＩタイプ｝
H03F3/45327	｛折り重なってないカスコードステージ｝
H03F3/45331	｛折り重なっているカスコードステージ｝
H03F3/45336	｛並列入力をもち直列に供給される相補型長尾ペア｝
H03F3/4534	｛折り重なってないカスコードステージ｝
H03F3/45345	｛折り重なっているカスコードステージ｝
H03F3/45349	｛並列入力をもち直列に供給される相補型ＰＩタイプ｝
H03F3/45354	｛折り重なってないカスコードステージ｝
H03F3/45358	｛折り重なっているカスコードステージ｝
H03F3/45363	｛相補型交差結合タイプ｝
H03F3/45367	｛相補型非交差結合タイプ｝
H03F3/45372	｛ミラータイプ｝
H03F3/45376	｛接合形ＦＥＴトランジスタを有効増相回路として用いるもの（Ｈ０３Ｆ３／４５２７８が優先）｝
H03F3/45381	｛長尾ペア（Ｈ０３Ｆ３／４５４０８，Ｈ０３Ｆ３／４５４３４が優先）｝
H03F3/45385	｛折り重なってないカスコードステージ｝
H03F3/4539	｛折り重なっているカスコードステージ｝
H03F3/45394	｛ＰＩタイプ（Ｈ０３Ｆ３／４５４２１，Ｈ０３Ｆ３／４５４４８が優先）｝　
H03F3/45399	｛折り重なってないカスコードステージ｝
H03F3/45403	｛折り重なっているカスコードステージ｝
H03F3/45408	｛並列入力をもち並列に供給される相補型長尾ペア｝
H03F3/45412	｛折り重なってないカスコードステージ｝
H03F3/45417	｛折り重なっているカスコードステージ｝
H03F3/45421	｛並列入力をもち並列に供給される相補型ＰＩタイプ｝
H03F3/45426	｛折り重なってないカスコードステージ｝
H03F3/4543	｛折り重なっているカスコードステージ｝
H03F3/45434	｛並列入力をもち直列に供給される相補型長尾ペア｝
H03F3/45439	｛折り重なってないカスコードステージ｝
H03F3/45443	｛折り重なっているカスコードステージ｝
H03F3/45448	｛並列入力をもち直列に供給される相補型ＰＩタイプ｝
H03F3/45452	｛折り重なってないカスコードステージ｝
H03F3/45457	｛折り重なっているカスコードステージ｝
H03F3/45461	｛相補型交差結合タイプ｝
H03F3/45466	｛相補型非交差結合タイプ｝
H03F3/4547	｛ミラータイプ｝
H03F3/45475	｛ＩＣブロックを有効増相回路として用いるもの｝
H03F3/45479	｛コモンモード信号拒絶の方法によって特徴付けられるもの｝
H03F3/45484	｛有効増相回路として双極性トランジスタをもつ差動増幅器におけるもの（Ｈ０３Ｆ３／４５７８が優先）｝
H03F3/45488	｛フィードバック手段によるもの（Ｈ０３Ｆ３／４５７８が優先）｝
H03F3/45493	｛差動増幅器のロード回路を計測するもの｝
H03F3/45497	｛差動増幅器の入力回路を制御するもの｝
H03F3/45502	｛差動増幅器のエミッタ接地回路を制御するもの｝
H03F3/45506	｛差動増幅器の有効増相回路を制御するもの｝
H03F3/45511	｛差動増幅器のロード回路を制御するもの｝
H03F3/45515	｛差動増幅器の有効増相回路を計測するもの｝
H03F3/4552	｛差動増幅器の入力回路を制御するもの｝
H03F3/45524	｛差動増幅器のエミッタ接地回路を制御するもの｝
H03F3/45529	｛差動増幅器の有効増相回路を制御するもの｝
H03F3/45533	｛差動増幅器のエミッタ接地回路を計測するもの｝
H03F3/45538	｛差動増幅器の入力回路を制御するもの｝
H03F3/45542	｛差動増幅器のエミッタ接地回路を制御するもの｝
H03F3/45547	｛フィードフォワード手段によるもの（Ｈ０３Ｆ３／４５５９６が優先）｝
H03F3/45551	｛差動増幅器の入力回路を計測するもの｝
H03F3/45556	｛差動増幅器の入力回路を制御するもの｝
H03F3/4556	｛差動増幅器のエミッタ接地回路を制御するもの｝
