B		処理操作；運輸	PERFORMING OPERATIONS; TRANSPORTING	
B03B		液体による，または，風力テーブルまたはジグによる固体物質の分離<br><b><ul>サブクラス内の索引</ul></b><br>前処理　１／００<br>洗浄，湿式分離，風力ジグによる分離；供給と製品の排出　４／００，５／００；１１／００<br>工程または装置の組合せ　７／００<br>プラントの配列　９／００<br>物理的作用による制御　１３／００	SEPARATING SOLID MATERIALS USING LIQUIDS OR USING PNEUMATIC TABLES OR JIGS; <br><br><b><u>Subclass indexes</u></b><br><br><br>PRETREATMENT B03B1/00<br>WASHING, WET SEPARATING, SEPARATING BY PNEUMATIC JIGS; FEEDING AND DISCHARGING PRODUCTS TREATED THEREBY B03B4/00, B03B5/00; B03B11/00<br>COMBINATIONS OF PROCESSES OR APPARATUS B03B7/00<br>ARRANGEMENTS OF PLANT B03B9/00<br>CONTROL BY PHYSICAL EFFECTS B03B13/00	750
B03C		固体物質または流体から固体物質の磁気または静電気による分離；高圧電界による分離（同位元素の分離Ｂ０１Ｄ５９／００；磁気分離または静電分離と他の方法による固体の分離との組合せＢ０３Ｂ，Ｂ０７Ｂ）	MAGNETIC OR ELECTROSTATIC SEPARATION OF SOLID MATERIALS FROM SOLID MATERIALS OR FLUIDS; SEPARATION BY HIGH-VOLTAGE ELECTRIC FIELDS(separating isotopes B01D59/00; combinations of magnetic or electrostatic separation with separation of solids by other means B03B, B07B)	525
B03D		浮遊選別；差別沈降（固体相互の他の分離との組合せＢ０３Ｂ；浮沈分離Ｂ０３Ｂ５／２８）	FLOTATION; DIFFERENTIAL SEDIMENTATION(in combination with other separation of solids B03B; sink-float separation B03B5/28)	578
B04		物理的または化学的工程を行なうための遠心装置または機械<br><b><ul>注</ul></b><br>サブセクションタイトル“分離；混合”に続く注に注意すること。［４］	CENTRIFUGAL APPARATUS OR MACHINES FOR CARRYING-OUT PHYSICAL OR CHEMICAL PROCESSES; <br><br><b><u>Note(s)</u></b><br><br>Attention is drawn to the Notes following the subsection title "SEPARATING; MIXING".	
B04B		遠心分離機（高速ドラムミルＢ０２Ｃ１９／１１）<br><b><ul>注</ul></b><br>このサブクラスは分離，混合，乾燥，抽出，精製または類似の処理のため，回転容器または他の回転体によって遠心力を生ぜしめる機械または装置を包含する。機械または装置がポンプ効果を含む場合には，その効果は処理に付随するかまたは副次的なものでなければならない。	CENTRIFUGES(high-speed drum mills B02C19/11);<br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u> machines or apparatus for separating, mixing, drying, extracting, purifying, or like treating in which centrifugal effects are generated by rotary bowls or other rotors. Where such machines or apparatus involve pumping effects, such effects must be incidental or subsidiary to the treating.	568
B04C		自由過流を利用する装置，例．サイクロン（慣性力もしくは遠心力を利用した分離器を使って，排気から固体成分を除去する手段を持つ機械または機関用の，排気装置または消音装置Ｆ０１Ｎ３／０３７；サイクロン型燃焼装置Ｆ２３）<br><b><ul>注</ul></b><br>このサブクラスは回転容器，回転体または曲った通路以外の自由渦流によって遠心力が与えられるような分離，混合または類似の処理を行なうための装置を包含する。	APPARATUS USING FREE VORTEX FLOW, e.g. CYCLONES(exhaust or silencing apparatus for machines or engines having means for removing solid constituents of exhaust, using inertial or centrifugal separators F01N3/037; cyclonic type combustion apparatus F23);<br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u> apparatus for separating, mixing or like treating in which centrifugal effects are generated by free vortex flow, otherwise than by rotary bowls, rotors or curved passages.	347
B05		霧化または噴霧一般；流動性材料の表面への適用一般	SPRAYING OR ATOMISING IN GENERAL; APPLYING FLUENT MATERIALS TO SURFACES, IN GENERAL	
B05B		霧化装置；噴霧装置；ノズル（ノズルをもつスプレーミキサーＢ０１Ｆ２５／７２；噴霧によって液体または他の流動性材料を表面に適用する方法Ｂ０５Ｄ）<br><b><ul>注</ul></b><br>このサブクラスはミストまたはその類似物を形成するために大気中または室中への液滴または微細液滴の吐出や射出のための装置を特に包含する。この目的のために，射出される材料は気体または蒸気の流れの中に懸濁されてもよい。［２］<br><b><ul>サブクラス内の索引</ul></b><br>それらの構造に特徴のある装置　３／００，９／００，１１／００<br>２つまたはそれ以上の源より流体を放出する装置　７／００<br>静電的または電気的装置　５／００<br>それらの操作に特徴のある装置　１１／００，１３／００<br>過剰の噴霧材料を回収，再利用または除去するための装置　１４／００<br>スプレーブース　１６／００<br>その他の装置　１７／００<br>排出開口部またはその他の細部　１／００，１５／００<br>放出の制御　１２／００	SPRAYING APPARATUS; ATOMISING APPARATUS; NOZZLES(spray-mixers with nozzles B01F25/72; processes for applying liquids or other fluent materials to surfaces by spraying B05D);<br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u> particularly apparatus for the release or projection of drops or droplets into the atmosphere or into a chamber to form a mist or the like. For this purpose, the materials to be projected may be suspended in a stream of gas or vapour.  <br><br><b><u>Subclass indexes</u></b><br><br><br>APPARATUS CHARACTERISED BY THEIR STRUCTUREB05B3/00, B05B9/00, B05B11/00<br>APPARATUS FOR DISCHARGE OF FLUIDS FROM TWO OR MORE SOURCESB05B7/00<br>ELECTROSTATIC OR ELECTRIC APPARATUSB05B5/00<br>APPARATUS CHARACTERISED BY MANIPULATION THEREOFB05B11/00, B05B13/00<br>ARRANGEMENTS FOR COLLECTING, RE-USING OR ELIMINATING EXCESS SPRAYING MATERIALB05B14/00<br>SPRAY BOOTHS B05B16/00<br>OTHER APPARATUSB05B17/00<br>OUTLETS OR OTHER DETAILSB05B1/00, B05B15/00<br>DELIVERY CONTROLB05B12/00	3074
B05C		流動性材料を表面に適用する装置一般（霧化装置，噴霧装置，ノズルＢ０５Ｂ；静電噴霧によって液体または他の流動性材料を対象物に適用するための設備Ｂ０５Ｂ５／０８）<br><b><ul>注</ul></b><br>（１）このサブクラスは，あらゆる機械的または物理的方法によって，液体または他の流動性材料を表面の全部または一部に適用する装置または手工具一般，特に液体または他の流動性材料を表面に均一に分布させるための装置を包含する。［２］<br>（２）手工具または手持ち工具を用いる装置は，Ｂ０５Ｃ１７／００に分類する。［２００９．０１］<br><b><ul>サブクラス内の索引</ul></b><br>使用される手段に特徴のある装置　１／００，３／００，５／００，９／００<br>特殊な被加工物または材料のための装置　７／００，１９／００<br>手工具　１７／００<br>細部または付属品　１１／００，１３／００，１５／００，１７／００，２１／００	APPARATUS FOR APPLYING FLUENT MATERIALS TO SURFACES, IN GENERAL(spraying apparatus, atomising apparatus, nozzles B05B; plant for applying liquids or other fluent materials to objects by electrostatic spraying B05B5/08);<br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u> apparatus or hand tools, in general, for applying liquids or other fluent materials to a surface or a part thereof, by any mechanical or physical method, in particular apparatus for obtaining a uniform distribution of liquids or other fluent materials on a surface.   Hand tools or apparatus using hand-held tools are classified in group B05C17/00. <br><br><b><u>Subclass indexes</u></b><br><br><br>APPARATUS CHARACTERISED BY THE MEANS USED B05C1/00, B05C3/00, B05C5/00, B05C9/00<br>APPARATUS FOR SPECIAL WORK OR MATERIALS B05C7/00, B05C19/00<br>HAND TOOLS B05C17/00<br>DETAILS OR ACCESSORIES B05C11/00, B05C13/00, B05C15/00, B05C17/00, B05C21/00	1533
B05D		流動性材料を表面に適用する方法一般（液体槽中での物品または被加工品の運搬Ｂ６５Ｇ，例．Ｂ６５Ｇ４９／０２）<br><b><ul>注</ul></b><br>このサブクラスは，以下のものを包含する：<br>―あらゆる機械的または物理的方法により，液体または他の流動性材料を表面の全部または一部に適用する方法一般および特に表面に液体または他の流動性材料を均一に分布させる方法；<br>―液体または他の流動性材料を適用する表面の前処理；<br>―適用されたコーディングの後処理［２］<br><b><ul>サブクラス内の索引</ul></b><br>次の特徴を有するプロセス<br>使用される手段によって　１／００<br>得られる特殊な効果によって　５／００<br>処理される表面によって　７／００<br>表面の前処理；コーティングの後処理　３／００	PROCESSES FOR APPLYING FLUENT MATERIALS TO SURFACES, IN GENERAL(conveying articles or workpieces through baths of liquid B65G, e.g. B65G49/02);<br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers  </u>:processes for applying liquids or other fluent materials to a surface or part of a surface, in general, by any mechanical or physical method and particularly processes producing a uniform distribution of liquids or other fluent materials on a surface;pretreatment of surfaces to which liquids or other fluent materials are to be applied;after-treatment of applied coatings.  <br><br><b><u>Subclass indexes</u></b><br><br><br>PROCESSES CHARACTERISED BY<br>means used B05D1/00<br>special result obtained B05D5/00<br>surfaces to be treated B05D7/00<br>PRETREATMENT OF SURFACES; AFTER-TREATMENT OF COATINGS B05D3/00	773
B06		機械的振動の発生または伝達一般	GENERATING OR TRANSMITTING MECHANICAL VIBRATIONS IN GENERAL	
B06B		機械的振動の発生または伝達一般（特殊な物理的または化学的プロセスのためのものは，関連サブクラス，例．Ｂ０７Ｂ１／４０，Ｂ２２Ｃ１９／０６，Ｂ２３Ｑ１７／１２，Ｂ２４Ｂ３１／０６，Ｅ０１Ｃ１９／２２，を参照；発生と測定の組合せを含む機械振動の測定Ｇ０１Ｈ；音波の反射または再放射を使用する方式；Ｇ０１Ｓ１５／００；探鉱用地震エネルギの発生Ｇ０１Ｖ１／０２；機械的振動の制御Ｇ０５Ｄ１９／００；音を伝達し，導きまたは指向させるための方法または装置一般Ｇ１０Ｋ１１／００；音響波の合成Ｇ１０Ｋ１５／０２；圧電素子，電わい素子または磁わい素子Ｈ１０Ｎ３０／００，Ｈ１０Ｎ３５／００；振動する磁石，電機子またはコイルを有する電動機Ｈ０２Ｋ３３／００；圧電効果，電わいまたは磁わいを用いる電機Ｈ０２Ｎ２／００；電気的振動発生Ｈ０３Ｂ；共振回路素子のような電気機械的共振器Ｈ０３Ｈ；スピーカ，マイクロホン，蓄音機ピックアップまたは類似の音響電気機械変換器Ｈ０４Ｒ）［２］<br><b><ul>注</ul></b><br>（１）このサブクラスは，たとえば機械的作業を行う目的で，固体中に機械的振動を発生させる装置を包含する。［６］<br>（２）このサブクラスは，流体中に機械的振動を発生させる装置を包含しない。それはサブクラスＧ１０Ｋに包含される。［６］	GENERATING OR TRANSMITTING MECHANICAL VIBRATIONS IN GENERAL(for particular physical or chemical processes, <u>see</u> the relevant subclasses, e.g. B07B1/40, B22C19/06, B23Q17/12, B24B31/06, E01C19/22; measurement of mechanical vibrations, including the combination of generation and measurement, G01H; systems using reflection or reradiation of acoustic waves G01S15/00; generating seismic energy for prospecting G01V1/02; control of mechanical vibrations G05D19/00; methods or devices for transmitting, conducting or directing sound, in general G10K11/00; synthesis of acoustic waves G10K15/02; piezoelectric, electrostrictive or magnetostrictive elements H10N30/00, H10N35/00; motors with vibrating magnet, armature or coil H02K33/00; motors using piezoelectric effect, electrostriction or magnetostriction H02N2/00; generation of electrical oscillations H03B; electromechanical resonators as resonant circuit elements H03H; loudspeakers, microphones, gramophone pick-ups or like acoustic electromechanical transducers H04R);<br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u> arrangements for generating mechanical vibrations in solids, e.g. for the purpose of performing mechanical work. This subclass <u>does not cover</u> arrangements for generating mechanical vibrations in fluids, which are covered by subclass G10K.	416
B07		固体相互の分離；仕分け	SEPARATING SOLIDS FROM SOLIDS; SORTING	
B07B		ふるい分け，スクリーン分け，シフト分けによる，または気体流の利用による固体相互の分離；ばらの材料に適応可能な他の乾式による分離，例．ばらの材料と同様の扱いに適したばらの物品に適応可能な他の乾式による分離（湿式分離工程，同分離工程における液体と同様の方法で流動物質を用いる方法による選別Ｂ０３；乾式分離装置と湿式分離装置との組合せＢ０３Ｂ；液体を使用するものＢ０３Ｂ，Ｂ０３Ｄ；固体物質または流体からの固体物質の磁気または静電気による分離を用いた仕分け，高圧電界による分離Ｂ０３Ｃ；物理的工程を行なうための処理遠心分離機または渦装置Ｂ０４；手による選別，郵便に関する選別，切り換え，または物品もしくは材料のサンプルのある特徴を検知または測定することにより作動するその他の装置による選別Ｂ０７Ｃ）<br><b><ul>注</ul></b><br>このサブクラスは以下のものを包含する：<br>―装置の構造および材料の性質から自動的に起因するばらの材料またはばらの材料と同様に扱われる物品のふるい分けまたは等級付け，例．最低重量の目的物の下で開くトラップによるもの，累進的な大きさの開孔によるもの；<br>―同じ条件が適用される限りの物品のふるい分け，例．連続的に長くなる開孔の上を通過させて材木をふるい分けするもの；その物品はふるい分けの目的のために方向付けをされていてもいなくてもよい。<br><b><ul>サブクラス内の索引</ul></b><br>金網，格子またはグリッドを使用する固体相互の分離　１／００<br>気体の流れを使用する固体相互の分離　４／００，７／００，９／００，１１／００<br>その他の分離；組合せ　１３／００；１５／００	SEPARATING SOLIDS FROM SOLIDS BY SIEVING, SCREENING, SIFTING OR BY USING GAS CURRENTS; SEPARATING BY OTHER DRY METHODS APPLICABLE TO BULK MATERIAL, e.g. LOOSE ARTICLES FIT TO BE HANDLED LIKE BULK MATERIAL(wet separating processes, sorting by processes using fluent material in the same way as liquid B03; combinations of dry separating apparatus with wet separating apparatus B03B; using liquids B03B, B03D; sorting by magnetic or electrostatic separation of solid materials from solid materials or fluids, separation by high voltage electric fields B03C; centrifuges or vortex apparatus for carrying out physical processes B04; hand sorting, postal sorting, sorting by switching or other devices actuated in response to detection or measurement of some feature of articles or samples of material B07C);<br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u>:any sorting or grading of bulk material or loose articles fit to be handled like bulk material which results automatically from the construction of the apparatus and properties of the material, e.g. by a trap opening under an object of a certain minimum weight, by an aperture of graduated size;sorting of articles in so far as the same conditions apply, e.g. sorting of timber by passing it over successively longer openings; the articles may or may not be orientated for the purpose of sorting.<br><br><b><u>Subclass indexes</u></b><br><br><br>SEPARATING SOLIDS FROM SOLIDS USING NETWORKS, GRATINGS, OR GRIDS B07B1/00<br>SEPARATING SOLIDS FROM SOLIDS USING GAS CURRENTS B07B4/00, B07B7/00, B07B9/00, B07B11/00<br>OTHER SEPARATING; COMBINATIONS B07B13/00; B07B15/00	1093
B07C		郵便に関する選別；順次に仕分けする，例．取り出すことによって，に適した個別の物品またはばらの材料の仕分け（他のクラスに包含される特殊目的に特に適するものは，関連した箇所を参照，例．Ａ４３Ｄ３３／０６，Ｂ２３Ｑ７／１２）<br><b><ul>注</ul></b><br>このサブクラスは，材料または物品のある特徴の検査または検知もしくは測定の結果として，手または，手動的または自動的に動かされる装置による材料または物品の選別を包含する。<br><b><ul>サブクラス内の索引</ul></b><br>方法に特徴のある選別　５／００，７／００，９９／００<br>目的地に従った選別　１／００，３／００	POSTAL SORTING; SORTING INDIVIDUAL ARTICLES, OR BULK MATERIAL FIT TO BE SORTED PIECE-MEAL, e.g. BY PICKING(specially adapted for a specific purpose covered by another class, <u>see</u> the relevant place, e.g. A43D33/06, B23Q7/12);<br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u> sorting of materials or articles by hand or by devices actuated, manually or automatically, as a result of inspection or of detection or measurement of some feature of the material or articles.<br><br><b><u>Subclass indexes</u></b><br><br><br>SORTING CHARACTERISED BY THE METHOD B07C5/00, B07C7/00, B07C99/00<br>SORTING ACCORDING TO DESTINATION B07C1/00, B07C3/00	462
B08		清掃	CLEANING	
B08B		清掃一般；汚れ防止一般<br><b><ul>注</ul></b><br>このサブクラスは，関連する応用箇所に十分に分類できる物品，物質，装置，または周囲環境に，特に適している清掃は包含しない。それ以外の場合は，このサブクラスの最も適切な場所に分類される。<br><br><br><br><br><br><br><br><br><b><ul>サブクラス内の索引</ul></b><br>使用する手段に特徴のある清掃　１／００，３／００，５／００，６／００，７／００<br>中空物品，柔軟なまたは繊細な物品の清掃　９／００，１１／００<br>付属品または機構の細部　１３／００<br>じんあいまたは臭気の汚れまたは漏れの防止　１５／００，１７／００	CLEANING IN GENERAL; PREVENTION OF FOULING IN GENERAL ; <br><br><b><u>Note(s)</u></b><br><br>This subclass <u>does not cover</u> cleaning specially adapted for articles, substances, devices or surroundings provided that its cleaning aspects are fully classifiable in the relevant application place. Otherwise, classification is made in the most appropriate place in this subclass.<br><br><b><u>Subclass indexes</u></b><br><br><br>CLEANING CHARACTERISED BY THE MEANS USED B08B1/00, B08B3/00, B08B5/00, B08B6/00, B08B7/00<br>CLEANING HOLLOW, FLEXIBLE OR DELICATE ARTICLES B08B9/00, B08B11/00<br>ACCESSORIES OR DETAILS OF MACHINES B08B13/00<br>PREVENTING FOULING OR ESCAPE OF DIRT OR FUMES B08B15/00, B08B17/00	2136
B09		固体廃棄物の処理；汚染土壌の再生［３，６］	DISPOSAL OF SOLID WASTE; RECLAMATION OF CONTAMINATED SOIL	
