G06F1/3293	12	by switching to a less power-consuming processor, e.g. sub-CPU	G06F1/3293	G06F1/3293		1266
G06F1/3296	12	by lowering the supply or operating voltage	G06F1/3296	G06F1/3296		4259
G06F3/00	7	Input arrangements for transferring data to be processed into a form capable of being handled by the computer; Output arrangements for transferring data from processing unit to output unit, e.g. interface arrangements	G06F3/00	G06F3/00		3427
G06F3/002	8	{Specific input/output arrangements not covered by G06F3/01&#160;-&#160;G06F3/16(other optical apparatus G02B27/00)}	G06F3/00	G06F3/00		1001
G06F3/005	9	{Input arrangements through a video camera}	G06F3/00	G06F3/00		3199
G06F3/007	8	{Digital input from or digital output to memories of the shift register type}	G06F3/00	G06F3/00		74
G06F3/01	8	Input arrangements or combined input and output arrangements for interaction between user and computer (G06F3/16 takes precedence)	G06F3/01	G06F3/01		8220
G06F3/011	9	{Arrangements for interaction with the human body, e.g. for user immersion in virtual reality (blind teaching G09B21/00)}	G06F3/01	G06F3/01		35802
G06F3/012	10	{Head tracking input arrangements}	G06F3/01	G06F3/01		8401
G06F3/013	10	{Eye tracking input arrangements (G06F3/015 takes precedence)}	G06F3/01	G06F3/01		16285
G06F3/014	10	{Hand-worn input/output arrangements, e.g. data gloves}	G06F3/01	G06F3/01		5408
G06F3/015	10	{Input arrangements based on nervous system activity detection, e.g. brain waves [EEG] detection, electromyograms [EMG] detection, electrodermal response detection}	G06F3/01	G06F3/01		5584
G06F3/016	9	{Input arrangements with force or tactile feedback as computer generated output to the user}	G06F3/01	G06F3/01		15019
G06F3/017	9	{Gesture based interaction, e.g. based on a set of recognized hand gestures (interaction based on gestures traced on a digitiser G06F3/04883)}	G06F3/01	G06F3/01		25901
G06F3/018	9	{Input/output arrangements for oriental characters}	G06F3/01	G06F3/01		2812
G06F3/02	9	Input arrangements using manually operated switches, e.g. using keyboards or dials	G06F3/02	G06F3/02		3790
G06F3/0202	10	{Constructional details or processes of manufacture of the input device}	G06F3/02	G06F3/02		6799
G06F3/0205	11	{Lever arrangements for operating keyboard cursor control keys in a joystick-like manner}	G06F3/02	G06F3/02		195
G06F3/0208	11	{Arrangements for adjusting the tilt angle of a keyboard, e.g. pivoting legs (for keyboards integrated in a laptop computer G06F1/1667)}	G06F3/02	G06F3/02		492
G06F3/021	11	{Arrangements integrating additional peripherals in a keyboard, e.g. card or barcode reader, optical scanner}	G06F3/02	G06F3/02		1367
G06F3/0213	12	{Arrangements providing an integrated pointing device in a keyboard, e.g. trackball, mini-joystick (for pointing devices integrated in a laptop computer G06F1/169; joysticks G05G9/047; constructional details of pointing devices G06F3/033)}	G06F3/02	G06F3/02		1009
G06F3/0216	11	{Arrangements for ergonomically adjusting the disposition of keys of a keyboard (for keyboards integrated in a laptop computer G06F1/1664)}	G06F3/02	G06F3/02		661
G06F3/0219	11	{Special purpose keyboards}	G06F3/02	G06F3/02		3534
G06F3/0221	11	{Arrangements for reducing keyboard size for transport or storage, e.g. foldable keyboards, keyboards with collapsible keys (G06F3/0216 takes precedence; for keyboards integrated in a laptop computer G06F1/1666)}	G06F3/02	G06F3/02		820
G06F3/0224	11	{Key guide holders}	G06F3/02	G06F3/02		129
G06F3/0227	10	{Cooperation and interconnection of the input arrangement with other functional units of a computer (G06F3/023&#160;-&#160;G06F3/037 take precedence)}	G06F3/02	G06F3/02		1594
