G07F17/16	8	for devices exhibiting advertisements, announcements, pictures or the like	G07F17/16	G07F17/16		1353
G07F17/163	9	{for film projection apparatus}	G07F17/16	G07F17/16		87
G07F17/166	9	{for calendars}	G07F17/16	G07F17/16		117
G07F17/18	8	for washing or drying persons	G07F17/18	G07F17/18		418
G07F17/20	8	for washing or drying articles, e.g. clothes, motor cars	G07F17/20	G07F17/20		770
G07F17/22	8	for cleaning and polishing boots or shoes	G07F17/22	G07F17/22		40
G07F17/24	8	for parking meters	G07F17/24	G07F17/24		1209
G07F17/242	9	{provided with token dispensing devices}	G07F17/24	G07F17/24		81
G07F17/244	9	{provided with means for retaining a vehicle}	G07F17/24	G07F17/24		123
G07F17/246	9	{provided with vehicle proximity-detectors (detecting hidden masses, e.g. metal detectors, G01V, e.g. G01V3/00; proximity switches per seH03K17/00; traffic control systems G08G1/00)}	G07F17/24	G07F17/24		301
G07F17/248	9	{Housing construction (casings for coin-freed apparatus G07F9/10)}	G07F17/24	G07F17/24		160
G07F17/26	8	for printing, stamping, franking, typing or teleprinting apparatus (ticket printing or the like apparatus G07F17/42)	G07F17/26	G07F17/26		1415
G07F17/263	9	{for weighing devices (for personal weighing apparatus G07F17/045)}	G07F17/26	G07F17/26		101
G07F17/266	9	{for the use of a photocopier or printing device (photocopiers H04N1/00)}	G07F17/26	G07F17/26		439
G07F17/28	8	for radio apparatus	G07F17/28	G07F17/28		149
G07F17/30	8	for musical instruments	G07F17/30	G07F17/30		224
G07F17/305	9	{for record players}	G07F17/30	G07F17/30		492
G07F17/32	8	for games, toys, sports, or amusements	G07F17/32	G07F17/32		11590
G07F17/3202	9	{Hardware aspects of a gaming system, e.g. components, construction, architecture thereof}	G07F17/32	G07F17/32		1462
G07F17/3204	10	{Player-machine interfaces}	G07F17/32	G07F17/32		299
G07F17/3206	11	{Player sensing means, e.g. presence detection, biometrics}	G07F17/32	G07F17/32		632
G07F17/3209	11	{Input means, e.g. buttons, touch screen}	G07F17/32	G07F17/32		1547
G07F17/3211	11	{Display means}	G07F17/32	G07F17/32		3452
G07F17/3213	12	{Details of moving display elements, e.g. spinning reels, tumbling members}	G07F17/32	G07F17/32		2522
G07F17/3216	10	{Construction aspects of a gaming system, e.g. housing, seats, ergonomic aspects}	G07F17/32	G07F17/32		1467
G07F17/3218	11	{wherein at least part of the system is portable}	G07F17/32	G07F17/32		682
G07F17/322	11	{Casino tables, e.g. tables having integrated screens, chip detection means}	G07F17/32	G07F17/32		1234
G07F17/3223	10	{Architectural aspects of a gaming system, e.g. internal configuration, master/slave, wireless communication}	G07F17/32	G07F17/32		2138
G07F17/3225	9	{Data transfer within a gaming system, e.g. data sent between gaming machines and users}	G07F17/32	G07F17/32		1898
G07F17/3227	10	{Configuring a gaming machine, e.g. downloading personal settings, selecting working parameters}	G07F17/32	G07F17/32		1615
G07F17/323	10	{wherein the player is informed, e.g. advertisements, odds, instructions}	G07F17/32	G07F17/32		1684
G07F17/3232	10	{wherein the operator is informed}	G07F17/32	G07F17/32		686
G07F17/3234	11	{about the performance of a gaming system, e.g. revenue, diagnosis of the gaming system}	G07F17/32	G07F17/32		630
G07F17/3237	11	{about the players, e.g. profiling, responsible gaming, strategy/behavior of players, location of players}	G07F17/32	G07F17/32		962
G07F17/3239	12	{Tracking of individual players}	G07F17/32	G07F17/32		1316
G07F17/3241	9	{Security aspects of a gaming system, e.g. detecting cheating, device integrity, surveillance (computer security G06F21/00)}	G07F17/32	G07F17/32		1673
G07F17/3244	9	{Payment aspects of a gaming system, e.g. payment schemes, setting payout ratio, bonus or consolation prizes}	G07F17/32	G07F17/32		5207
G07F17/3246	10	{involving coins and/or banknotes}	G07F17/32	G07F17/32		564
G07F17/3248	10	{involving non-monetary media of fixed value, e.g. casino chips of fixed value}	G07F17/32	G07F17/32		1150
G07F17/3251	10	{involving media of variable value, e.g. programmable cards, programmable tokens}	G07F17/32	G07F17/32		833
G07F17/3253	10	{involving articles, e.g. paying in bottles, paying out toys}	G07F17/32	G07F17/32		377
G07F17/3255	10	{Incentive, loyalty and/or promotion schemes, e.g. comps, gaming associated with a purchase, gaming funded by advertisements}	G07F17/32	G07F17/32		1346
