H01M6/50	8	Methods or arrangements for servicing or maintenance, e.g. for maintaining operating temperature (constructional details of current conducting connections for detecting conditions inside cells or batteries, e.g. details of voltage sensing terminals, H01M50/569)	H01M6/50	H01M6/50		869
H01M6/5005	9	{Auxiliary electrodes}	H01M6/50	H01M6/50		117
H01M6/5011	9	{for several cells simultaneously or successively}	H01M6/50	H01M6/50		169
H01M6/5016	10	{Multimode utilisation}	H01M6/50	H01M6/50		90
H01M6/5022	9	{Arrangements for moving electrodes or separating elements}	H01M6/50	H01M6/50		29
H01M6/5027	9	{Dummy cells}	H01M6/50	H01M6/50		27
H01M6/5033	9	{used as charging means for another battery}	H01M6/50	H01M6/50		101
H01M6/5038	9	{Heating or cooling of cells or batteries}	H01M6/50	H01M6/50		471
H01M6/5044	9	{Cells or batteries structurally combined with cell condition indicating means}	H01M6/50	H01M6/50		344
H01M6/505	10	{Cells combined with indicating means for external visualization of the condition, e.g. by change of colour or of light intensity}	H01M6/50	H01M6/50		258
H01M6/5055	10	{End of discharge indicated by a voltage step}	H01M6/50	H01M6/50		47
H01M6/5061	10	{Cells combined with sound indicating means}	H01M6/50	H01M6/50		20
H01M6/5066	9	{Type recognition}	H01M6/50	H01M6/50		52
H01M6/5072	9	{Preserving or storing cells}	H01M6/50	H01M6/50		65
H01M6/5077	9	{Regeneration of reactants or electrolyte}	H01M6/50	H01M6/50		133
H01M6/5083	9	{Testing apparatus}	H01M6/50	H01M6/50		220
H01M6/5088	9	{Initial activation; predischarge; Stabilisation of initial voltage}	H01M6/50	H01M6/50		155
H01M2006/5094	9	{Aspects relating to capacity ratio of electrolyte/electrodes or anode/cathode}	H01M6/50	H01M6/50		70
H01M6/52	8	Reclaiming serviceable parts of waste cells or batteries {, e.g. recycling}	H01M6/52	H01M6/52		1071
