G06K13/0875	11	{the arrangement comprising a shutter for blocking at least part of the card insertion slot}	G06K13/08	G06K13/08		224
G06K13/0881	12	{the shutter arranged to open only if the record carrier has been authenticated to enter the insertion slot}	G06K13/08	G06K13/08		37
G06K13/0887	11	{the arrangement comprising a size filter for filtering out only cards having the proper size}	G06K13/08	G06K13/08		61
G06K13/0893	11	{the arrangement comprising means for cleaning the card upon insertion}	G06K13/08	G06K13/08		155
G06K13/10	10	from magazine to conveying arrangement	G06K13/10	G06K13/10		260
G06K13/103	11	using mechanical means	G06K13/103	G06K13/103		398
G06K13/107	11	using pneumatic means	G06K13/107	G06K13/107		191
G06K13/12	10	from conveying arrangement to magazine	G06K13/12	G06K13/12		330
G06K13/14	10	Card magazines, e.g. pocket, hopper	G06K13/14	G06K13/14		467
G06K13/16	9	Handling flexible sheets, e.g. cheques	G06K13/16	G06K13/16		133
G06K13/18	8	the record carrier being longitudinally extended, e.g. punched tape	G06K13/18	G06K13/18		81
G06K13/20	9	Details	G06K13/20	G06K13/20		98
G06K13/22	10	Capstans; Pinch rollers	G06K13/22	G06K13/22		81
G06K13/24	9	Guiding of record carriers; Recognising end of record carrier	G06K13/24	G06K13/24		119
G06K13/26	9	Winding-up or unwinding of record carriers; Driving of record carriers	G06K13/26	G06K13/26		240
G06K13/28	10	continuously	G06K13/28	G06K13/28		61
G06K13/30	10	intermittently	G06K13/30	G06K13/30		151
G06K15/00	7	Arrangements for producing a permanent visual presentation of the output data {, e.g. computer output printers}(printing or plotting combined with another operation, e.g. with conveying, G06K17/00)	G06K15/00	G06K15/00		2982
G06K15/002	8	{Interacting with the operator}	G06K15/00	G06K15/00		282
G06K15/005	9	{only locally}	G06K15/00	G06K15/00		560
G06K15/007	9	{only remotely, e.g. at a host computer (dedicated computer interfaces to print systems G06F3/1201)}	G06K15/00	G06K15/00		146
G06K15/02	8	using printers	G06K15/02	G06K15/02		3198
G06K15/021	9	{Adaptations for printing on specific media}	G06K15/02	G06K15/02		460
G06K15/022	10	{for printing on continuous media, e.g. tapes}	G06K15/02	G06K15/02		200
G06K15/023	10	{for printing on transparent media}	G06K15/02	G06K15/02		64
G06K15/024	10	{for printing on segmented surfaces, e.g. sticker sheets, label rolls}	G06K15/02	G06K15/02		232
G06K15/025	9	{Simulating output on another printing arrangement, e.g. proof output (matching two or more picture signal generators or two or more picture reproducers H04N1/6052)}	G06K15/02	G06K15/02		102
G06K15/026	10	{introduction of proof output parameters}	G06K15/02	G06K15/02		28
G06K15/027	9	{Test patterns and calibration (arrangements for controlling or analysing printing mechanisms of typewriters or selective printing units B41J29/393 takes precedence; colour correction using test pattern analysis in general H04N1/6033)}	G06K15/02	G06K15/02		742
