F16B12/2027	12	{with rotating excenters or wedges}	F16B12/20	F16B12/20		314
F16B12/2036	13	{with rotating excenters or wedges acting on a head of a pin or screw}	F16B12/20	F16B12/20		445
F16B2012/2045	12	{pin and drum securing device;  drum has screw to engage the head of the pin}	F16B12/20	F16B12/20		76
F16B12/2054	12	{with engaging screw threads as securing means for limiting movement}	F16B12/20	F16B12/20		34
F16B12/2063	13	{with engaging screw threads as tightening means}	F16B12/20	F16B12/20		284
F16B2012/2072	12	{Pin and drum securing devices;  Drums having lever with cam surface to engage the head of the pin}	F16B12/20	F16B12/20		22
F16B2012/2081	12	{having a fitting providing slanted access for a screwdriver as actuator}	F16B12/20	F16B12/20		34
F16B2012/209	12	{having an integrated lever as actuator}	F16B12/20	F16B12/20		61
F16B12/22	10	using keyhole-shaped slots and pins	F16B12/22	F16B12/22		413
F16B12/24	10	using separate pins, dowels, or the like	F16B12/24	F16B12/24		1150
F16B12/26	10	using snap-action elements	F16B12/26	F16B12/26		727
F16B12/28	9	for metal furniture parts	F16B12/28	F16B12/28		186
F16B12/30	10	using threaded bolts	F16B12/30	F16B12/30		433
F16B12/32	10	using clamps, clips, wedges, sliding bolts, or the like	F16B12/32	F16B12/32		668
F16B12/34	10	using keyhole-shaped slots and pins	F16B12/34	F16B12/34		212
F16B12/36	10	using separate pins, dowels or the like	F16B12/36	F16B12/36		138
F16B12/38	10	using snap-action elements	F16B12/38	F16B12/38		226
F16B12/40	8	Joints for furniture tubing	F16B12/40	F16B12/40		1485
F16B2012/403	9	{with inserts for joining tubes coaxially}	F16B12/40	F16B12/40		81
F16B2012/406	9	{Cove joints for joining two cylindrical members}	F16B12/40	F16B12/40		34
F16B12/42	9	connecting furniture tubing to non-tubular parts {(connecting table tops to underframes A47B13/003)}	F16B12/42	F16B12/42		532
F16B12/44	8	Leg joints; Corner joints	F16B12/44	F16B12/44		1230
F16B2012/443	9	{with two-dimensional corner element, the legs thereof being inserted in hollow frame members}	F16B12/44	F16B12/44		212
F16B2012/446	9	{with three-dimensional corner element, the legs thereof being inserted in hollow frame members}	F16B12/44	F16B12/44		350
F16B12/46	9	Non-metal corner connections	F16B12/46	F16B12/46		1474
F16B2012/463	10	{for wooden members without additional elements}	F16B12/46	F16B12/46		80
F16B2012/466	10	{using mortise and tenon joints}	F16B12/46	F16B12/46		115
F16B12/48	9	Non-metal leg connections (F16B12/46 takes precedence)	F16B12/48	F16B12/48		382
F16B12/50	9	Metal corner connections	F16B12/50	F16B12/50		919
F16B2012/505	10	{having a corner insert which is inserted in mitered profiled members}	F16B12/50	F16B12/50		129
F16B12/52	9	Metal leg connections (F16B12/50 takes precedence)	F16B12/52	F16B12/52		486
F16B12/54	8	Fittings for bedsteads or the like	F16B12/54	F16B12/54		425
F16B12/56	9	Brackets for bedsteads; Coupling joints consisting of bolts or the like; Latches therefor	F16B12/56	F16B12/56		543
F16B12/58	9	Tapered connectors for bed rails	F16B12/58	F16B12/58		614
F16B12/60	9	Fittings for detachable side panels	F16B12/60	F16B12/60		559
F16B13/00	7	Dowels or other devices fastened in walls or the like by inserting them in holes made therein for that purpose (nails F16B15/00; self-locking pins or bolts in general, stud-and-socket releasable fastenings F16B21/00; dowels or bolts for railroad sleepers E01B9/00; ans means for anchoring structural elements or bulkheads specially adapted to foundation engineering E02D5/74; bolts or dowels used while laying bricks or casting concrete sleepers E04B1/38; setting anchoring bolts in shafts, tunnels or galleries E21D20/00; anchoring bolts for shafts, tunnels or galleries E21D21/00)	F16B13/00	F16B13/00		1105
F16B13/001	8	{with means for preventing rotation of the dowel}	F16B13/00	F16B13/00		164
F16B13/002	8	{self-cutting}	F16B13/00	F16B13/00		446
F16B13/003	9	{with a separate drilling bit attached to or surrounded by the dowel element}	F16B13/00	F16B13/00		135
F16B13/004	9	{with a drilling sleeve driven against a tapered or spherical plug}	F16B13/00	F16B13/00		79
F16B13/005	8	{formed in integral series but easily separable}	F16B13/00	F16B13/00		37
F16B2013/006	8	{with sealing means}	F16B13/00	F16B13/00		100
F16B2013/007	8	{to be fastened in undercut holes}	F16B13/00	F16B13/00		219
F16B2013/008	8	{used for mining purposes}	F16B13/00	F16B13/00		28
F16B2013/009	8	{Double sleeve dowels, i.e. the first sleeve is fixed in a hole by the action of a second sleeve and one of the sleeves receives a nail, a screw or the like}	F16B13/00	F16B13/00		55
F16B13/02	8	in one piece with protrusions or ridges on the shaft	F16B13/02	F16B13/02		874
F16B13/025	9	{of rolled sheet material}	F16B13/02	F16B13/02		101
F16B13/04	8	with parts gripping in the hole or behind the reverse side of the wall after inserting from the front ({F16B13/002 and F16B13/12 take precedence;} friction-grip releasable fastenings in general F16B2/00)	F16B13/04	F16B13/04		773
F16B13/045	9	{having axially compressing parts allowing the clamping of an object tightly to the wall}	F16B13/04	F16B13/04		255
F16B13/06	9	combined with expanding sleeve {(F16B13/045 and F16B13/08 take precedence)}	F16B13/06	F16B13/06		417
F16B13/061	10	{of the buckling type}	F16B13/06	F16B13/06		619
F16B13/063	10	{by the use of an expander}	F16B13/06	F16B13/06		619
F16B13/065	11	{fastened by extracting the screw, nail or the like}	F16B13/06	F16B13/06		905
F16B13/066	11	{fastened by extracting a separate expander-part, actuated by the screw, nail or the like}	F16B13/06	F16B13/06		1139
F16B13/068	12	{expanded in two or more places}	F16B13/06	F16B13/06		415
F16B13/08	9	with separate {or non-separate} gripping parts moved into their final position in relation to the body of the device without further manual operation	F16B13/08	F16B13/08		396
F16B13/0808	10	{by a toggle-mechanism}	F16B13/08	F16B13/08		897
F16B13/0816	10	{with a wedging drive-pin}	F16B13/08	F16B13/08		130
F16B13/0825	10	{with a locking element, e.g. sleeve, ring or key co-operating with a cammed or eccentrical surface of the dowel body}	F16B13/08	F16B13/08		98
F16B13/0833	10	{with segments or fingers expanding or tilting into an undercut hole (F16B13/0858 takes precedence)}	F16B13/08	F16B13/08		303
F16B13/0841	10	{with a deformable sleeve member driven against the abutting surface of the head of the bolt or of a plug}	F16B13/08	F16B13/08		176
F16B13/085	10	{with a drive-nail deflected by an inclined surface in the dowel body (nails with spreading shaft F16B15/04)}	F16B13/08	F16B13/08		47
F16B13/0858	10	{with an expansible sleeve or dowel body driven against a tapered or spherical expander plug (F16B13/004 takes precedence)}	F16B13/08	F16B13/08		745
F16B13/0866	10	{with prongs penetrating into the wall of the hole by a retractile movement of a threaded member}	F16B13/08	F16B13/08		124
F16B13/0875	10	{with elastic discs or spring washers anchoring in the hole}	F16B13/08	F16B13/08		79
F16B13/0883	10	{with split rings or wire between the threads of the dowel body or in grooves near a conical surface (F16B13/0825 takes precedence)}	F16B13/08	F16B13/08		30
F16B13/0891	10	{with a locking element, e.g. wedge, key or ball moving along an inclined surface of the dowel body (F16B13/0816, F16B13/0825, F16B13/0883 take precedence)}	F16B13/08	F16B13/08		337
F16B13/10	9	with separate gripping parts moved into their final position in relation to the body of the device by a separate operation (F16B13/06 takes precedence)	F16B13/10	F16B13/10		320
F16B13/12	8	Separate metal {or non-separate or non-metal} dowel sleeves fastened by inserting the screw, nail or the like {(F16B13/0808 takes precedence)}	F16B13/12	F16B13/12		381
F16B13/122	9	{made from a sheet-metal blank}	F16B13/12	F16B13/12		206
F16B13/124	9	{fastened by inserting a threaded element, e.g. screw or bolt (F16B13/122, F16B13/128 take precedence)}	F16B13/12	F16B13/12		1569
F16B13/126	9	{fastened by inserting an unthreaded element, e.g. pin or nail (F16B13/122, F16B13/128 take precedence)}	F16B13/12	F16B13/12		694
F16B13/128	9	{with extending protrusions, e.g. discs, segments, ridges, fingers or tongues (F16B13/122 takes precedence)}	F16B13/12	F16B13/12		146
F16B13/14	8	Non-metallic plugs or sleeves {(not used, seeF16B13/002- F16B13/12)}; Use of liquid, loose solid or kneadable material therefor	F16B13/14	F16B13/14		236
F16B13/141	9	{Fixing plugs in holes by the use of settable material}	F16B13/14	F16B13/14		1002
F16B13/142	10	{characterised by the composition of the setting material or mixture (F16B13/143 takes precedence)}	F16B13/14	F16B13/14		103
F16B13/143	10	{using frangible cartridges or capsules containing the setting components}	F16B13/14	F16B13/14		347
F16B13/144	11	{characterised by the shape or configuration or material of the frangible cartridges or capsules}	F16B13/14	F16B13/14		135
