F03G6/074	9	{of the non-thermal type, e.g. springs or batteries}	F03G6/00	F03G6/074		129
F03G6/083	8	{with solar ponds}<br><br><u>WARNING</u><br>Group F03G6/083 is incomplete pending reclassification of documents from group F03G6/00.<br>Groups F03G6/00 and F03G6/083 should be considered in order to perform a complete search.	F03G6/00	F03G6/083		35
F03G6/089	8	{for pumping}<br><br><u>WARNING</u><br>Group F03G6/089 is incomplete pending reclassification of documents from group F03G6/00.<br>Groups F03G6/00 and F03G6/089 should be considered in order to perform a complete search.	F03G6/00	F03G6/089		20
F03G6/092	8	{using heat pumps, e.g. solar assisted heat pumps}<br><br><u>WARNING</u><br>Group F03G6/092 is incomplete pending reclassification of documents from groups F03G6/00 and F03G2007/007.<br>Groups F03G6/00, F03G2007/007 and F03G6/092 should be considered in order to perform a complete search.	F03G6/00	F03G6/092		41
F03G6/098	8	{Components, parts or details}<br><br><u>WARNING</u><br>Groups F03G6/098, F03G6/108, F03G6/111, F03G6/114 and F03G6/117 are incomplete pending reclassification of documents from group F03G6/00.<br>All groups listed in this Warning should be considered in order to perform a complete search.	F03G6/00	F03G6/098		86
F03G6/108	9	{of the heat transfer system}	F03G6/00	F03G6/108		36
F03G6/111	10	{Heat transfer fluids}	F03G6/00	F03G6/111		32
F03G6/114	11	{Molten salts}	F03G6/00	F03G6/114		155
F03G6/117	11	{Solid-liquid phase change of the heat transfer fluid}	F03G6/00	F03G6/117		17
F03G6/121	8	{Controlling or monitoring}<br><br><u>WARNING</u><br>Groups F03G6/121, F03G6/124 and F03G6/127 are incomplete pending reclassification of documents from group F03G6/00.<br>All groups listed in this Warning should be considered in order to perform a complete search.	F03G6/00	F03G6/121		264
F03G6/124	9	{Start-up control}	F03G6/00	F03G6/124		10
F03G6/127	9	{Over-night operation}	F03G6/00	F03G6/127		59
F03G6/129	8	{Safety arrangements}<br><br><u>WARNING</u><br>Group F03G6/129 is incomplete pending reclassification of documents from group F03G6/00.<br>Groups F03G6/00 and F03G6/129 should be considered in order to perform a complete search.	F03G6/00	F03G6/129		1
F03G7/00	7	Mechanical-power-producing mechanisms, not otherwise provided for or using energy sources not otherwise provided for<br><br><u>WARNING</u><br>Group F03G7/00 is impacted by reclassification into groups F03G7/003, F03G7/004, F03G7/008, F03G7/009, F03G7/011, F03G7/012, F03G7/0121, F03G7/015, F03G7/016, F03G7/017, F03G7/025, F03G7/0252, F03G7/0254, F03G7/027, F03G7/028, F03G7/029 and F03G7/092.<br>All groups listed in this Warning should be considered in order to perform a complete search.	F03G7/00	F03G7/00		1395
F03G7/002	8	{using the energy of vibration of fluid columns}	F03G7/00	F03G7/00		153
F03G7/003	8	{Motors driven by thermophoresis or thermodiffusion}<br><br><u>WARNING</u><br>Group F03G7/003 is incomplete pending reclassification of documents from group F03G7/00.<br>Groups F03G7/00 and F03G7/003 should be considered in order to perform a complete search.	F03G7/00	F03G7/00		8
F03G7/004	8	{Thermo-magnetic motors, e.g. using the Curie effect}<br><br><u>WARNING</u><br>Group F03G7/004 is incomplete pending reclassification of documents from group F03G7/00.<br>Groups F03G7/00 and F03G7/004 should be considered in order to perform a complete search.	F03G7/00	F03G7/00		19
F03G7/005	8	{Electro-chemical actuators; Actuators having a material for absorbing or desorbing gas, e.g. a metal hydride; Actuators using the difference in osmotic pressure between fluids; Actuators with elements stretchable when contacted with liquid rich in ions, with UV light, with a salt solution}<br><br><u>WARNING</u><br>Group F03G7/005 is no longer used for the classification of documents as of 2021-08-01. <br>The content of this group is being reclassified into groups F03G7/009, F03G7/011, F03G7/012, F03G7/0121, F03G7/015, F03G7/016 and F03G7/017.<br>All groups listed in this Warning should be considered in order to perform a complete search.	F03G7/00	F03G7/00		253
