H05K3/1216	10	{by screen printing or stencil printing}	H05K3/12	H05K3/12		2466
H05K3/1225	11	{Screens or stencils; Holders therefor}	H05K3/12	H05K3/12		849
H05K3/1233	11	{Methods or means for supplying the conductive material and for forcing it through the screen or stencil}	H05K3/12	H05K3/12		766
H05K3/1241	10	{by ink-jet printing or drawing by dispensing}	H05K3/12	H05K3/12		673
H05K3/125	11	{by ink-jet printing}	H05K3/12	H05K3/12		1412
H05K3/1258	10	{by using a substrate provided with a shape pattern, e.g. grooves, banks, resist pattern}	H05K3/12	H05K3/12		548
H05K3/1266	10	{by electrographic or magnetographic printing}	H05K3/12	H05K3/12		128
H05K3/1275	10	{by other printing techniques, e.g. letterpress printing, intaglio printing, lithographic printing, offset printing}	H05K3/12	H05K3/12		667
H05K3/1283	10	{After-treatment of the printed patterns, e.g. sintering or curing methods}	H05K3/12	H05K3/12		819
H05K3/1291	11	{Firing or sintering at relative high temperatures for patterns on inorganic boards, e.g. co-firing of circuits on green ceramic sheets}	H05K3/12	H05K3/12		246
H05K3/14	9	using spraying techniques to apply the conductive material {, e.g. vapour evaporation}	H05K3/14	H05K3/14		412
H05K3/143	10	{Masks therefor (H05K3/048 takes precedence)}	H05K3/14	H05K3/14		289
H05K3/146	10	{By vapour deposition}	H05K3/14	H05K3/14		356
H05K3/16	10	by cathodic sputtering	H05K3/16	H05K3/16		335
H05K3/18	9	using precipitation techniques to apply the conductive material	H05K3/18	H05K3/18		1275
H05K3/181	10	{by electroless plating (adhesives therefor H05K3/387)}	H05K3/18	H05K3/18		1715
H05K3/182	11	{characterised by the patterning method}	H05K3/18	H05K3/18		555
H05K3/184	12	{using masks}	H05K3/18	H05K3/18		757
H05K3/185	12	{by making a catalytic pattern by photo-imaging}	H05K3/18	H05K3/18		642
H05K3/187	11	{means therefor, e.g. baths, apparatus}	H05K3/18	H05K3/18		308
H05K3/188	10	{by direct electroplating}	H05K3/18	H05K3/18		1413
H05K3/20	9	by affixing prefabricated conductor pattern {(H05K1/187, H05K3/046, H05K3/4658, H05K3/4682 takes precedence)}	H05K3/20	H05K3/20		1193
H05K3/202	10	{using self-supporting metal foil pattern}	H05K3/20	H05K3/20		1416
H05K3/205	10	{using a pattern electroplated or electroformed on a metallic carrier}	H05K3/20	H05K3/20		748
H05K3/207	10	{using a prefabricated paste pattern, ink pattern or powder pattern}	H05K3/20	H05K3/20		437
H05K3/22	8	Secondary treatment of printed circuits {(H05K3/1283 takes precedence; embedding circuits in grooves by pressure H05K3/107)}	H05K3/22	H05K3/22		1410
H05K3/222	9	{Completing of printed circuits by adding non-printed jumper connections (printed jumper connections H05K3/4685)}	H05K3/22	H05K3/22		856
H05K3/225	9	{Correcting or repairing of printed circuits (H05K1/0292, H05K3/222, H05K3/288, H05K3/4685 take precedence)}	H05K3/22	H05K3/22		1462
H05K3/227	9	{Drying of printed circuits}	H05K3/22	H05K3/22		814
H05K3/24	9	Reinforcing the conductive pattern {(by solder coating H05K3/3457)}	H05K3/24	H05K3/24		1041
H05K3/241	10	{characterised by the electroplating method; means therefor, e.g. baths or apparatus}	H05K3/24	H05K3/24		1138
H05K3/242	11	{characterised by using temporary conductors on the printed circuit for electrically connecting areas which are to be electroplated}	H05K3/24	H05K3/24		406
H05K3/243	10	{characterised by selective plating, e.g. for finish plating of pads (selective plating for making the circuit pattern H05K3/108, H05K3/182)}	H05K3/24	H05K3/24		1085
H05K3/244	10	{Finish plating of conductors, especially of copper conductors, e.g. for pads or lands (selective plating methods H05K3/243; finish plating of conductors made by printing techniques H05K3/246; solder as finish H05K3/3457, e.g. by plating H05K3/3473)}	H05K3/24	H05K3/24		1620
H05K3/245	10	{Reinforcing conductive patterns made by printing techniques or by other techniques for applying conductive pastes, inks or powders; Reinforcing other conductive patterns by such techniques}	H05K3/24	H05K3/24		408
H05K3/246	11	{Reinforcing conductive paste, ink or powder patterns by other methods, e.g. by plating}	H05K3/24	H05K3/24		486
H05K3/247	11	{Finish coating of conductors by using conductive pastes, inks or powders}	H05K3/24	H05K3/24		132
H05K3/248	12	{fired compositions for inorganic substrates}	H05K3/24	H05K3/24		91
H05K3/249	12	{comprising carbon particles as main constituent}	H05K3/24	H05K3/24		54
H05K3/26	9	Cleaning or polishing of the conductive pattern	H05K3/26	H05K3/26		2526
H05K3/28	9	Applying non-metallic protective coatings {(H05K3/0091 takes precedence; methods for intermediate insulating layers for build-up multilayer circuits H05K3/4673)}	H05K3/28	H05K3/28		5291
H05K3/281	10	{by means of a preformed insulating foil (H05K3/284 takes precedence)}	H05K3/28	H05K3/28		2080
H05K3/282	10	{for inhibiting the corrosion of the circuit, e.g. for preserving the solderability}	H05K3/28	H05K3/28		1534
H05K3/284	10	{for encapsulating mounted components (H05K1/185 takes precedence)}	H05K3/28	H05K3/28		4230
H05K3/285	10	{Permanent coating compositions}	H05K3/28	H05K3/28		992
H05K3/287	11	{Photosensitive compositions}	H05K3/28	H05K3/28		1082
H05K3/288	10	{Removal of non-metallic coatings, e.g. for repairing}	H05K3/28	H05K3/28		404
H05K3/30	8	Assembling printed circuits with electric components, e.g. with resistor	H05K3/30	H05K3/30		2064
H05K3/301	9	{by means of a mounting structure (H05K3/325 takes precedence)}	H05K3/30	H05K3/30		2967
H05K3/303	9	{Surface mounted components, e.g. affixing before soldering, aligning means, spacing means (H05K3/32 takes precedence)}	H05K3/30	H05K3/30		3525
H05K3/305	10	{Affixing by adhesive}	H05K3/30	H05K3/30		1898
H05K3/306	9	{Lead-in-hole components, e.g. affixing or retention before soldering, spacing means (H05K3/32 takes precedence)}	H05K3/30	H05K3/30		1795
H05K3/308	10	{Adaptations of leads (connectors to printed circuits H01R12/00)}	H05K3/30	H05K3/30		1772
H05K3/32	9	electrically connecting electric components or wires to printed circuits	H05K3/32	H05K3/32		1956
H05K3/321	10	{by conductive adhesives}	H05K3/32	H05K3/32		3565
H05K3/323	11	{by applying an anisotropic conductive adhesive layer over an array of pads}	H05K3/32	H05K3/32		2198
H05K3/325	10	{by abutting or pinching, i.e. without alloying process; mechanical auxiliary parts therefor (adaptations of leads inserted in holes for press-fit connections H05K3/308)}	H05K3/32	H05K3/32		2881
H05K3/326	11	{the printed circuit having integral resilient or deformable parts, e.g. tabs or parts of flexible circuits (H05K3/365 takes precedence)}	H05K3/32	H05K3/32		1189
H05K3/328	10	{by welding}	H05K3/32	H05K3/32		1434
H05K3/34	10	by soldering	H05K3/34	H05K3/34		4243
H05K3/3405	11	{Edge mounted components, e.g. terminals}	H05K3/34	H05K3/34		1474
H05K3/341	11	{Surface mounted components}	H05K3/34	H05K3/34		3096
H05K3/3415	12	{on both sides of the substrate or combined with lead-in-hole components}	H05K3/34	H05K3/34		750
H05K3/3421	12	{Leaded components}	H05K3/34	H05K3/34		4724
H05K3/3426	13	{characterised by the leads}	H05K3/34	H05K3/34		1541
H05K3/3431	12	{Leadless components}	H05K3/34	H05K3/34		2304
H05K3/3436	13	{having an array of bottom contacts, e.g. pad grid array or ball grid array components}	H05K3/34	H05K3/34		4164
H05K3/3442	13	{having edge contacts, e.g. leadless chip capacitors, chip carriers}	H05K3/34	H05K3/34		2089
