B60S5/06	8	Supplying batteries to, or removing batteries from, vehicles (exchanging batteries for electric propulsion of vehicles B60L53/80)	B60S5/06	B60S5/06		2579
B60S9/00	7	Ground-engaging vehicle fittings for supporting, lifting, or manoeuvring the vehicle, wholly or in part, e.g. built-in jacks (lifting devices in general B66F; supports in general F16M)	B60S9/00	B60S9/00		117
B60S9/02	8	for only lifting or supporting	B60S9/02	B60S9/02		930
B60S9/04	9	mechanically	B60S9/04	B60S9/04		1551
B60S9/06	10	of screw-and-nut type	B60S9/06	B60S9/06		475
B60S9/08	11	the screw axis being substantially vertical	B60S9/08	B60S9/08		536
B60S9/10	9	by fluid pressure	B60S9/10	B60S9/10		1078
B60S9/12	10	of telescopic type	B60S9/12	B60S9/12		915
B60S9/14	8	for both lifting and manoeuvring	B60S9/14	B60S9/14		353
B60S9/16	9	for operating only on one end of vehicle (B60S9/205 takes precedence)	B60S9/16	B60S9/16		344
B60S9/18	10	mechanically	B60S9/18	B60S9/18		451
B60S9/20	10	with fluid-pressure lift	B60S9/20	B60S9/20		292
