E04C5/04	10	Mats ({combined with reinforcing elements protruding out of the plane of the mat E04C5/0627; three-dimensional mats E04C5/0636}; bases for plaster E04F13/04)	E04C5/04	E04C5/04		1593
E04C5/06	9	of high bending resistance, i.e. of essentially three-dimensional extent, e.g. lattice girders {(anchorage devices specially adapted for balconies E04B1/0038; supporting devices for connector reinforcing rods for concrete walls E04G21/125)}	E04C5/06	E04C5/06		1634
E04C5/0604	10	{Prismatic or cylindrical reinforcement cages composed of longitudinal bars and open or closed stirrup rods (E04C5/0631 takes precedence)}	E04C5/06	E04C5/06		958
E04C5/0609	11	{Closed cages composed of two or more coacting cage parts, e.g. transversally hinged or nested parts}	E04C5/06	E04C5/06		189
E04C5/0613	11	{Closed cages made of one single bent reinforcement mat}	E04C5/06	E04C5/06		102
E04C5/0618	11	{Closed cages with spiral- or coil-shaped stirrup rod}	E04C5/06	E04C5/06		325
E04C5/0622	11	{Open cages, e.g. connecting stirrup baskets (E04C5/0609 takes precedence)}	E04C5/06	E04C5/06		188
E04C5/0627	10	{Three-dimensional reinforcements composed of a prefabricated reinforcing mat combined with reinforcing elements protruding out of the plane of the mat (E04C5/0645 takes precedence)}	E04C5/06	E04C5/06		304
E04C5/0631	11	{Reinforcing mats combined with separate prefabricated reinforcement cages or girders (E04C5/064 takes precedence)}	E04C5/06	E04C5/06		147
E04C5/0636	10	{Three-dimensional reinforcing mats composed of reinforcing elements laying in two or more parallel planes and connected by separate reinforcing parts (E04C5/0645 takes precedence)}	E04C5/06	E04C5/06		327
E04C5/064	11	{the reinforcing elements in each plane being formed by, or forming a, mat of longitunal and transverse bars}	E04C5/06	E04C5/06		401
E04C5/0645	10	{Shear reinforcements, e.g. shearheads for floor slabs}	E04C5/06	E04C5/06		580
E04C5/065	10	Light-weight girders, e.g. with precast parts (light-weight girders in general E04C3/08, E04C3/294)	E04C5/065	E04C5/065		1283
E04C5/0653	11	{with precast parts}	E04C5/065	E04C5/065		115
E04C5/0656	12	{with lost formwork}	E04C5/065	E04C5/065		176
E04C5/07	8	Reinforcing elements of material other than metal, e.g. of glass, of plastics, or not exclusively made of metal (metal elements with non-structural coatings E04C5/01)	E04C5/07	E04C5/07		1904
E04C5/073	9	{Discrete reinforcing elements, e.g. fibres}	E04C5/07	E04C5/07		773
E04C5/076	10	{Specially adapted packagings therefor, e.g. for dosing}	E04C5/07	E04C5/07		71
E04C5/08	8	Members specially adapted to be used in prestressed constructions {(production of reinforced objects in general B28B23/00; prestressed structures produced in situE04G21/12)}	E04C5/08	E04C5/08		1680
E04C5/085	9	{Tensile members made of fiber reinforced plastics}	E04C5/08	E04C5/08		196
E04C5/10	9	Ducts	E04C5/10	E04C5/10		421
E04C5/12	9	Anchoring devices (tools or methods for tensioning {in situ}E04G21/12)	E04C5/12	E04C5/12		1564
E04C5/122	10	{the tensile members are anchored by wedge-action}	E04C5/12	E04C5/12		922
E04C5/125	10	{the tensile members are profiled to ensure the anchorage, e.g. when provided with screw-thread, bulges, corrugations}	E04C5/12	E04C5/12		613
E04C5/127	10	{The tensile members being made of fiber reinforced plastics}	E04C5/12	E04C5/12		170
E04C5/16	8	Auxiliary parts for reinforcements, e.g. connectors, spacers, stirrups ({E04C5/06 takes precedence;} tools connecting reinforcing elements E04G21/12)	E04C5/16	E04C5/16		2346
E04C5/161	9	{Protective caps for the ends of reinforcing bars}	E04C5/16	E04C5/16		293
E04C5/162	9	{Connectors or means for connecting parts for reinforcements (E04C5/168 takes precedence)}	E04C5/16	E04C5/16		1128
E04C5/163	10	{the reinforcements running in one single direction}	E04C5/16	E04C5/16		795
E04C5/165	11	{Coaxial connection by means of sleeves}	E04C5/16	E04C5/16		3124
E04C5/166	10	{the reinforcements running in different directions}	E04C5/16	E04C5/16		422
E04C5/167	11	{Connection by means of clips or other resilient elements}	E04C5/16	E04C5/16		444
E04C5/168	9	{Spacers connecting parts for reinforcements and spacing the reinforcements from the form}	E04C5/16	E04C5/16		1838
E04C5/18	9	{Spacers} of metal or substantially of metal {(E04C5/168 takes precedence)}	E04C5/18	E04C5/18		2012
E04C5/20	9	of material other than metal or with only additional metal parts, e.g. concrete or plastics spacers with metal binding wires {(E04C5/168 takes precedence)}	E04C5/20	E04C5/20		1233
E04C5/201	10	{Spacer blocks with embedded separate holding wire or clips}	E04C5/20	E04C5/20		353
E04C5/203	10	{Circular and spherical spacers}	E04C5/20	E04C5/20		341
E04C5/205	10	{Ladder or strip spacers}	E04C5/20	E04C5/20		175
E04C5/206	10	{Spacers having means to adapt the spacing distance}	E04C5/20	E04C5/20		200
E04C5/208	10	{Spacers especially adapted for cylindrical reinforcing cages}	E04C5/20	E04C5/20		57
