F28D15/0266	9	{with separate evaporating and condensing chambers connected by at least one conduit; Loop-type heat pipes; with multiple or common evaporating or condensing chambers (F28D15/043 takes precedence)}	F28D15/02	F28D15/02		4367
F28D15/0275	9	{Arrangements for coupling heat-pipes together or with other structures, e.g. with base blocks; Heat pipe cores}	F28D15/02	F28D15/02		4301
F28D15/0283	9	{Means for filling or sealing heat pipes}	F28D15/02	F28D15/02		1065
F28D2015/0291	9	{comprising internal rotor means, e.g. turbine driven by the working fluid}	F28D15/02	F28D15/02		142
F28D15/04	9	with tubes having a capillary structure	F28D15/04	F28D15/04		1903
F28D15/043	10	{forming loops, e.g. capillary pumped loops}	F28D15/04	F28D15/04		811
F28D15/046	10	{characterised by the material or the construction of the capillary structure}	F28D15/04	F28D15/04		3394
F28D15/06	9	Control arrangements therefor	F28D15/06	F28D15/06		1066
F28D17/00	7	Regenerative heat-exchange apparatus in which a stationary intermediate heat-transfer medium or body is contacted successively by each heat-exchange medium, e.g. using granular particles	F28D17/00	F28D17/00		588
F28D17/005	8	{using granular particles}	F28D17/00	F28D17/00		188
F28D17/02	8	using rigid bodies, e.g. of porous material	F28D17/02	F28D17/02		873
F28D17/023	9	{Sealing means}	F28D17/02	F28D17/02		52
F28D17/026	9	{Bearings; Driving means}	F28D17/02	F28D17/02		16
F28D17/04	8	Distributing arrangements for the heat-exchange media	F28D17/04	F28D17/04		266
F28D19/00	7	Regenerative heat-exchange apparatus in which the intermediate heat-transfer medium or body is moved successively into contact with each heat-exchange medium {(F28D15/02 takes precedence)}	F28D19/00	F28D19/00		246
F28D19/02	8	using granular particles	F28D19/02	F28D19/02		174
F28D19/04	8	using rigid bodies, e.g. mounted on a movable carrier	F28D19/04	F28D19/04		554
F28D19/041	9	{with axial flow through the intermediate heat-transfer medium}	F28D19/04	F28D19/04		383
F28D19/042	10	{Rotors; Assemblies of heat absorbing masses}	F28D19/04	F28D19/04		370
F28D19/044	11	{shaped in sector form, e.g. with baskets}	F28D19/04	F28D19/04		281
F28D19/045	9	{with radial flow through the intermediate heat-transfer medium}	F28D19/04	F28D19/04		120
F28D19/047	9	{Sealing means}	F28D19/04	F28D19/04		784
F28D19/048	9	{Bearings; Driving means}	F28D19/04	F28D19/04		228
F28D20/00	7	Heat storage plants or apparatus in general; Regenerative heat-exchange apparatus not covered by groups F28D17/00 or F28D19/00	F28D20/00	F28D20/00		2251
F28D2020/0004	8	{Particular heat storage apparatus}	F28D20/00	F28D20/00		187
F28D2020/0008	9	{the heat storage material being enclosed in plate-like or laminated elements, e.g. in plates having internal compartments}	F28D20/00	F28D20/00		388
F28D2020/0013	9	{the heat storage material being enclosed in elements attached to or integral with heat exchange conduits}	F28D20/00	F28D20/00		440
F28D2020/0017	9	{the heat storage material being enclosed in porous or cellular or fibrous structures}	F28D20/00	F28D20/00		111
F28D2020/0021	9	{the heat storage material being enclosed in loose or stacked elements}	F28D20/00	F28D20/00		188
F28D2020/0026	9	{the heat storage material being enclosed in mobile containers for transporting thermal energy}	F28D20/00	F28D20/00		191
F28D20/003	8	{using thermochemical reactions}	F28D20/00	F28D20/00		989
F28D20/0034	8	{using liquid heat storage material}	F28D20/00	F28D20/00		2912
F28D20/0039	9	{with stratification of the heat storage material}	F28D20/00	F28D20/00		1020
F28D20/0043	9	{specially adapted for long-term heat storage; Underground tanks; Floating reservoirs; Pools; Ponds (F28D20/0052 takes precedence)}	F28D20/00	F28D20/00		424
F28D2020/0047	9	{using molten salts or liquid metals}	F28D20/00	F28D20/00		970
F28D20/0052	8	{using the ground body or aquifers as heat storage medium}	F28D20/00	F28D20/00		830
F28D20/0056	8	{using solid heat storage material (F28D20/0052 takes precedence)}	F28D20/00	F28D20/00		2030
F28D2020/006	8	{Heat storage systems not otherwise provided for}	F28D20/00	F28D20/00		240
F28D2020/0065	8	{Details, e.g. particular heat storage tanks, auxiliary members within tanks}	F28D20/00	F28D20/00		402
F28D2020/0069	9	{Distributing arrangements;  Fluid deflecting means}	F28D20/00	F28D20/00		774
F28D2020/0073	10	{movable}	F28D20/00	F28D20/00		90
F28D2020/0078	9	{Heat exchanger arrangements}	F28D20/00	F28D20/00		1146
F28D2020/0082	9	{Multiple tanks arrangements, e.g. adjacent tanks, tank in tank}	F28D20/00	F28D20/00		708
F28D2020/0086	9	{Partitions}	F28D20/00	F28D20/00		322
F28D2020/0091	10	{flexible}	F28D20/00	F28D20/00		52
F28D2020/0095	10	{movable or floating}	F28D20/00	F28D20/00		120
F28D20/02	8	using latent heat	F28D20/02	F28D20/02		3306
F28D20/021	9	{the latent heat storage material and the heat-exchanging means being enclosed in one container (F28D20/023&#160;-&#160;F28D20/028 take precedence)}	F28D20/02	F28D20/02		2174
F28D20/023	9	{the latent heat storage material being enclosed in granular particles or dispersed in a porous, fibrous or cellular structure}	F28D20/02	F28D20/02		1342
F28D20/025	9	{the latent heat storage material being in direct contact with a heat-exchange medium or with another heat storage material (F28D20/003 takes precedence)}	F28D20/02	F28D20/02		327
F28D20/026	9	{with different heat storage materials not coming into direct contact}	F28D20/02	F28D20/02		279
F28D20/028	9	{Control arrangements therefor}	F28D20/02	F28D20/02		992
F28D21/00	7	Heat-exchange apparatus not covered by any of the groups F28D1/00&#160;-&#160;F28D20/00<br><br><u>NOTE</u><br><br> Particular use of heat exchangers is classified in F28D21/00 and subgroups, whereas additionally the type of the heat exchangers is classified in the groups F28D1/00&#160;-&#160;F28D20/00	F28D21/00	F28D21/00		2718
F28D21/0001	8	{Recuperative heat exchangers}	F28D21/00	F28D21/00		793
F28D21/0003	9	{the heat being recuperated from exhaust gases (F28D21/0014 takes precedence)}	F28D21/00	F28D21/00		2534
F28D21/0005	10	{for domestic or space-heating systems}	F28D21/00	F28D21/00		128
F28D21/0007	11	{Water heaters}	F28D21/00	F28D21/00		1130
F28D21/0008	11	{Air heaters}	F28D21/00	F28D21/00		586
F28D21/001	10	{for thermal power plants or industrial processes}	F28D21/00	F28D21/00		684
F28D21/0012	9	{the heat being recuperated from waste water or from condensates}	F28D21/00	F28D21/00		1442
F28D21/0014	9	{the heat being recuperated from waste air or from vapors (for air conditioning F24F12/001)}	F28D21/00	F28D21/00		1363
F28D21/0015	8	{Heat and mass exchangers, e.g. with permeable walls}	F28D21/00	F28D21/00		463
F28D21/0017	8	{Flooded core heat exchangers (in large body of fluid F28D1/0206)}	F28D21/00	F28D21/00		175
F28D2021/0019	8	{Other heat exchangers for particular applications;  Heat exchange systems not otherwise provided for}	F28D21/00	F28D21/00		338
F28D2021/0021	9	{for aircrafts or cosmonautics}	F28D21/00	F28D21/00		672
F28D2021/0022	9	{for chemical reactors}	F28D21/00	F28D21/00		465
F28D2021/0024	9	{for combustion apparatus, e.g. for boilers}	F28D21/00	F28D21/00		603
F28D2021/0026	9	{for combustion engines, e.g. for gas turbines or for Stirling engines}	F28D21/00	F28D21/00		404
F28D2021/0028	9	{for cooling heat generating elements, e.g. for cooling electronic components or electric devices}	F28D21/00	F28D21/00		754
F28D2021/0029	10	{Heat sinks}	F28D21/00	F28D21/00		1710
F28D2021/0031	10	{Radiators for recooling a coolant of cooling systems}	F28D21/00	F28D21/00		396
F28D2021/0033	9	{for cryogenic applications}	F28D21/00	F28D21/00		383
F28D2021/0035	9	{for domestic or space heating, e.g. heating radiators}	F28D21/00	F28D21/00		1481
F28D2021/0036	10	{Radiators for drying, e.g. towel radiators}	F28D21/00	F28D21/00		215
F28D2021/0038	9	{for drying or dehumidifying gases or vapours}	F28D21/00	F28D21/00		214
F28D2021/004	9	{for engine or machine cooling systems}	F28D21/00	F28D21/00		175
F28D2021/0042	9	{for foodstuffs}	F28D21/00	F28D21/00		259
F28D2021/0043	9	{for fuel cells}	F28D21/00	F28D21/00		437
F28D2021/0045	9	{for granular materials}	F28D21/00	F28D21/00		177
F28D2021/0047	9	{for hydrogen or other compressed gas storage tanks}	F28D21/00	F28D21/00		76
F28D2021/0049	9	{for lubricants, e.g. oil coolers}	F28D21/00	F28D21/00		187
F28D2021/005	9	{for medical applications}	F28D21/00	F28D21/00		123
F28D2021/0052	9	{for mixers}	F28D21/00	F28D21/00		93
F28D2021/0054	9	{for nuclear applications}	F28D21/00	F28D21/00		538
F28D2021/0056	9	{for ovens or furnaces}	F28D21/00	F28D21/00		78
F28D2021/0057	10	{for melting materials}	F28D21/00	F28D21/00		20
F28D2021/0059	9	{for petrochemical plants}	F28D21/00	F28D21/00		187
F28D2021/0061	9	{for phase-change applications}	F28D21/00	F28D21/00		144
F28D2021/0063	10	{Condensers}	F28D21/00	F28D21/00		193
F28D2021/0064	10	{Vaporizers, e.g. evaporators}	F28D21/00	F28D21/00		583
F28D2021/0066	10	{with combined condensation and evaporation}	F28D21/00	F28D21/00		84
F28D2021/0068	9	{for refrigerant cycles}	F28D21/00	F28D21/00		904
F28D2021/007	10	{Condensers}	F28D21/00	F28D21/00		505
F28D2021/0071	10	{Evaporators}	F28D21/00	F28D21/00		804
F28D2021/0073	10	{Gas coolers}	F28D21/00	F28D21/00		234
F28D2021/0075	9	{for syngas or cracked gas cooling systems}	F28D21/00	F28D21/00		321
F28D2021/0077	9	{for tempering, e.g. with cooling or heating circuits for temperature control of elements}	F28D21/00	F28D21/00		271
F28D2021/0078	10	{in the form of cooling walls}	F28D21/00	F28D21/00		120
F28D2021/008	9	{for vehicles}	F28D21/00	F28D21/00		963
F28D2021/0082	10	{Charged air coolers}	F28D21/00	F28D21/00		962
F28D2021/0084	10	{Condensers}	F28D21/00	F28D21/00		947
F28D2021/0085	10	{Evaporators}	F28D21/00	F28D21/00		803
F28D2021/0087	10	{Fuel coolers}	F28D21/00	F28D21/00		53
F28D2021/0089	10	{Oil coolers}	F28D21/00	F28D21/00		731
F28D2021/0091	10	{Radiators}	F28D21/00	F28D21/00		234
F28D2021/0092	11	{with particular location on vehicle, e.g. under floor or on roof}	F28D21/00	F28D21/00		56
F28D2021/0094	11	{for recooling the engine coolant}	F28D21/00	F28D21/00		763
F28D2021/0096	11	{for space heating}	F28D21/00	F28D21/00		280
F28D2021/0098	9	{for viscous or semi-liquid materials, e.g. for processing sludge}	F28D21/00	F28D21/00		95
