B29D1/00	ねじ山を有する物品の製造
B29D2030/1671	｛層の装着中に混入空気を放出するもの，例．装着されるバンド状のタイヤ構成部品に溝，チャネル，通路，孔を作成することによるもの｝
B29D2030/1678	｛装着する層が実質的に連続なもの，すなわち、装着前に切断されていないもの｝
B29D2030/1685	｛装着する層が装着前にすでに適当な長さに切断してあるもの｝
B29D2030/1692	｛層，例．装着するプライ，の配向を変更するもの｝
B29D30/18	ビードリングまたはビードコアの取り付け；リングまたはコアの周りへの繊維層の折り重ね
B29D30/20	フラットタイヤ法によるもの，すなわち，円筒状ドラム上での組立て
B29D2030/201	｛ランフラットタイヤの製造｝
B29D2030/202	｛組立てドラムが移動可能であるもの，すなわち，固定フレームに取り外せないように結合されてはいないもの｝
B29D2030/203	｛円筒状ドラムを支持する固定具が移動不可能であるもの，すなわち，実質的に床に固定されたもの｝
B29D2030/204	｛円筒状ドラムを支持する固定具，例．タレット，が移動可能であるもの，例．通路，レールまたは類似のものに沿って移動可能であるもの｝
B29D2030/205	｛単一の組立てドラムが固定具または支持装置，例．タレットまたはターンテーブル，に載置されたもの｝
B29D2030/206	｛複数の組立てドラムが固定具または支持装置，例．タレットまたはターンテーブル，に載置されたもの｝
B29D2030/207	｛ドラム支持装置が水平軸線周りに回転可能であるもの｝
B29D2030/208	｛ドラム支持装置が鉛直軸線回りに回転可能であるもの｝
B29D2030/209	｛ドラム支持装置が傾斜した軸線回りに回転可能であるもの｝
B29D30/22	非拡張状態で装着されるブレーカープライ
B29D30/24	ドラム
B29D2030/241	｛層を組立てドラムに装着する前に一時的に貯蔵するために用いられる補助ドラム｝
B29D30/242	｛コアまたはビーズをもたない実質的に円筒形のタイヤ構成部品，例．トレッドまたはベルト，を製造するためのもの｝
B29D30/243	｛かつ層を折り重ねる機構をもつもの｝
B29D30/244	｛コアまたはビーズをもつ実質的に円筒形のタイヤ構成部品，例．カーカス，を製造するためのもの（コアまたは刃それそれ自体の周りの層を折り重ねるための機構Ｂ２９Ｄ３０／３２）｝
B29D30/245	｛単段階組立て工程のためのドラム，すなわち円筒形のカーカスおよびその環状拡張の組立てが同じドラムの上で実現されるもの（環状形への拡張Ｂ２９Ｄ３０／３６）｝
B29D30/246	｛多段階組立て工程のためのドラム，すなわち円筒形のカーカスの組立てが一つのドラムの上で実現され環状拡張がもう一つのドラムに移行された後に実現されるもの（環状形への拡張Ｂ２９Ｄ３０／３６）｝
B29D30/247	｛第一段階のみのための配置，例．ビーズを固定するためにドラムを放射状に拡張するための手段（Ｂ２９Ｄ３０／２４５が優先）｝
B29D30/248	｛ドラムの表面の下にビーズを位置決めするための，環状拡張をもたないアンダーカット式のドラム，例．プライを折り重ねるための，設備を有するもの｝
B29D30/26	付属装置または細部，例．膜体または移送リング
B29D30/2607	｛組立て段階中に環状のタイヤ構成部品を移送するための装置，例．ドラムの組立ての第一段階から第二段階へのもの｝
B29D2030/2614	｛組立てドラムと共に用いられるブラダ，例．環状拡張のために用いられるブラダ，プライ折返しのためのブラダ｝
B29D2030/2621	｛ドラム肩部にブラダを把持するための手段｝
B29D2030/2628	｛タイヤビードまたはサイドウォールの内側部分を成形するためのブラダ｝
B29D2030/2635	｛ドラム中央部を覆う，例．環状拡張可能な剛体セグメントを覆う，中央ブラダ，例．弾性膜体［elastic membrane］，スリーブ，膜［envelope］，ダイアフラム｝
