G01R15/002	｛測定範囲を変えるためのスイッチまたはマルチテスタ用スイッチ｝
G01R15/005	｛表示特性を変える，例．非線型にするための回路｝
G01R15/007	｛ゼロサプレスによるもの｝
G01R15/04	分圧器　
G01R15/06	無効成分をもつもの，例．容量型分圧器｛（高電圧用キャパシタ／センサそれ自体が不可欠な場合　Ｇ０１Ｒ１５／１６）｝　
G01R15/08	測定範囲を変えるための回路
G01R15/09	自動レンジ変更
G01R15/12	テスタ回路，｛すなわちマルチメータ｝，　例．　電圧，電流またはインピーダンスを随意に測定するためのもの
G01R15/125	｛デジタルマルチメータのためものもの｝
G01R15/14	電圧または電流の絶縁計測に適合するもの，例．高電圧回路または大電流回路用　（計器用変圧器　Ｈ０１Ｆ３８／２０；　分圧器　Ｇ０１Ｒ１５／０４；｛感知要素の出力を他の変量に変換するための手段　Ｇ０１Ｄ５／００；　可視信号手段または装置　Ｇ０８Ｂ５／００；　測定値の伝送システム　Ｇ０８Ｃ１７／００，　Ｇ０８Ｃ２３／００｝）
G01R15/142	｛グループＧ０１Ｒ１５／１４　から　Ｇ０１Ｒ１５／２６に包含される技術を用いて複数のパラメータを同時に測定するための装置｝　
G01R15/144	｛他のサブグループＧ０１Ｒ１５／１４に含まれない電圧用測定装置｝
G01R15/146	｛他のサブグループ　１５／１４に含まれない電流用測定装置，例．分流器，短絡分流器を使用するもの，または電圧降下を測定するもの　（電圧分離が　Ｇ０１Ｒ１／２０３　または　Ｇ０１Ｒ１９／００９２に含まれない場合）｝　
G01R15/148	
G01R15/16	容量装置を使用するもの｛（分圧器を構成する回路　Ｇ０１Ｒ１５／０６）｝
G01R15/165	｛静電位を測定するもの，例．センサが設計上不可欠の場合の静電電圧計またはエレクトロメータを有するもの（受動的に動く電極を有するエレクトロメータ　Ｇ０１Ｒ５／２８；　静電界を測定するもの　Ｇ０１Ｒ２９／１２；　電荷を測定するもの　Ｇ０１Ｒ２９／２４；　高内部抵抗を有する回路内を測定するものＧ０１Ｒ１９／００２３）｝
G01R15/18	インダクタ，コイルを使用するもの，例．変成器　
G01R15/181	｛電磁鉄心のないコイルを使用するもの，すなわちロゴフスキコイル｝　
G01R15/183	｛電磁鉄心を有するトランスを使用するもの｝　
G01R15/185	｛補償巻線，帰還巻線または相互作用巻線を有するもの　（変換器を用いた直流から交流への変換　Ｇ０１Ｒ１９／２０）｝
G01R15/186	｛２以上の部分からなる鉄心を有する電流トランスを使用するもの，例．挟持型（Ｇ０１Ｒ１５／１４２　から　Ｇ０１Ｒ１５／１６　が優先；　挟み試験具　Ｇ０１Ｒ１／２２）｝　
G01R15/188	｛回転可能な部分を備えるもの，例．可動コイル　（検流計　Ｇ０１Ｒ５／０２，　Ｇ０１Ｒ５／１４）｝
G01R15/20	磁電変換素子を使用するもの，例．ホール効果素子；｛磁場センサを使用する装置，例．磁気抵抗またはホール素子，磁気共鳴セル，ＳＱＵＩＤＳ；　導体上のローレンツ力を測定するもの；　磁化関連の現象を測定するもの　（磁場を測定するもの　Ｇ０１Ｒ３３／０２）｝
G01R15/202	｛ホール効果デバイスを使用するもの（電力を測定するために配列されたホール素子　Ｇ０１Ｒ２１／０８）｝
G01R15/205	｛磁気抵抗デバイス，例．フィールドプレートを使用するもの｝
G01R15/207	｛使用されるデバイスの型とは無関係の構造の細部｝
G01R15/22	発光素子を使用するもの，例．ＬＥＤ，ホトカプラ
G01R15/24	光変調器を使用するもの
G01R15/241	｛電気−光学変調器を使用するもの，例．電気吸収（電気−光学素子を含む探針　Ｇ０１Ｒ１／０７１）｝　
G01R15/242	｛ポッケルス効果すなわち線形電気−光学効果に基づくもの｝
G01R15/243	｛カー効果すなわち二次電気−光学効果に基づくもの｝
G01R15/245	｛磁気−光学変調器を使用するもの，例．ファラデー効果またはコットン−ムートン効果に基づくもの｝
G01R15/246	｛ファラデー効果すなわち線形磁気−光学効果に基づくもの｝
G01R15/247	｛１５／２４Ｂから１５／２４Ｃ２に包含されるデバイスの回路または構造の細部｝
G01R15/248	｛定常な光源および電気−機械的に駆動される偏向器を使用するもの｝
G01R15/26	光以外の波の変調を使用するもの，例．電波または音波
G01R17/00	参照値で比較する測定装置，例．ブリッジ
G01R17/02	測定値が自動的に参照値と比較される装置
G01R17/04	参照値が連続的または周期的に測定値の範囲を掃引されるもの
G01R17/06	自動平衡装置
G01R17/08	測定値を表わす力またはトルクが参照値を表わす力またはトルクと平衡するもの
G01R17/10	交流または直流測定ブリッジ（自動比較または再平衡装置　Ｇ０１Ｒ１７／０２）
G01R17/105	｛インピーダンスまたは抵抗を測定するためのもの｝　
G01R17/12	電流の比較を使うもの，例．差の電流出力をもつブリッジ
G01R17/14	較正目盛零指示計により測定値を指示するもの，例．パーセントブリッジ，許容差ブリッジ　（Ｇ０１Ｒ１７／１２，　Ｇ０１Ｒ１７／１６　が優先）
G01R17/16	ブリッジの一つまたはそれ以上の辺に放電管または半導体装置をもつもの，例．差動増幅器を使用する電圧計
G01R17/18	五辺以上もつもの
G01R17/20	交流または直流電位差計測定装置（自動比較または再平衡装置Ｇ０１Ｒ１７／０２）
G01R17/22	較正目盛零指示計により測定値を指示するもの
G01R19/00	電流または電圧を測定し，またはそれの存在または符号を指示するための装置（Ｇ０１Ｒ５／００　が優先；｛マルチメータ用回路　Ｇ０１Ｒ１５／１２；　光の変調を使用するもの　Ｇ０１Ｒ１５／２４；　二次電子放出を利用する電圧測定　Ｇ０１Ｒ３１／３０５｝；　生体の電流または電圧を測定するためのもの　Ａ６１Ｂ５／０４）<br><br><u>注</u><br><br>グループ　Ｇ０１Ｒ１９／０２　から　Ｇ０１Ｒ１９／３２内で，グループ　Ｇ０１Ｒ１９／２８　が優先する．　グループ　Ｇ０１Ｒ１９／１８　から　Ｇ０１Ｒ１９／２５７　が　グループＧ０１Ｒ１９／０２　から　Ｇ０１Ｒ１９／１７　および　Ｇ０１Ｒ１９／３０に優先する．
G01R19/0007	｛周波数選別が可能な電圧レベルの測定（周波数を測定するもの　Ｇ０１Ｒ２３／００，　例．　Ｇ０１Ｒ２３／１４，　Ｇ０１Ｒ２３／１６；　線路伝送系統の減衰量を試験するものＨ０４Ｂ３／４８；　伝送系統の試験を監視するもの　Ｈ０４Ｂ１７／００；　交流の直流への変換を利用する電流または電圧測定　Ｇ０１Ｒ１９／２２）｝
G01R19/0015	｛交流および直流を分離するもの｝
G01R19/0023	｛高入力インピーダンスを有する測定回路により高内部抵抗を有する信号源から電流または電圧を測定するもの，例．　演算増幅器　（静電型計器　Ｇ０１Ｒ５／２８；　静電位を測定するもの　Ｇ０１Ｒ１５／１６５；　静電界を測定するもの　Ｇ０１Ｒ２９／１２；　増幅器それ自体　Ｈ０３Ｆ）｝　
G01R19/003	｛定められた時間間隔内で電流または電圧の平均値を測定するもの｝
G01R19/0038	｛複数の入力信号を比較する，およびその比較結果，例．等しい，異なる，大きい，小さいを示すための回路（増幅度によりパルスまたはパルス列を比較するもの）｝　
G01R19/0046	｛特定の用途によって特徴づけられるもの，またはサブグループＧ０１Ｒ１９／００以外のどのサブグループにも含まれないものの細部（文献を含まないもの）｝
G01R19/0053	｛雑音の判別；　アナログサンプリング；　過渡現象を測定するもの　（個々のパルスの特性を測定するもの　Ｇ０１Ｒ２９／０２；　デジタルサンプリング　Ｇ０１Ｒ１９／２５０９；　雑音指数を測定するもの　Ｇ０１Ｒ２９／２６）｝　
G01R19/0061	｛粒子ビームの電流，電子倍増管からの電流，光電流，イオン電流を測定するもの；　プラズマ内を測定するもの｝
G01R19/0069	｛電圧基準または電流基準を測定するもの｝
G01R19/0076	｛熱電子管を使用するもの｝
G01R19/0084	｛電圧のみを測定するもの　（Ｇ０１Ｒ１９／００　の全てのサブグループが優先）｝
G01R19/0092	｛電流のみを測定するもの　（Ｇ０１Ｒ１９／００　の全てのサブグループが優先）｝
G01R19/02	実効値の測定，すなわち二乗平均の開平値
G01R19/03	熱変換器の使用｛熱電対または他の感熱素子による交流−直流変換を使用するもの　Ｇ０１Ｒ１９／２２５｝
G01R19/04	ピーク値の測定｛または振幅，エンベロープの測定｝交流またはパルスにおけるもの　
G01R19/06	有効成分の測定；無効成分の測定
G01R19/08	電流密度の測定
G01R19/10	和，差または比の測定｛比を測定するためのもの，暫定的に２１Ｅ２７Ｑも参照｝
G01R19/12	変化率の測定｛（電気量の変化率に応答する非常保護回路装置一般　Ｈ０２Ｈ３／４４）｝
G01R19/14	電流の方向指示；電圧極性指示
G01R19/145	電流または電圧の存在の指示｛測定用探針一般　Ｇ０１Ｒ１／０６；　電気装置，配線または部品における回路の連続性または短絡を示すもの　Ｇ０１Ｒ３１／０２４｝
G01R19/15	電流の存在の指示｛暫定的に　Ｇ０１Ｒ１９／１４５も参照｝
G01R19/155	電圧の存在の指示｛暫定的に　Ｇ０１Ｒ１９／１４５も参照｝
G01R19/165	電流または電圧が所定のレベル以上であるかまたは以下であるか，あるいは所定の範囲内にあるかまたは範囲外にあるかの指示（再生機能を有する回路，例．シュミットトリガー　Ｈ０３Ｋ３／００；ゞ値で動作するスイッチＨ０３Ｋ１７／００）
G01R19/16504	｛使用した構成要素によって特徴づけられるもの（文献を含まないもの）｝
G01R19/16509	｛電磁リレー，　例．　リードリレーを使用するもの　（電磁的に駆動されるリード　Ｇ０１Ｒ９／０６）｝
G01R19/16514	｛電子管を使用するもの｝
G01R19/16519	｛ＦＥＴを使用するもの｝
G01R19/16523	｛ダイオード，　例．　ツェナーダイオードを使用するもの｝　
G01R19/16528	｛デジタル技術を利用したもの，または算術演算を行うもの　（デジタル技術を利用して電圧または電流を測定するもの，　Ｇ０１Ｒ１９／２５参照）｝
G01R19/16533	｛アプリケーションによって特徴づけられるもの　（文献を含まないもの）｝
G01R19/16538	｛交流または直流が供給されるもの　（Ｇ０１Ｒ１９／１６５１９　および　Ｇ０１Ｒ１９／１６５２８　が優先）｝　
G01R19/16542	｛充電池用　（充電条件の監視　Ｇ０１Ｒ３１／３６）｝
G01R19/16547	｛交流の供給における電圧または電流　（保護のための切り換えＨ０２Ｈ；％常電源用回路　Ｈ０２Ｊ９／００）｝　
G01R19/16552	｛集積回路用電源におけるもの｝
G01R19/16557	｛ロジック用探針すなわち論理状態（ハイ，　ロー，ゼロ）を示す回路；　（電子スイッチまたはスイッチの状態を示すゲートの変更　Ｈ０３Ｋ１７／１８）｝
G01R19/16561	｛携帯用回路試験器におけるもの（Ｇ０１Ｒ１９／１５５も参照）｝
G01R19/16566	｛電圧または電流と１または複数の閾値を比較するための回路および装置，またはサブグループＧ０１Ｒ１９／１６５０４，　Ｇ０１Ｒ１９／１６５２８，　Ｇ０１Ｒ１９／１６５３３に含まれない結果を示すための回路および装置　（文献を含まないもの）｝
