H02M7/753	放電管のみを用いるもの
H02M7/757	半導体装置のみを用いるもの
H02M7/7575	｛高電圧直流リンクによるもの｝
H02M7/758	出力波形または周波数の自動制御を有するもの
H02M7/77	並列動作のために配設されたもの
H02M7/79	制御信号の連続印加を必要とする三極管またはトランジスタ型式の装置を用いるもの
H02M7/793	電子管のみを用いるもの
H02M7/797	半導体装置のみを用いるもの
H02M7/81	並列動作のために配設されたもの
H02M7/82	火花間隙装置，例．マルクス型整流装置を用いるもの
H02M7/84	電解型整流器を用いるもの
H02M7/86	非静止型変換器によるもの
H02M7/88	入力電圧を累進的に選択しまたは連続的に変化させるために機械的部品を用いるもの
H02M7/90	単一電源を断続するために機械的開閉接点部品を用いるもの
H02M7/92	接点部品は回転し，集電子はブラシまたはローラと共動するもの
H02M7/94	接点部品は回転カムまたはカム状装置により操作されるもの
H02M7/95	電磁的に操作される振動接点，例．チョッパ，をもつもの
H02M7/96	可動液体接点をもつもの
H02M7/98	静止型変換器と非静止型変換器との組合わせによるもの；回転電機と他の非静止または静止型変換器との組合わせによるもの
H02M11/00	このサブクラスの他のグループに包含されない電力変換システム
