B60G2202/30	ばね／緩衝器および／またはアクチュエータユニット
B60G2202/31	緩衝器，例．マクファーソンストラット，の周囲に配置されたばねを有するもの
B60G2202/312	ばねが巻きばね状のもの
B60G2202/314	ばねが空気圧式ばねものも
B60G2202/32	ばねが緩衝器および／またはアクチュエータと直列のもの
B60G2202/322	緩衝器が制御可能なもの
B60G2202/40	アクチュエータの種類
B60G2202/41	流体アクチュエータ
B60G2202/412	空気圧式アクチュエータ
B60G2202/413	油圧アクチュエータ
B60G2202/414	電気油圧弁を用いるもの
B60G2202/415	他の型式の弁，例．機械操作弁，を用いるもの
B60G2202/416	ポンプ，例．アクチュエータの下部室と上部室をつなぐ導管に設けるもの，を用いるもの
B60G2202/42	電気アクチュエータ
B60G2202/422	リニアモーター
B60G2202/424	電歪材料，例．圧電アクチュエータ
B60G2202/43	機械的アクチュエータ
B60G2202/432	ばねモーター
B60G2202/44	アキシヤルアクチュエータ，例．伸縮自在のもの
B60G2202/441	軸方向の動きが結合された端部の回転方向に変換されるもの
B60G2202/442	回転式アクチュエータ
B60G2202/45	その他の型，例．特定の特性の安定性のための外部噴射
B60G2202/49	その他の型のもの，例．安定性のための外部噴射
B60G2204/00	懸架装置それ自体または付属部品に関するインデキシングコード
B60G2204/10	懸架装置要素の取り付け
B60G2204/11	センサーの取り付け
B60G2204/111	空気ばねに取り付けるもの
B60G2204/112	緩衝器，例．流体緩衝器，に取り付けるもの
B60G2204/113	タイヤ関連のセンサー
B60G2204/114	センサーに取り付けられた操向コラム
B60G2204/115	車輪ハブ受けセンサー
B60G2204/116	サスペンションアームに結合されたセンサー
B60G2204/1162	サスペンションアームに直接マウントされたもの
B60G2204/12	ばねまたは緩衝器の取り付け
B60G2204/121	板バネの取り付け
B60G2204/122	トーションスプリングの取り付け
B60G2204/1222	車体またはシャーシ中央部への安定装置の取り付け
B60G2204/1224	車輪懸架装置への安定装置の端部取り付け
B60G2204/1226	ツイストビーム型装置のトレーリングアームに取り付けるもの
B60G2204/124	コイルスプリングの取り付け
B60G2204/1242	緩衝器に取り付けるもの，例．マクファーソンストラット
B60G2204/12422	端部コイルをばね支持板に固定するもの
B60G2204/1244	ばね支持板がサスペンションアームの上にあるもの
B60G2204/1246	ばね支持板がツイストビームの上にあるもの
B60G2204/125	ゴム製スプリングの取り付け
B60G2204/126	空気圧スプリングの取り付け
B60G2204/1262	緩衝器に取り付けるもの
B60G2204/127	関連する力のベクトルの方向が変化し得，それにより車輪荷重の変化に貢献するよう，ばねまたはダンパーが取り付けられているもの
B60G2204/128	車体またはシャーシに取り付けられた緩衝器
B60G2204/129	車輪懸架装置または車輪ナックルに取り付けられた緩衝器
