H04Q2213/11	シーケンススイッチ
H04Q2213/12	コールインジケータ，例．番号表示器
H04Q2213/121	マーカー
H04Q2213/124	パルス分配器
H04Q2213/13	課金
H04Q2213/13001	
H04Q2213/13003	
H04Q2213/1301	
H04Q2213/13012	
H04Q2213/13016	
H04Q2213/1302	
H04Q2213/1303	
H04Q2213/13031	
H04Q2213/13034	
H04Q2213/13036	
H04Q2213/13038	
H04Q2213/13039	
H04Q2213/1304	
H04Q2213/13046	
H04Q2213/1305	
H04Q2213/13051	
H04Q2213/13052	
H04Q2213/13053	
H04Q2213/13054	
H04Q2213/13056	
H04Q2213/13057	
H04Q2213/13058	
H04Q2213/1307	
H04Q2213/13072	
H04Q2213/13076	
H04Q2213/1308	
H04Q2213/13082	
H04Q2213/1309	
H04Q2213/13091	
H04Q2213/13092	
H04Q2213/13093	
H04Q2213/13094	
H04Q2213/13095	
H04Q2213/13096	
H04Q2213/13097	
H04Q2213/13098	
H04Q2213/13099	
H04Q2213/131	
H04Q2213/13102	
H04Q2213/13103	
H04Q2213/13104	
H04Q2213/13106	
H04Q2213/13107	
H04Q2213/13109	
H04Q2213/13121	
H04Q2213/13124	
H04Q2213/1313	
H04Q2213/13134	
H04Q2213/13136	
H04Q2213/13138	
H04Q2213/13139	
H04Q2213/13141	
H04Q2213/13144	
H04Q2213/13145	
H04Q2213/13146	
H04Q2213/13148	
H04Q2213/13149	
H04Q2213/1315	
H04Q2213/13152	
H04Q2213/13156	
H04Q2213/1316	
H04Q2213/13162	
H04Q2213/13163	
H04Q2213/13164	
H04Q2213/13166	
H04Q2213/13167	
H04Q2213/13168	
H04Q2213/13172	
H04Q2213/13173	
H04Q2213/13174	
H04Q2213/13175	
H04Q2213/13176	
H04Q2213/13178	
H04Q2213/13179	
H04Q2213/1318	
H04Q2213/1319	
H04Q2213/13191	
H04Q2213/13194	
H04Q2213/13196	
H04Q2213/13199	
H04Q2213/132	複数帯域登算
H04Q2213/13201	
H04Q2213/13202	
H04Q2213/13203	
H04Q2213/13204	
H04Q2213/13205	
H04Q2213/13206	
H04Q2213/13208	
H04Q2213/13209	
H04Q2213/13213	
H04Q2213/13214	
H04Q2213/13215	
H04Q2213/13216	
H04Q2213/13217	
H04Q2213/1322	
H04Q2213/13222	
H04Q2213/13224	
H04Q2213/1323	
H04Q2213/1324	
H04Q2213/13242	
H04Q2213/13246	
H04Q2213/13248	
H04Q2213/1325	
H04Q2213/13251	
H04Q2213/13256	
H04Q2213/1326	
H04Q2213/1327	
H04Q2213/13271	
H04Q2213/13272	
H04Q2213/13274	
H04Q2213/1328	
H04Q2213/13281	
H04Q2213/13282	
H04Q2213/13284	
H04Q2213/13286	
H04Q2213/13287	
H04Q2213/13288	
H04Q2213/1329	
H04Q2213/13291	
H04Q2213/13292	
H04Q2213/13293	
H04Q2213/13294	
H04Q2213/13295	
H04Q2213/13296	
H04Q2213/13297	
H04Q2213/13298	
H04Q2213/13299	
H04Q2213/133	複数時間登算
H04Q2213/13302	
H04Q2213/13305	
H04Q2213/13306	
H04Q2213/1331	
H04Q2213/1332	
H04Q2213/13322	
H04Q2213/1333	
H04Q2213/13331	
H04Q2213/13332	
H04Q2213/13333	
H04Q2213/13334	
H04Q2213/13335	
H04Q2213/13336	
H04Q2213/13337	
H04Q2213/13338	
H04Q2213/13339	
H04Q2213/1334	
H04Q2213/13341	
H04Q2213/13342	
H04Q2213/13343	
H04Q2213/13344	
H04Q2213/13345	
H04Q2213/13348	
H04Q2213/13349	
H04Q2213/13352	
H04Q2213/13353	
H04Q2213/1336	
H04Q2213/13361	
H04Q2213/13362	
H04Q2213/13363	
H04Q2213/13367	
H04Q2213/1337	
H04Q2213/13372	
H04Q2213/13374	
H04Q2213/13375	
H04Q2213/13376	
H04Q2213/13377	
H04Q2213/13378	
H04Q2213/1338	
H04Q2213/13381	
H04Q2213/13383	
H04Q2213/13384	
H04Q2213/13385	
H04Q2213/13386	
H04Q2213/13387	
H04Q2213/13388	
H04Q2213/13389	
H04Q2213/1339	
H04Q2213/13391	
H04Q2213/13392	
H04Q2213/13393	
H04Q2213/13395	
H04Q2213/13396	
H04Q2213/13399	
H04Q2213/134	料金収納箱
H04Q2213/13402	
H04Q2213/13405	
