C07K14/525	腫瘍壊死因子（ＴＮＦ）
C07K14/5255	｛リンホトキシン　（ＬＴ）｝　
C07K14/53	コロニー刺激因子（ＣＳＦ）
C07K14/535	蔟粒球ＣＳＦ；蔟粒球−マクロファージＣＳＦ
C07K14/54	インターロイキン（ＩＬ）
C07K14/5403	｛ＩＬ−３｝
C07K14/5406	｛ＩＬ−４｝
C07K14/5409	｛ＩＬ−５｝
C07K14/5412	｛ＩＬ−６｝
C07K14/5415	｛白血病阻止因子　（ＬＩＦ）｝　
C07K14/5418	｛ＩＬ−７｝　
C07K14/5421	｛ＩＬ−８｝　
C07K14/5425	｛ＩＬ−９｝　
C07K14/5428	｛ＩＬ−１０｝　
C07K14/5431	｛ＩＬ−１１｝　
C07K14/5434	｛ＩＬ−１２｝　
C07K14/5437	｛ＩＬ−１３｝　
C07K14/544	｛ＩＬ−１４｝　
C07K14/5443	｛ＩＬ−１５｝　
C07K14/5446	｛ＩＬ−１６｝　
C07K14/545	ＩＬ−１
C07K14/55	ＩＬ−２
C07K14/555	インターフェロン（ＩＦＮ）
C07K14/56	ＩＦＮ−α
C07K14/565	ＩＦＮ−β
C07K14/57	ＩＦＮ−γ
C07K14/575	ホルモン（プローオピオメラノコルチン，プローエンケファリンまたはプローダイノルフィンに由来するものＣ０７Ｋ１４／６６５，例．コルチコトロピンＣ０７Ｋ１４／６９５）
C07K14/57509	｛コルチコトロピン放出因子　（ＣＲＦ）　（ウロテンシン）｝
C07K14/57518	｛胎盤性ラクトゲン；　絨毛性ソマトマンモトロピン｝
C07K14/57527	｛カルシトニン遺伝子関連ペプチド｝
C07K14/57536	｛エンドセリン，血管作動性腸収縮筋　（ＶＩＣ）｝
C07K14/57545	｛ニューロペプチド　Ｙ｝
