B65C11/0215	｛ウェブに接着されたラベル｝
B65C11/0221	｛摩擦によりウェブを前進させるもの｝
B65C11/0226	｛電気的に駆動されるもの｝
B65C11/0231	｛ハンドルを手動操作することによるもの｝
B65C11/0236	｛はめば歯車によりウェブを前進させるもの｝
B65C11/0242	｛電気的に駆動されるもの｝
B65C11/0247	｛ハンドルを手動操作することによるもの｝
B65C11/0252	｛把持具によりウェブを前進させるもの｝
B65C11/0257	｛電気的に駆動されるもの｝
B65C11/0263	｛ハンドルを手動操作することによるもの｝
B65C11/0268	｛巻き上げることによりウェブを前進させるもの｝
B65C11/0273	｛電気的に駆動されるもの｝
B65C11/0278	｛ハンドルを手動操作することによるもの｝
B65C11/0284	｛ライナレスラベル｝
B65C11/0289	｛電気的または電気機械的な手段を用いるもの（Ｂ６５Ｃ１１／０２０５が優先）｝
B65C11/0294	｛空気式手段を用いるもの｝
B65C11/04	ラベル加湿手段を有するもの
B65C11/043	｛物品へのラベル取付けのために改良されたもの｝
B65C11/046	｛ストリップからのラベル供給｝
B65C11/06	熱活性化ラベルを加熱する手段を有するもの
B65C11/062	｛物品へのラベル取付けのために改良されたもの｝
B65C11/064	｛ストリップからのラベル供給｝
B65C11/066	｛電気的または電気機械的な手段を用いるもの｝
B65C11/068	｛空気式手段を用いるもの｝
B65C2201/00	ラベル取付けまたはタッグ取付け用の携帯工具で，ホルダーと組合せて使用するもの
B65C2210/00	手動制御用または手動操作可能なラベルディスペンサの細部
B65C2210/0002	データ入力装置
B65C2210/0005	読取装置
B65C2210/0008	光学式スキャナ
B65C2210/001	電磁式スキャナ
B65C2210/0013	キーボード；タッチスクリーン
B65C2210/0016	取り外し可能なもの
B65C2210/0018	常設のもの
B65C2210/0021	フロッピーディスク；スマートカード
B65C2210/0024	ホスト
B65C2210/0027	永久接続
B65C2210/0029	ケーブルを介するもの
B65C2210/0032	無線によるもの
B65C2210/0035	メモリーに格納するもの
B65C2210/0037	印刷機器
B65C2210/004	印刷ヘッドを使用するもの
B65C2210/0043	電動式のもの
B65C2210/0045	手動のもの，例．ハンドレバーによるもの
B65C2210/0048	印刷ヘッドの力を制御するための手段
B65C2210/0051	ラベルに印刷を施すための手段
B65C2210/0054	リボン
B65C2210/0056	インクローラー
B65C2210/0059	いくつかの印刷ヘッドを使用するもの
B65C2210/0062	カラー印刷ヘッドを使用するもの
B65C2210/0064	感熱ラベルを使用するもの
B65C2210/0067	異なったサイズのラベルを収容するもの
B65C2210/007	切断器具
B65C2210/0072	異なる部分の特別な細部
B65C2210/0075	貼付ローラ
B65C2210/0078	剥離装置
B65C2210/0081	巻紙供給ブレーキ
B65C2210/0083	計数器
B65C2210/0086	プラテン
B65C2210/0089	ハウジング
B65C2210/0091	修正ラベル貼付装置
B65C2210/0094	ラベル計測装置
B65C2210/0097	ラベルの長さをあらかじめ決定しておくもの
