C07D213/00	異項原子として１個の窒素原子のみをもち，環原子相互間または環原子と非環原子間に３個またはそれ以上の二重結合を有し，他の環と縮合していない６員環からなる複素環式化合物<br><br><u>｛注</u><br><br>この注は，Ｃ０７Ｄ２１３／００のメイングループの構造についての簡単な概要が分かるようにと意図したものである:Ｃ０７Ｄ２１３／００〜　Ｃ０７Ｄ２１３／８９Ｅ(ＥＣＬＡ)　３個の二重結合　Ｃ０７Ｄ２１３／０４〜　Ｃ０７Ｄ２１３／８８　ヘテロ原子に結合していない環窒素原子　　Ｃ０７Ｄ２１３／０６〜　Ｃ０７Ｄ２１３／２２Ｃ(ＥＣＬＡ)　炭化水素のみに結合している環炭素原子　　Ｃ０７Ｄ２１３／０６〜　Ｃ０７Ｄ２１３／０６Ｂ(ＥＣＬＡ)　仕上げ処理；　錯体　Ｃ０７Ｄ２１３／０６Ｅ(ＥＣＬＡ)　〜　Ｃ０７Ｄ２１３／１４　製造方法　Ｃ０７Ｄ２１３／１６　〜　Ｃ０７Ｄ２１３／２２Ｃ　化合物　Ｃ０７Ｄ２１３／２４　〜　Ｃ０７Ｄ２１３／５９　置換炭化水素基に結合した環炭素原子　Ｃ０７Ｄ２１３／２６　ハロゲンまたはニトロ基によるもの　Ｃ０７Ｄ２１３／３６　〜　Ｃ０７Ｄ２１３／４２Ｆ(ＥＣＬＡ)　単結合窒素原子によるもの　Ｃ０７Ｄ２１３／４４　〜　Ｃ０７Ｄ２１３／５３Ｃ(ＥＣＬＡ)　二重結合酸素，二重結合窒素，二重結合硫黄によるもの　Ｃ０７Ｄ２１３／５４　〜　Ｃ０７Ｄ２１３／５９　炭素原子によるもの　Ｃ０７Ｄ２１３／６０　〜　Ｃ０７Ｄ２１３／８８　直接ヘテロ原子または炭素に結合した環炭素原子Ｃ０７Ｄ２１３／６１　ハロゲン，ニトロ基に結合したもの　Ｃ０７Ｄ２１３／６２　〜　Ｃ０７Ｄ２１３／７１　酸素，硫黄に結合したもの　Ｃ０７Ｄ２１３／７２　〜　Ｃ０７Ｄ２１３／７７Ｆ(ＥＣＬＡ)　窒素に結合したものＣ０７Ｄ２１３／７８　〜Ｃ０７Ｄ２１３／８８　炭素に結合したもの　Ｃ０７Ｄ２１３／８９　〜　Ｃ０７Ｄ２１３／８９Ｆ(ＥＣＬＡ)　ヘテロ原子に結合した環窒素原子　Ｃ０７Ｄ２１３／９０　４個以上の二重結合｝
C07D213/02	環原子相互間または環原子と非環原子間に３個の二重結合を有するもの
C07D213/04	環窒素原子に直接結合する水素原子または炭素原子のみをもつもの　｛または２位または６位で環窒素原子から環炭素原子に１個の単結合または１個の二重結合のみを持つもの｝
C07D213/06	環窒素原子以外に水素原子または炭素原子のみを含有するもの　｛例．環炭素原子に結合した水素または炭化水素基のみを有するピリジン｝
C07D213/08	閉環による製造
C07D213/09	アンモニア，アミン，アミン塩，またはニトリルの使用を含むもの
C07D213/10	アセトアルデヒド｛その環状重合体，　例．パラアルデヒド｝　およびアンモニアからのもの｛アンモニア塩またはアミン｝
C07D213/12	不飽和化合物およびアンモニアから　｛アンモニア塩またはアミン｝
C07D213/127	ピリジン環含有化合物からの製造
C07D213/133	水素化ピリジン化合物の脱水素による製造
C07D213/14	異項原子として酸素原子を有する化合物からの製造　｛アルデヒド重合体，例．パラアルデヒド，トリオキサンＣ０７Ｄ２１３／０８Ｃ(ＥＣＬＡ)，　Ｃ０７Ｄ２１３／１０を除く｝
C07D213/16	１個のピリジン環のみを含有するもの　｛または互いに直接に結合しない２個以上のピリジン環｝
C07D213/18	その塩
C07D213/20	その第四級化合物
C07D213/22	相互に直接連結する２個またはそれ以上のピリジン環を含有するもの，例．ビピリジル
C07D213/24	環の炭素原子に結合する置換炭化水素基を有するもの
C07D213/26	ハロゲン原子またはニトロ基により置換された基
C07D213/28	単結合の酸素原子または硫黄原子により置換された基（同一の炭素原子に結合しているものＣ０７Ｄ２１３／４４）
C07D213/30	酸素原子
C07D213/32	硫黄原子
C07D213/34	第２番目の異種原子が結合しているもの
