G09F1/00	折畳み可能または可撓性の材料からなる板紙またはその類似物からなる展示カード
G09F2013/1895	｛ネオン管を模倣するもの｝
G09F13/20	ルミネセンス発光面または発光部をもつもの（発光組成物Ｃ０９Ｋ１１／００；ルミネセンスを用いる光源Ｆ２１Ｋ２／００）
G09F13/22	エレクトロルミネセンス（エレクトロルミネセンス光源それ自体Ｈ０５Ｂ３３／００）
G09F2013/222	｛ＬＥＤをもつもの｝
G09F2013/225	｛エレクトロルミネセンスをもつもの｝
G09F2013/227	｛車両用のエレクトロルミネセンス表示器｝
G09F13/24	液体，例．泡のある液体，の入っている管状物または同様のものを用いるもの
G09F13/26	放電管によって形成されたサイン（選択的点灯によるものＧ０９Ｆ９／００）
G09F13/28	フィラメント型ランプによって形成されたサイン（選択的点灯によるものＧ０９Ｆ９／００）
G09F13/30	動く光源，例．回転発光管，をもつもの
G09F13/32	動く光学部分，例．鏡，を持つもの
G09F13/34	可動部材と協動する光源を持つもの，例．光源を閉じたり開いたりするシャッターを持つもの（広告または展示材料が連続的，または断続的に動く装置Ｇ０９Ｆ１１／００；照明装置の構造または細部Ｆ２１Ｖ１１／００）
G09F13/36	回転遮蔽体と組合わせたもの
G09F13/42	見えない輻射線で励起される光源をもつもの（陰極線の像またはパターンの表示管Ｈ０１Ｊ３１／１０；陰極線により励起される発光スクリーンをもつランプをもつものＨ０１Ｊ６３／０６）
G09F13/44	光源にガスの光を持つもの
G09F13/46	花火による広告
G09F15/00	告知書，はり紙，ポスター，または類似のもののためのボード，掲示板，標柱または同様の構造物
G09F15/0006	｛１以上のパネルをもつ平面構造｝
G09F15/0012	｛そのためのフレーム｝
G09F15/0018	｛パネルの固定または締めつけ手段｝
G09F15/0025	｛表示面伸張手段｝
G09F15/0031	｛伸長し曲げられたサイン；曲げられた伸長構造のサイン｝
G09F15/0037	｛柱により支持されるもの｝
G09F15/0043	｛公共事業の容器，例．廃棄物容器，に接続されるもの｝
G09F15/005	｛オリエンテーションまたは広報用のもの｝
G09F15/0056	｛可搬型ディスプレイ支柱｝
G09F15/0062	｛折り畳み式のもの｝
G09F15/0068	｛モジュール式連接構造，例．スタンド，およびそのための連接手段｝
G09F15/0075	｛柱｝
G09F15/0081	｛回転柱｝
G09F15/0087	｛可動部，例．風により可能な部分，をもつもの｝
G09F2015/0093	｛張力をかけた構造物｝
G09F15/02	そのためのビラ，ポスター類
G09F15/025	｛ポスターのキャリア，すなわちポスターを運搬し垂直で平らな表面に設置するために一時的にそれを折りたたむための装置｝
G09F17/00	旗；のぼり；それらの装着具
G09F2017/0008	｛旗のねじれを回避するための装置｝
G09F2017/0016	｛通風器を用いるもの｝
G09F2017/0025	｛昇降装置｝
G09F2017/0033	｛旗材料｝
G09F2017/0041	｛吊るされたのぼり｝
G09F2017/005	｛マストに旗を取り付けるための手段｝
G09F2017/0058	｛止環｝
G09F2017/0066	｛旗のためのスタンド｝
G09F2017/0075	｛車両上の旗｝
G09F2017/0083	｛安全旗｝
G09F17/0091	｛旗が巻きつかないようにするポール；旗がポールに巻きつくことを避けるためのスライド手段｝
G09F19/00	他に分類されない広告または表示手段<br><br><u>警告</u><br><br>グループＧ０９Ｆ１９／００はグループＧ０９Ｆ１９／００２，Ｇ０９Ｆ１９／００５およびＧ０９Ｆ１９／００８への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
G09F19/002	｛カメラから見られたときに特別な効果を創出する画像処理を含む広告手段｝<br><br><u>警告</u><br><br>グループＧ０９Ｆ１９／００２はグループＧ０９Ｆ１９／００からの文献の再分類が未完成であり保留されている。<br>グループＧ０９Ｆ１９／００およびＧ０９Ｆ１９／００２はコンプリートサーチの完遂のために考慮されるべきである。
G09F19/005	｛香りによる広告手段｝<br><br><u>警告</u><br><br>グループＧ０９Ｆ１９／００５はグループＧ０９Ｆ１９／００からの文献の再分類が未完成であり保留されている。<br>グループＧ０９Ｆ１９／００およびＧ０９Ｆ１９／００５はコンプリートサーチの完遂のために考慮されるべきである。
