E21D15/54	支柱端部の細部（走行可能なものＥ２１Ｄ２３／０６）
E21D15/545	｛水圧式または空気圧式のもの｝
E21D15/55	支柱頭部　｛または脚部｝
E21D15/56	入れ子支柱の鎖錠部の細部
E21D15/563	｛それによって一連の類似形状の支柱がほぼ同様の対荷重能力を得ることができるもの（支柱またはチョックの設置Ｅ２１Ｄ１５／５８４，Ｅ２１Ｄ１５／５８９）｝
E21D15/566	｛流体緩衝材を備えるもの｝
E21D15/58	支柱またはチョックの据付け装置
E21D15/581	｛支柱にあらかじめ負荷を与えているもの（柱体端部の伸縮要素Ｅ２１Ｄ１５／５２）｝
E21D15/5813	
E21D15/5817	
E21D15/584	｛取り外し自在な装置により一連の類似形状の支柱がほぼ同様の対荷重能力を得るもの（前述の伸縮支柱Ｅ２１Ｄ１５／５６３）｝
E21D15/585	｛機械式支柱のための水圧操作式装置によるもの，または水圧部品がさほど重要でない水圧式支柱（水圧部分が重要な水圧式支柱Ｅ２１Ｄ１５／４４）｝
E21D15/586	｛あらかじめ負荷の与えられた支柱｝
E21D15/587	｛岩石の圧力であらかじめチャージされるパワーアキュムレーターによるもの｝
E21D15/588	｛鎖錠部も作動させるもの｝
E21D15/589	｛取り外し自在な装置により一連の類似形状の支柱がほぼ同様の対荷重能力を得るもの｝
E21D15/60	支柱または木積みの撤収装置
E21D15/603	｛水圧式装置によるもの｝
E21D15/606	｛組織的に動かされる支柱　｛（段階的に移動させる採掘坑屋根Ｅ２１Ｄ２３／００）｝
E21D17/00	坑内天盤支保用カッペ
E21D17/003	｛不可欠な水圧式要素を有するもの｝
E21D17/006	｛材料に特徴をもつもの｝
E21D17/01	カッペの形状に特徴のあるもの，例．特有の断面形状をもつもの
E21D17/02	片持ち梁または同種の支保装置
E21D17/0206	｛水圧操作式拡張装置｝
E21D17/0213	｛カッペを上向きに枢支する組み立て装置｝
E21D17/03	天盤支保梁用ブラケット
E21D17/04	長壁工法に用いるもの
E21D17/06	坑道掘進に用いるもの
E21D17/08	立柱しない炭壁面を得るためのカッペの継手
E21D17/082	滑り形のもの
E21D17/086	関節形のもの
E21D17/10	留め板をもち，または持たないで，切羽用支柱の頭部に係合するためのカッペの細部；留め板
E21D19/00	作業空間の一時的保護カバー（Ｅ２１Ｄ９／０６，Ｅ２１Ｄ２３／００が優先）
E21D19/02	長壁工法に用いるもの
E21D19/04	坑道掘進に用いるもの
E21D20/00	アンカーボルトの据付け（立て坑，トンネルまたは坑道用アンカーボルトＥ２１Ｄ２１／００，基礎工事に特に適合した構造要素または隔壁を定着させるための手段Ｅ０２Ｄ５／７４；ジベルまたは固着のため壁またはその類似のものに設けられた穴に挿入されてそれらに取り付けられるその他の装置Ｆ１６Ｂ１３／００）
E21D20/003	｛アンカー孔を堀りアンカーボルトを設置するための機械｝
E21D20/006	｛アンカーボルト格納と供給のためのマガジンを持ち，ラックからの供給（ドリルロッドの接続その他の動作を一体的に行うものＥ２１Ｂ１９／２０）｝
E21D20/02	グラウトの設備をもつもの
E21D20/021	｛無機物材料によるグラウト，例．セメント｝
E21D20/023	｛カートリッジ；グラウトの充填｝
E21D20/025	｛無機物材料によるグラウト，例．樹脂｝
E21D20/026	｛カートリッジ；グラウトの充填｝
E21D20/028	｛グラウト液を坑井に注入するための装置または付属機器（Ｅ２１Ｄ２０／００３が優先；グラウト液注入により土壌または岩盤を改良するものＥ２１Ｄ９／００１）｝
E21D21/00	天盤，下盤，｛坑道または長壁作業場における｝または立て坑ライニング保護用アンカーボルト　（｛地中アンカーＥ０２Ｄ５／８０；建築構造物の固定Ｅ０４Ｂ１／４１，Ｅ２１Ｄ２／３０(ＥＣＬＡ)｝；ジベル，または固着のため壁またはその類似のものに設けられた穴に挿入されてそれらに取り付けられるその他の装置Ｆ１６Ｂ１３／００；　[Ｎ:目視できる負荷物を有するボルトＧ０１Ｌ１／００]）
E21D21/0006	｛ボルトの材料に特徴を持つものもの｝
E21D21/0013	｛腐食に対する保護｝
E21D21/002	｛爆発物の使用｝
E21D21/0026	｛ボルトの構造に特徴をもつもの｝
E21D21/0033	｛外被または外装管を有するもの｝
E21D21/004	｛坑井の中で，特別に固定手段を用いず全長に渡り摩擦力で保持されたボルト｝
E21D21/0046	｛長手方向に配置された複数の要素により成るもの｝
E21D21/0053	
E21D21/006	
E21D21/0066	
