G03F7/70308	操作，例．光強度，波長，偏光，位相，イメージシフトを行うための，光学補正要素，フィルタ，および，位相板（フィルタ自体Ｇ０２Ｂ５／２０）<br>注<br>波長や偏光制御は，さらにグループ Ｇ０３Ｆ７／７０５６６, Ｇ０３Ｆ７／７０５７５に分類される。
G03F7/70316	光学素子，例．ブラッグ反射素子または回折光学素子，の詳細<br>注<br>１．特定の光学物質は，さらにグループ  Ｇ０３Ｆ７／７０９５８に，分類される。；<br>２．Ｘ線やＥＵＶリソグラフィー用の多層反射器は，さらにグループ  Ｇ２１Ｋ１／０６２に分類される。
G03F7/70325	他に分類されない解像度拡張技術，例．暗視野イメージング，干渉ビーム，空間周波数増倍法，ニアフィールドレンズ
G03F7/70333	フォーカスドリル，例．ＦＬＥＸ
G03F7/70341	液浸（液浸液の化学組成  Ｇ０３Ｆ７／２０４１）
G03F7/7035	近接，またはコンタクトプリンタ
G03F7/70358	走査露光，すなわち，イメージング時のパターン化ビームと被加工物との相対的な移動
G03F7/70366	ロータリースキャン
G03F7/70375	他に分類されないイメージングシステム，例．多光子リソグラフィー，ある種の放射を別の種の放射に変換する手段を有するイメージングシステム，フォトカソードを備えたマスクを有するシステム
G03F7/70383	直接描画，すなわち，パターンはマスクを用いることなく，一つまたは複数のビームによって直接書き込まれるもの（プログラマブルマスクを用いたマスクレスリソグラフィーＧ０３Ｆ７／７０２９１）
G03F7/70391	特にパターン形成に適用されるアドレス可能なアレイ源，例．アドレス可能なＬＥＤアレイ（マスクを含む露光装置用のアレイ源Ｇ０３Ｆ７／７００５；マスクを含む露光装置中のプログラム可能な手段を用いた照明の配置Ｇ０３Ｆ７／７０１１６）
G03F7/704	スキャン露光ビーム，例．ラスタ，ロータリ，およびベクタスキャン（イメージング中のパターンビームと被加工物との相対移動を含むマスク投影露光Ｇ０３Ｆ７／７０３５８）
G03F7/70408	干渉露光，ホログラフ露光，セルフイメージングリソグラフィー
G03F7/70416	ステレオリソグラフィ，３Ｄプリント，ラピッドプロトタイピング
G03F7/70425	イメージングストラテジー，例．スループットの向上，イメージフィールドよりも大きい焼付け生産物のフィールド，リソグラフィーまたは非リソグラフィーエラーの補償，例．近接効果補正，ミックス＆マッチ，ステッチング，ダブルパターニング
G03F7/70433	効率を向上するためのレイアウト，イメージングエラーを補償する為のレイアウト，例．露光フィールドのレイアウト[；効率の向上，イメージングエラーの補償の為のマスクパターンの使用（回路設計自体Ｇ０６Ｆ１７／５０６８；マスクの設計または製造Ｇ０３Ｆ１／１４）
G03F7/70441	光近接効果補正
G03F7/7045	ハイブリッド[複合]露光，すなわち異なるタイプの露光を組み合わせること，例．投影露光，近接，直接描画，干渉露光，紫外線，Ｘ線，粒子線（構造上の詳細は  Ｇ０３Ｆ７／７０９９１）
G03F7/70458	ミックス＆マッチ，すなわち類似したタイプの露光を使用する同一領域の多重露光，例．ＵＶ露光
G03F7/70466	多重露光，例．ファインとコース露光の組み合わせ，ダブルパターニング，単一のフィーチャを印刷するための多重露光，ミックスアンドマッチ（ステッチングはＧ０３Ｆ７／７０４７５）
G03F7/70475	ステッチング，すなわちデバイス領域を形成するためにイメージフィールドを繋ぐこと，当該フィールドは，メモリチップ，プロセッサチップ，ＣＣＤ，フラットパネルディスプレイなどのデバイスによって占有される
G03F7/70483	情報管理，制御，テスト，およびウェハモニタリング，例．パターンの監視（検出準備Ｇ０３Ｆ７／７０８５）
G03F7/70491	ソフトウェアを含めた，情報の管理と制御
G03F7/705	物理現象から完全なウェハプロセス，またはウエハー製造における全体のワークフローの，モデリングおよびシミュレーション
G03F7/70504	
G03F7/70508	マイクロリソグラフィー装置の全ての部分におけるデータ処理，例．アドレス可能なマスク
G03F7/70516	マイクロリソグラフィ装置の構成部品の校正，例．光源，アドレス可能なマスク，検出器
G03F7/70525	正常な動作モードの制御，例．異なる装置の整合，遠隔制御，故障の予測
G03F7/70533	異常な動作モードの制御，例．待ち時間，リワーク決定，リワークフローの考慮
G03F7/70541	タグ付け，すなわち，フィーチャまたは構成部品の，ハードウェアまたはソフトウェアのタグ付け
G03F7/7055	マイクロリソグラフィー装置の全ての部品における露光光制御，例．パルス長制御，光の遮断
