F42B12/382	｛電磁放射を放出するもの，例．レーザー光または赤外線の放出｝
F42B12/385	｛信号用の無線送信機を搬送する矢またはダーツ｝
F42B12/387	｛受動トレーサー，例．発射体に取り付けた反射器を用いたもの｝
F42B12/40	標的指示形，すなわち弾着指示形（Ｆ４２Ｂ１２／４８，　｛Ｆ４２Ｂ１２／５０｝が優先）
F42B12/42	照明形，例．照明弾
F42B12/44	焼夷形（Ｆ４２Ｂ１２／４６が優先）
F42B12/46	ガス，蒸気，粉末または化学的反応性物質の散布用（Ｆ４２Ｂ１２／７０が優先）
F42B12/48	発煙，　｛例．赤外線雲｝
F42B12/50	散布によるもの
F42B12/52	気体爆発装置
F42B12/54	皮下注入をするもの，例．皮下注射弾
F42B12/56	ばらばらの個体の散布用（Ｆ４２Ｂ１２／７０が優先）
F42B12/58	クラスターまたはカーゴ弾，すなわち複数の子弾を内蔵している発射体（Ｆ４２Ｂ１２／３２が優先）
F42B12/60	放射状に放出される子弾
F42B12/62	投射体の縦方向軸に平行に放出される子弾
F42B12/625	｛同軸に射出または加速されるための搬送飛しょう体に配置される単一の子弾；次々と標的にアクテイブな飛しょう体の同軸直列配列（成形または中空装薬を備えたものＦ４２Ｂ１２／１６）｝
F42B12/64	弾子または矢弾形の子弾
F42B12/66	鎖弾，すなわち鎖または同様のものでつながれている子弾　｛（人または動物を制止するために弾道学的に開発された方式Ｆ４１Ｈ１３／０００６）｝
F42B12/68	投網弾，例．救命用（もりＦ４２Ｂ３０／１４，｛地雷撤去用導爆索Ｆ４１Ｈ１１／１４｝）
F42B12/70	レーダーチャッフまたは赤外線物質の散布用（レーダー反射標的，赤外線放射アクテイブ標的Ｆ４１Ｊ２／００；レーダー反射面Ｈ０１Ｑ１５／１４）
F42B12/72	材料に特徴のあるもの（砲弾の熱処理Ｃ２１Ｄ９／１６）
F42B12/74	弾芯または固形部
F42B12/745	｛プラスチック製弾芯；プラスチックおよび他部材との化合物または混合物，例．充填材｝
F42B12/76	弾体
F42B12/78	小火器用弾被；　｛弾被つき弾丸または発射体｝
F42B12/80	被覆
F42B12/82	摩擦の減少
