C03B19/108	｛有孔，焼結または発泡ビーズの成形（化学的観点Ｃ０３Ｃ１１／００）｝
C03B19/1085	｛ブロー，プレス成形，遠心分離，ロール圧延または滴下によるもの｝
C03B19/109	｛ビーズの製造に特に適合したガラス溶融窯｝
C03B19/1095	｛ビーズの熱後処理，例．熱強化，結晶化，徐冷｝
C03B19/12	液相反応プロセスによるもの
C03B19/14	気｛または蒸気｝相反応プロセスによるもの
C03B19/1407	｛そのための沈積反応器｝
C03B19/1415	｛反応剤配送システム｝
C03B19/1423	｛反応剤沈積バーナ｝
C03B19/143	｛プラズマ蒸着｝
C03B19/1438	｛液体または溶液状の追加の反応剤の配送および沈積のためのもの，例．物品または沈積物の溶液ドーピング｝
C03B19/1446	｛作用した反応剤ガスの後処理または捕捉のための手段｝
C03B19/1453	｛成形物品の熱後処理，例．脱水，強化，焼結｝
C03B19/1461	｛成形物品へのふっ素のドーピングのためのもの｝
C03B19/1469	｛成形物品または沈積物の型または形を変更または安定化するための手段｝
C03B19/1476	｛沈積の間または直前の加熱手段（Ｃ０３Ｂ１９／１４１５が優先）｝
C03B19/1484	｛成形された物品の支持，回転または変形のための手段｝
C03B19/1492	｛沈積基体，例．目標｝
C03B20/00	石英または溶融シリカ物品の製造に特に適合したプロセス，｛他に分類されないもの（Ｃ０３Ｂ１９／０１，Ｃ０３Ｂ１９／０６６，Ｃ０３Ｂ１９／１０６，Ｃ０３Ｂ１９／１２，Ｃ０３Ｂ１９／１４，Ｃ０３Ｂ３７／００が優先）｝
C03B21/00	可塑状の板，管または棒ガラスの切断
C03B21/02	切断によるもの（Ｃ０３Ｂ９／４６が優先）
C03B21/04	パンチアウトによるもの
C03B21/06	フラッシングオフ，バーニングオフまたは溶融によるもの（Ｃ０３Ｂ９／４２が優先）
C03B23/00	成形ガラスの再成形（繊維またはフィラメントの再成形はＣ０３Ｂ３７／１４）
C03B23/0006	｛引き出しによるもの（Ｃ０３Ｂ２３／０２，Ｃ０３Ｂ２３／０４，Ｃ０３Ｂ２３／１８が優先）｝
