B66F   7/10  \	1	1	3F330	B66F   7/10	79	ジャッキによって直接に支持されるプラットフォームをもつもの	with platforms supported directly by jacks
B66F   7/12  \	2	2	3F330	B66F   7/12	251	機械式ジャッキによるもの	by mechanical jacks
B66F   7/14  \	3	3	3F330	B66F   7/14	404	ねじ駆動されるもの	screw-operated
B66F   7/16  \	2	2	3F330	B66F   7/16	308	１つまたはそれ以上の液圧または空気圧ジャッキによるもの	by one or more hydraulic or pneumatic jacks
B66F   7/18  \	3	3	3F330	B66F   7/18	198	単独の中心ジャッキによるもの	by a single central jack
B66F   7/20  \	3	3	3F330	B66F   7/20	13	移動の際プラットフォームの水平を保持するための装置をもった数個のジャッキによるもの	by several jacks with means for maintaining the platforms horizontal during movement
B66F   7/20  A	3	0	3F330	B66F   7/20	70	複数のシリンダの伸縮を機械的に同調させるもの〔例．補助水平ガイド部材，ラックピニオンとの併用〕〔注．液圧駆動されるパンタダラフジャッキは，７／０８が優先「図」	mechanically synchronising extending or contracting motions of multiple cylinders, e.g. auxiliary horizontal guides, combination with rack and pinion (note: 7/08 takes precedence for hydraulically driven pantograph jacks.) [figure]
B66F   7/20  B	3	1	3F330	B66F   7/20	42	索体を利用したもの「図」	using of ropes [figure]
B66F   7/20  C	3	1	3F330	B66F   7/20	65	歯車，ラック，チェーン利用したもの「図」	using of gears, racks, chains [figure]
B66F   7/20  D	3	0	3F330	B66F   7/20	250	流体手段を用いて複数のシリンダの伸縮を同調させるもの〔例．複数シリンダの直列接続分配集流弁〕〔注．電気的な制御手段を持つものは，１７／００Ｅが優先「図」〕	synchronising extending or contracting motions of multiple cylinders by using hydrodynamic means, e.g. parallel-connected flow distribution/collection valves for multiple cylinders (note: 17/00 E takes precedence if electrical control means are provided.)
B66F   7/20  Z	3	0	3F330	B66F   7/20	20	その他のもの〔バージ，洋上プラットフォームのイコライザーは，Ｅ０２Ｂ１７／０４が主〕「図」	Others (E 02 B 17/04 mainly applies to equalisers for barges or ocean platforms) [figure]
B66F   7/22  \	1	1	3F330	B66F   7/22	13	傾斜できるプラットフォームをもつもの（荷卸しのために車両を傾斜するものＢ６５Ｇ６７／３４）	with tiltable platforms (tilting vehicles for unloading B65G 67/34)
B66F   7/22  A	1	0	3F330	B66F   7/22	86	昇降動作と連動してプラツトフォームを傾斜させるもの〔注．スキップホイスト，すなわち最上端で転倒するバケットあるいはホッパーを持つものは，Ｂ６６Ｂ１７／０８〕〔例．傾斜またはわん曲したガイドレールによりプラットフォームを傾けるもの上昇するにつれて傾斜するパンタグラフリンク機構〕「図」	tilting platforms while being interlocked with rising or falling motion (note: Skip hoists, that is, with buckets pr hoppers tipped over at top B 66 B 17/08), e.g. tilting platforms by tilted or curbed guide rails, pantograph-link mechanism with tilting a
B66F   7/22  B	1	0	3F330	B66F   7/22	101	プラットフォームの片側のみを持上げることによりプラットフォームの傾斜を行なうもの〔注．プラットフォーム全体の昇降は行なわれず，はね橋のようにプラットフォームが傾くものを分類する。ただしホッパーの目的でバケット等を傾けるものは，Ｂ６５Ｇ６５〕「図」	tilting platforms by lifting only one side of it (note: Platforms per se are not lifted.  Tilted platforms such as drawbridge are assigned here.  Exceptions: tiling buckets for purpose of hopper B 65 G 65) [figure]
