C22B21/06	精製　｛電解精錬Ｃ２５Ｃ；　（Ｃ２２Ｂ２１／００４６，　Ｃ２２Ｂ２１／００６１が優先）｝
C22B21/062	塩または融剤を用いるもの　（Ｃ２２Ｂ２１／０６４，　Ｃ２２Ｂ２１／０６６，および　Ｃ２２Ｂ２１／０６８が優先）
C22B21/064	不活性ガスまたは反応性ガスを用いるもの（Ｃ２２Ｂ２１／０６６およびＣ２２Ｂ２１／０６８が優先）
C22B21/066	循環アルミニウムの処理，例．ろ過によるもの　（Ｃ２２Ｂ２１／０６８が優先）
C22B21/068	真空中での処理
C22B23/00	ニッケルまたはコバルトの採取
C22B23/005	｛原鉱石の予備的処理一般，例．焙焼またはクルップ−レーン法によるもの｝
C22B23/02	乾式法
C22B23/021	固体状態での還元，例．セグレゲーション法によるもの
C22B23/023	鉄ーニッケルまたは鉄-コバルトの形成によるもの
C22B23/025	マットの形成，マット精製，ニッケルまたはコバルトへの変換によるもの，例．オックスフォード法によるもの　（マットの浸出Ｃ２２Ｂ２３／０４）
C22B23/026	使用済み触媒からのもの
C22B23/028	コバルトからのニッケルの分離
C22B23/04	｛ＩＰＣ　４｝　湿式法によるもの；　（｛有機剤を用いたニッケルまたはコバルトの回収または分離　Ｃ２２Ｂ３／００｝）
C22B23/0407	浸出法
C22B23/0415	酸，またはアンモニア塩溶液を除く塩溶液によるもの
C22B23/0423	ハロゲン化酸またはその塩
C22B23/043	硫酸またはその塩
C22B23/0438	硝酸またはその塩
C22B23/0446	アンモニア性溶液またはアルカリまたはアルカリ土類金属の水酸化物によるもの
C22B23/0453	溶液，例．浸出により得られたもの，の処理または精製　（Ｃ２２Ｂ２３／０４０７が優先）
C22B23/0461	化学的方法によるもの
C22B23/0469	化学置換によるもの，例．セメンテーションによるもの
C22B23/0476	コバルトからのニッケルの分離
C22B23/0484	酸性溶液中で
C22B23/0492	アンモニア性溶液中で
C22B23/06	精製
C22B23/065	カルボニル法
C22B25/00	すずの採取
C22B25/02	乾式法
C22B25/04	｛ＩＰＣ　４｝　湿式法によるもの
C22B25/06	スクラップ，特にすずスクラップからの採取（電解法Ｃ２５Ｃ１／１４）
C22B25/08	精製
C22B26/00	アルカリ金属，アルカリ土類金属またはマグネシウムの採取
C22B26/10	アルカリ金属の採取
C22B26/12	リチウムの採取
C22B26/20	アルカリ土類金属またはマグネシウムの採取
C22B26/22	マグネシウムの採取
C22B30/00	アンチモン，ひ素またはビスマスの採取
C22B30/02	アンチモンの採取
C22B30/04	ひ素の採取[（Ｎ:　Ｃ２２Ｂ３／００Ａ４(ＥＣＬＡ)，　Ｃ２２Ｂ３／０００５および　Ｃ２２Ｂ３／００９８が優先）｝
C22B30/06	ビスマスの採取
C22B34/00	耐火金属の採取
C22B34/10	チタニウム，ジルコニウムまたはハフニウムの採取
C22B34/12	チタニウムの採取または冶金法による原鉱石またはスクラップからのチタン化合物の採取；　他のチタン化合物からのチタン化合物の製造はＣ０１Ｇ２３／００〜　Ｃ０１Ｇ２３／０８を参照
C22B34/1204	チタン成分に影響せずに，非チタン成分，例．鉄，を除去するための原鉱石またはスクラップの予備的処理一般
C22B34/1209	乾式法によるもの，例．鉄の選択的塩素化によるものまたはチタン含有スラグの形成によるもの
C22B34/1213	湿式法によるもの，例．浸出法または浮遊法によるもの
C22B34/1218	乾式法による原鉱石またはスクラップからのチタンまたはチタン化合物の取得
C22B34/1222	ハロゲン含有する作用物質を用いるもの
C22B34/1227	酸素含有する作用物質を用いるもの
C22B34/1231	乾式法によって得られたチタン含有生成物の処理および精製，例．濃縮
C22B34/1236	湿式法，例．浸出，による原鉱石またはスクラップからのチタンまたはチタン化合物の取得
C22B34/124	酸性溶液を用いるもの
C22B34/1245	活性剤としてハロゲンイオンを含むもの
C22B34/125	活性剤として硫黄イオンを含むもの
C22B34/1254	塩基性溶液を用いるもの
C22B34/1259	チタン含有溶液，液体またはスラリーの処理または精製　（Ｃ０１Ｇ２３／００１　が優先）
C22B34/1263	チタン化合物からの金属チタンの取得，例．還元によるもの　（Ｃ２２Ｂ３４／１２９　が優先）
C22B34/1268	アルカリまたはアルカリ土類金属またはアマルガムを用いるもの
C22B34/1272	チタンハロゲン化物の還元，例．クロール法
C22B34/1277	他の金属，例．アルミニウム，けい素，マンガン，を用いるもの
C22B34/1281	炭素含有作用物質，例．炭素，一酸化炭素，炭化物，を用いるもの（Ｃ２２Ｂ３４／１２８６が優先）
C22B34/1286	水素含有作用物質，例．　Ｈ２，　ＣａＨ２，炭化水素，を用いるもの
C22B34/129	チタン化合物からの解離による金属チタンの取得，例．四ヨウ化チタンの熱解離，または電解または電気アークの使用によるもの
C22B34/1295	チタンの精製，溶融，再溶融，仕上げ処理
C22B34/14	ジルコニウムまたはハフニウムの採取　｛液−液抽出，イオン交換または吸着による溶液の処理または精製　Ｃ２２Ｂ３／００，　Ｃ０１Ｇ２５／００３，　Ｃ０１Ｇ２７／００３｝
C22B34/20	ニオブ，タンタルまたはバナジウムの採取
C22B34/22	バナジウムの採取
C22B34/225	使用済み触媒からのもの
C22B34/24	ニオブまたはタンタルの採取
C22B34/30	クロム，モリブデンまたはタングステンの採取
C22B34/32	クロムの採取
C22B34/325	使用済み触媒からのもの
C22B34/34	モリブデンの採取　｛（Ｃ２２Ｂ３／０００５，　Ｃ２２Ｂ３／００９８およびＣ０１Ｇ３９／００３が優先；　触媒または超合金スクラップからのもの　:　　Ｃ２２Ｂ７／００も参照）｝
C22B34/345	使用済み触媒からのもの
C22B34/36	タングステンの採取
C22B34/365	使用済み触媒からのもの
C22B35/00	ベリリウムの採取
C22B41/00	ゲルマニウムの採取　｛（Ｃ２２Ｂ３／０００５またはＣ２２Ｂ３／００９８が優先）｝
C22B43/00	水銀の採取
C22B47/00	マンガンの採取
C22B47/0009	使用済み触媒からのもの
C22B47/0018	海底の団塊の処理
C22B47/0027	予備的処理一般
C22B47/0036	乾式法によるもの，例．製錬
C22B47/0045	湿式法によるもの
C22B47/0054	浸出法
C22B47/0063	酸または塩溶液によるもの（Ｃ２２Ｂ４７／００７２が優先）
C22B47/0072	アンモニア性溶液またはアルカリまたはアルカリ土類金属水酸化物によるもの
C22B47/0081	溶液の処理または精製，例．浸出による取得　（Ｃ２２Ｂ４７／００５４が優先）
C22B47/009	精製，例．上記の方法で得られた金属の分離
C22B58/00	ガリウムまたはインジウムの採取　（｛液−液抽出，イオン交換または吸着による溶液の処理または精製　Ｃ２２Ｂ３／００｝）
C22B59/00	希土類金属の採取
