G07F17/32	ゲーム用具，玩具，スポーツ用具，または娯楽用具に関するもの　｛（コイン捕集手段なしにプレーするものＡ６３）｝
G07F17/3202	
G07F17/3204	
G07F17/3206	
G07F17/3209	
G07F17/3211	
G07F17/3213	
G07F17/3216	
G07F17/3218	
G07F17/322	
G07F17/3223	
G07F17/3225	
G07F17/3227	
G07F17/323	
G07F17/3232	
G07F17/3234	
G07F17/3237	
G07F17/3239	
G07F17/3241	
G07F17/3244	
G07F17/3246	
G07F17/3248	
G07F17/3251	
G07F17/3253	
G07F17/3255	
G07F17/3258	
G07F17/326	
G07F17/3262	
G07F17/3265	
G07F17/3267	
G07F17/3269	
G07F17/3272	
G07F17/3274	
G07F17/3276	
G07F17/3279	
G07F17/3281	
G07F17/3283	
G07F17/3286	
G07F17/3288	
G07F17/329	
G07F17/3293	
G07F17/3295	
G07F17/3297	
G07F17/34	移動部材の停止によるもの　｛例．回転または振動｝部材，例．スロットマシン　｛（コイン捕集のないローレットゲームＡ６３Ｆ５／００）｝
G07F17/36	年齢，性格または運命をつげる機器
G07F17/38	球技用具；射撃用具　｛（コイン捕集のない球技，例．フットボール，ゴルフ，ボウリングＡ６３Ｂ）｝
G07F17/40	注文，広告またはこれと同様のものを受ける装置に関するもの
G07F17/42	チケット印刷機または同様な装置に関するもの
G07F19/00	完全バンキングシステム；現金または類似のものの支払いまたは受け取り，かつそのような取引を現存する口座に記帳するために適合されたコード付きカード解放装置；例．ＡＴＭ（現金自動預払機）（銀行経理業務のためのデータ処理装置Ｇ０６Ｆ１７／６０，Ｇ０６Ｆ１９／００；コイン解放装置または類似装置を除くコインまたは紙幣を取扱う装置Ｇ０７Ｄ；コイン以外のもので作動される機構一般Ｇ０７Ｆ７／００）
G07F19/20	
G07F19/201	
G07F19/202	
G07F19/203	
G07F19/204	
G07F19/205	
G07F19/2055	
G07F19/206	
G07F19/207	
G07F19/208	
G07F19/209	
G07F19/21	
G07F19/211	
