H05B33/20	エレクトロルミネッセンス材料が埋め込まれた物質の配置あるいは化学的または物理的組成によって特徴づけられたもの
H05B33/22	補助的な誘電体または反射層の配置あるいは化学的または物理的組成によって特徴づけられたもの
H05B33/24	金属反射層（Ｈ０５Ｂ３３／２６が優先）
H05B33/26	電極として使用される導電物質の配置あるいは組成によって特徴づけられたもの
H05B33/28	半透明電極
H05B35/00	異なった型の光源を組み合せて用いた電気的光源
H05B39/00	白熱光源を制御するための回路装置
H05B39/02	スイッチオン，例．点灯電流を設定割合で増加させるもの
H05B39/04	制御
H05B39/041	｛光源の光の明暗度（Ｈ０５Ｂ３９／０８が優先）｝
H05B39/042	｛入射光の測定によるもの｝
H05B39/044	｛連続的なもの（Ｈ０５Ｂ３９／０４２が優先）｝
H05B39/045	｛高周波ブリッジ変換器を有するもの（Ｈ０５Ｂ３９／０４８が優先）｝
H05B39/047	｛直流電源からのパルス幅変調を有するもの｝
H05B39/048	｛可逆相制御装置を有するもの｝
H05B39/06	スイッチ装置，例．直列操作から並列操作への切り替え
H05B39/08	ガス入制御管に加えるトリガ電圧の位相変化によるもの｛また制御された半導体装置におけるもの（変換器におけるものＨ０２Ｍ５／００；調整部を有するものＧ０５Ｆ１／４４）｝
H05B39/081	｛入射光の測定によるもの（Ｈ０５Ｂ３９／０８３が優先）｝
H05B39/083	｛輝度の変動率によるもの｝
H05B39/085	｛タッチ制御によるもの｝
H05B39/086	｛遠隔制御の可能性があるもの｝
H05B39/088	｛無線手段，例．赤外線伝送手段，によるもの｝
H05B39/09	パルスが供給されるランプ｛（白熱灯内に，または白熱灯に設置された自動回路装置Ｈ０１Ｋ１／６２５；車両における点滅装置Ｂ６０Ｑ１／３８）｝
H05B39/10	故障の場合に光源の取り替えに備えた回路｛（予備電源への変更Ｈ０２Ｊ９／００）｝
H05B39/105	｛回路内に予備ランプを有するもの，および故障したランプを入れ替える可能性を有するもの（ランプ変更装置Ｈ０１Ｒ３３／００，Ｈ０１Ｒ４３／００；予備本体を有する白熱灯Ｈ０１Ｋ）｝
H05B41/00	放電ランプの点弧または点灯のための回路装置または装置
H05B41/02	細部
H05B41/04	始動スイッチ
H05B41/042	｛半導体装置を用いるもの｝
H05B41/044	｛予熱電極を備えたランプ用のもの｝
H05B41/046	｛制御された半導体装置を用いるもの｝
H05B41/048	｛電磁継電器を用いるもの｝
H05B41/06	熱動作のみによるもの
H05B41/08	グロー放電による加熱
H05B41/10	磁気的のみによるもの
H05B41/12	熱的なものと磁気的なものの組合せ
H05B41/14	回路装置
H05B41/16	直流または低周波交流，例．５０ヘルツの交流，｛または電力系統周波数を有するもの｝，によって給電されるランプのためのもの
H05B41/18	始動スイッチをもつもの
H05B41/19	補助始動電極をもつランプのためのもの
H05B41/20	始動スイッチをもたないもの
H05B41/22	補助始動電極をもつランプのためのもの
H05B41/23	補助始動電極をもたないランプのためのもの
H05B41/231	高圧ランプのためのもの
H05B41/232	低圧ランプのためのもの
H05B41/2325	｛予熱電極を備えたもの｝
H05B41/233	共振回路を用いるもの
H05B41/234	ストロボ効果を減少させるためのもの，例．２個のランプに異なる位相の電圧を印加するもの
H05B41/24	高周波交流，｛または個別の発振周波数の交流｝によって給電されるランプのためのもの（Ｈ０５Ｂ４１／２６が優先）
H05B41/245	｛複数のランプ用のもの｝
H05B41/26	変換器による直流，例．高電圧直流，によって給電されるランプのためのもの
H05B41/28	静止型変換器を用いるもの
H05B41/2806	｛半導体装置を備えたもの，および容器内の電極なしにランプに特に適合したもの，例．表面放電ランプ，無電極放電ランプ｝
H05B41/2813	｛異常動作状態からランプまたは回路を保護するための装置｝
H05B41/282	半導体装置を有するもの（｛Ｈ０５Ｂ４１／２８０６｝，Ｈ０５Ｂ４１／２８８，Ｈ０５Ｂ４１／２９５が優先）
H05B41/2821	｛最終段階で単一スイッチの変換器または並列プッシュプル変換器の手段によるもの（Ｈ０５Ｂ４１／２８５が優先）｝
H05B41/2822	｛負荷回路に特に適合された構成部品を用いるもの，例．帰還変圧器，圧電変圧器；負荷回路構成に特に適合されたものを用いるもの｝
H05B41/2824	｛スイッチ素子用に制御回路を用いるもの（Ｈ０５Ｂ４１／２８２２が優先）｝
H05B41/2825	｛最終段階でのブリッジ変換器の手段によるもの（Ｈ０５Ｂ４１／２８５が優先）｝
H05B41/2827	｛負荷回路に特に適合された構成部品を用いるもの，例．帰還変圧器，圧電変圧器；負荷回路構成に特に適合されたものを用いるもの｝
H05B41/2828	｛スイッチ素子用に制御回路を用いるもの（Ｈ０５Ｂ４１／２８２７が優先）｝
H05B41/285	異常動作状態からランプまたは回路を保護するための装置
H05B41/2851	｛異常動作状態から回路を保護するためのもの｝
H05B41/2853	｛異常電源状態から保護するもの｝
H05B41/2855	｛異常ランプ点灯状態から保護するもの｝
H05B41/2856	｛内部異常回路状態から保護するもの｝
H05B41/2858	｛異常動作状態からランプを保護するためのもの｝
H05B41/288	半導体装置を有し，かつ，予熱電極のないランプ，例．高輝度放電ランプ，高圧水銀ランプまたは高圧ナトリウムランプ，または低圧ナトリウムランプ，のために特に適用されるもの（Ｈ０５Ｂ４１／２８０６が優先）
H05B41/2881	｛負荷回路；その制御｝
H05B41/2882	｛静止型変換器に対する作動結果による制御｝
H05B41/2883	｛制御される素子が最終段階で直流／交流変換器であるもの，例．調和モードの始動によるもの｝
H05B41/2885	｛そのために特に適合した静止型変換器；その制御（Ｈ０５Ｂ４１／２８８２が優先）｝
H05B41/2886	｛制御可能な予備調整機からなるもの，例．ブースタ｝
H05B41/2887	｛最終段階で制御可能なブリッジに特徴があるもの｝
H05B41/2888	｛ブリッジが低周波数，例．１ｋＨｚ，で整流されるもの｝
H05B41/292	異常動作状態からランプまたは回路を保護するための装置
H05B41/2921	｛異常動作状態から回路を保護するためのもの｝
H05B41/2923	｛異常電源状態から保護するもの｝
H05B41/2925	｛異常ランプ点灯状態から保護するもの｝
