B62D25/06	固定式屋根（非固定式屋根または同様のしゃへいＢ６０Ｊ７／００；屋根用裏張りＢ６０Ｒ１３／０２；音響隔離用部材Ｂ６０Ｒ１３／０８）
B62D25/07	排水装置または水案内装置を屋根構造物と一体に有するもの
B62D25/08	前部または後部の部材｛（エンジンまたは懸架装置を取付るためのサブフレームＢ６２Ｄ２１／１１）｝
B62D25/081	｛カウル（車両前面窓のまん前に位置する通風開口Ｂ６０Ｈ１／２８）｝
B62D25/082	｛エンジン室｝
B62D25/084	｛ラジエーター支持具｝
B62D25/085	｛前端モジュール｝
B62D25/087	｛貨物室｝
B62D25/088	｛スプリングまたは緩衝器用の上部支持具としての構造の細部｝
B62D25/10	ボンネットまたはリッド｛（例．トラック，トラクター，バス，作業用車両用のもの；トラックの荷台用のものＢ６０Ｊ７／０４１；ボート用のものＢ６３Ｂ１９／１２；車両後部に配置されたドアＢ６０Ｊ５／１０；車両燃料タンクの給油口カバーＢ６０Ｋ１５／０５；車両の非乗員を保護するためのものＢ６０Ｒ２１／３４）｝
B62D25/105	｛自動車用のもの｝
B62D25/12	部品またはその細部部品（｛そのためのロックＥ０５Ｂ６５／１９；開いたままにする装置Ｅ０５Ｃ１７／００，例．特大の物品を運搬している間にＥ０５Ｃ１７／０４２｝；ヒンジＥ０５Ｄ；平衡おもり手段Ｅ０５Ｆ；｛止め具，緩衝器Ｅ０５Ｆ５／００｝；スプリング，｛例．空気圧スプリング｝Ｆ１６Ｆ）
B62D25/14	上部構造の構成体であるダッシュボード（他のダッシュボードＢ６０Ｋ）
B62D25/142	｛その中に組み込まれた通気路を有するもの｝
B62D25/145	｛その中に組み込まれたクロスビームを有するもの｝
B62D25/147	｛Ａピラーに対して調整可能な接続部をもつもの｝
B62D25/16	泥除または泥除板；車輪のおおい板（車輪またはタイヤから異物を除去するものＢ６０Ｓ）
B62D25/161	｛非従来的な材料で作られた泥除板，例．ゴム．合成樹脂｝
B62D25/163	｛取り付け装置｝
B62D25/165	｛密封装置を含む｝
B62D25/166	｛ロッドまたは他の距離保持装置によるもの｝
B62D25/168	｛ユーティリティー車の泥除板｝
B62D25/18	部品またはその細部部品，例．泥除板
B62D25/182	｛移動可能な泥除板，または移動可能なまたは取り外し可能な部品からなる泥除板（Ｂ６２Ｄ２５／１８８が優先）｝
B62D25/184	｛車輪へのアクセスを容易にするためのもの｝
B62D25/186	｛車輪に取り付けられたまたは横方向に車輪から懸吊りされたもの（Ｂ６２Ｄ２５／１８４が優先）｝
B62D25/188	｛ユーティリティー車両用の泥除板｝
B62D25/20	床または底部の構成体｛（エンジンまたは懸架装置を取り付けるためのサブフレームＢ６２Ｄ２１／１１；しずく受けＦ１６Ｎ３１／００６）｝
B62D25/2009	｛他の上部構造サブユニットと関連するもの｝
B62D25/2018	｛前部構造であるサブユニット｝
B62D25/2027	｛後部構造であるサブユニット｝
B62D25/2036	｛サイドパネル，シルまたはピラーであるサブユニット（Ｂ６２Ｄ２１／１５７が優先）｝
B62D25/2045	｛防火壁であるサブユニット｝
B62D25/2054	｛商用車用の荷物運搬フロアー｝
B62D25/2063	｛修理のためのフロアー構成要素｝
B62D25/2072	｛床の保護，例．腐食防止または傷防止（フロアーマットＢ６０Ｎ）またはヒートシールド｝
B62D25/2081	｛ジャッキを受ける装置｝
B62D25/209	｛車両ヒッチ取付用の配置（車両連結一般Ｂ６０Ｄ）｝
B62D25/24	入口のある上部構造の構成体｛またはドレン抜き｝移動可能なまたは取り外し可能な閉鎖部材を持った開口；｛そのための密封手段｝（車両燃料タンク用の入口カバーＢ６０Ｋ１５／０５）
B62D27/00	上部構造を結合するもの｛または下部構造｝構成体｛（Ｂ６２Ｄ３３／０２０７，Ｂ６２Ｄ３３／０４４が優先；主に合成材料で作られた構成体間のものＢ６２Ｄ２９／０４８）｝
B62D27/02	剛性のもの
B62D27/023	｛立体継手の組み立て体｝
B62D27/026	｛接着剤接合による連結（一般Ｆ１６Ｂ１１／００；過程Ｃ０９Ｊ５／００）｝
B62D27/04	弾力性のあるもの
B62D27/06	簡単に取外しのできるもの
