B41M5/5254	｛炭素−炭素不飽和結合を必要とする反応により得られる重合体の使用により特徴付けられるもの，例．ビニル重合体｝
B41M5/5263	｛炭素−炭素不飽和結合を必要とする反応以外の反応により得られる重合体の使用により特徴付けられるもの｝
B41M5/5272	｛ポリエステル；ポリカーボネート｝
B41M5/5281	｛ポリウレタンまたはポリウレア｝
B41M5/529	｛フッ素またはケイ素を含有する有機化合物の使用により特徴付けられるもの｝
B41M7/00	印刷物の後処理，例．加熱，放射線照射　｛インクのセッティング，印刷された用紙の保護（印刷前または印刷中の処理Ｂ４１Ｍ５／００１１；印刷前，印刷中または印刷後の複写材料の処理または被覆のための印刷機Ｂ４１Ｊ１１／００１５）｝
B41M7/0009	｛印刷物の除去；インクパターンの非破壊的除去，例．支持体の再利用のためのもの｝
B41M7/0018	｛印刷後にインク固定材料，例．媒染剤，凝結剤，を使用するもの，例．インクジェット印刷，塗布または噴霧によるもの｝
B41M7/0027	｛ラミネートまたは塗膜もしくは層の融合による保護膜または保護層を用いるもの｝
B41M7/0036	｛硬化させずに乾燥する保護膜または保護層を用いるもの｝
B41M7/0045	｛力学的波動エネルギー，例．超音波，電磁放射線または電磁波，例．紫外線，電子ビームまたは磁場もしくは電場，例．放電，プラズマ，によって硬化される保護膜または膜形成組成物を用いるもの｝
B41M7/0054	｛熱的手段，例．赤外線，加熱，によって硬化される保護膜または膜形成組成物を用いるもの｝
B41M7/0063	｛貨幣，本または永久保存用の物の保管または修復，例．非酸性化によるもの｝
B41M7/0072	｛力学的波動エネルギーを用いるもの，例．超音波；磁場または電場を用いるもの，例．放電，プラズマ｝
B41M7/0081	｛電磁放射線または電磁波を用いるもの，例．紫外線，電子ビーム｝
B41M7/009	｛熱的エネルギーを用いるもの，例．赤外線，加熱｝
B41M7/02	粉付け　｛例．熱グラビア印刷のように隆起した印刷を得るために非オフセット粉末を用いるもの（Ｂ４１Ｍ７／００２７，Ｂ４１Ｍ７／００３６，Ｂ４１Ｍ７／００４５，Ｂ４１Ｍ７／００５４，Ｂ４１Ｍ７／００７２，Ｂ４１Ｍ７／００８１およびＢ４１Ｍ７／００９が優先）；ニス引き（印刷に関連する紙葉，巻取紙または他の物品の表面を処理する装置Ｂ４１Ｆ２３／００，Ｂ４１Ｌ２３／００）｝
B41M9/00	メイクレディ装置が用いられる方法（メイクレディ装置それ自体Ｂ４１Ｎ６／００）
B41M9/02	凸版のメイクレデイ
B41M9/04	写真製版的なもの
B41M99/00	このサブクラスの他のグループに分類されない主題事項
B41M2205/00	印刷方法または印刷方法に関連する特徴；層の位置または種類
B41M2205/02	染料拡散感熱転写印刷（Ｄ２Ｔ２）
B41M2205/04	直接感熱記録（ＤＴＲ）
B41M2205/06	（感熱）溶融質量転写に関連するもの
B41M2205/08	アブレーション熱転写，すなわち，ガスの生成によって供与体から受容体への露光された媒体の転写が推進されるもの
