C04B14/4687	｛非酸化物セラミック（炭素または黒鉛繊維Ｃ０４Ｂ１４／３８６）｝
C04B14/4693	｛炭化けい素｝
C04B14/48	金属
C04B16/00	モルタル，コンクリートまたは人造石のための充填材，例．顔料，としての有機物の使用；モルタル，コンクリートまたは人造石における充填性を向上させるのに特に適合した有機物の処理<br><br><u>注</u><br><br>粒子状以外の明確な形状の充填剤は補強要素とみなされ，そのようなものはＥ０４Ｃ５／００に分類される。しかし，その組成のみにより特徴付けられる場合は，Ｃ０４Ｂのみに分類される。
C04B16/02	セルロース質材料（セルロース質廃棄物，例．鋸屑，もみがらＣ０４Ｂ１８／２４）
C04B16/04	高分子化合物（Ｃ０４Ｂ１６／０２が優先）
C04B16/06	繊維状の
C04B16/0608	｛フィブリル，例．フィブリル化されたフィルム｝
C04B16/0616	｛炭素−炭素不飽和結合のみが関与する反応によって得られたポリマーからのもの｝
C04B16/0625	｛ポリアルケン，例．ポリエチレン｝
C04B16/0633	｛ポリプロピレン｝
C04B16/0641	｛ポリビニルアルコール；ポリビニルアセテート｝
C04B16/065	｛ポリアクリレート；ポリメタクリレート｝
C04B16/0658	｛ポリアクリロニトリル｝　
C04B16/0666	｛ポリスチレン｝
C04B16/0675	｛炭素−炭素不飽和結合のみが関与する反応によるもの以外により得られたポリマーからのもの｝
C04B16/0683	｛ポリエステル，例．ポリラクチド｝
C04B16/0691	｛ポリアミド；ポリアラミド｝　
C04B16/08	多孔質の，例．発泡ポリスチレンビーズ｛またはマイクロバルーン｝
C04B16/082	｛ポリスチレン以外，例．ポリウレタンフォーム，をベースにしたもの｝
C04B16/085	｛その場で，すなわち，モルタル，コンクリートまたは人造石成分との混合中または混合した後膨張されるもの｝
C04B16/087	｛細断されたもの｝
C04B16/10	モルタルとの混合性を高めるための処理｛（被覆Ｃ０４Ｂ２０／１０）｝
C04B16/12	形状に特徴があるもの（繊維状高分子化合物Ｃ０４Ｂ１６／０６；多孔質高分子化合物Ｃ０４Ｂ１６／０８），｛例．穴をあけられた帯状物｝
