B05B1/00	弁，加熱手段等の補助装置を有するまたはこれらを有しないノズル，スプレーヘッドまたは他の排出口（Ｂ０５Ｂ３／００，Ｂ０５Ｂ５／００，Ｂ０５Ｂ７／００が優先；｛水または気体の噴流を有する浴槽のためのノズルＡ６１Ｈ３３／００，例．Ａ６１Ｈ３３／６０６３，Ａ６１Ｈ３３／６０２１，Ａ６１Ｈ３３／０２６またはＡ６１Ｈ３３／０２７；消火に特に適合したノズルＡ６２Ｃ３１／０２；高速研削性流体噴射を発生させるためのノズルＢ２４Ｃ５／０４｝；インクジェットプリンティング機構のためのノズルＢ４１Ｊ２／１３５；｛容器を充填するためのノズルＢ６５Ｂ３９／００｝；液体分配ノズル，例．車両サービスステーションにおけるもの，Ｂ６７Ｄ７／４２）<br><br><u>警告</u><br><br>グループＢ０５Ｂ１／００はグループＢ０５Ｂ１／００２への再分類の影響を受ける。<br>グループＢ０５Ｂ１／００およびＢ０５Ｂ１／００２はコンプリートサーチの完遂のために考慮されるべきである。
B05B3/18	直線的に動く要素を有するもの，例．トラックに沿うもの；可動スプリンクラー｛（可動設備を使用する灌水装置Ａ０１Ｇ２５／０９）｝
B05B5/00	静電噴霧装置；電気的に噴霧を荷電させる手段を有する噴霧装置；他の電気的手段により液体または他の流動性材料を噴霧する装置
B05B5/001	｛加熱または冷却手段の導入，例．噴霧される材料についてのもの｝
B05B5/002	｛帯電した液滴または粒子の噴霧を中和するための手段からなるもの｝
B05B5/003	｛極性の対向する２つの噴霧の混合によるもの｝
B05B5/004	｛噴霧の極性を交互にすることによるもの｝
B05B5/005	｛噴霧動作の間に調節可能な静電噴霧装置に供給される高圧電圧，例．噴霧幅，液滴サイズの修正のためのもの｝
B05B5/006	｛高圧電圧の調節が状態，例．放出された材料の，包囲媒体のまたは標的の状態，に応答するもの｝
B05B5/007	｛高圧電圧が周期的なまたは期間的な，例．正弦波状，である噴霧動作の間に静電噴霧装置に供給されるもの｝
B05B5/008	｛極性が周期的に変化するもの｝
