G01N15/0893	｛吸収流体の重量または容積を測定するもの，例．Ｂ．Ｅ．Ｔ．法｝
G01N15/10	個別の粒子の調査
G01N2015/1006	細胞学的なもの
G01N15/1012	｛粒子分析器を較正するもの；そのリファレンス｝
G01N2015/1014	
G01N2015/1016	
G01N2015/1019	
G01N2015/1021	
G01N2015/1022	
G01N15/1023	
G01N2015/1024	
G01N2015/1026	
G01N2015/1027	
G01N2015/1028	
G01N2015/1029	
G01N2015/103	
G01N15/1031	｛個別粒子の電気的効果を測定するもの，例．導電率，容量（クールター計数器を用いたときＧ０１Ｎ１５／１２）｝
G01N15/12	クールター計数器
G01N15/13	
G01N15/131	
G01N15/132	
G01N2015/133	
G01N15/134	
G01N2015/135	
G01N2015/136	
G01N2015/137	
G01N2015/138	
G01N2015/139	
G01N15/14	電気光学的調査，例．フローサイトメータ
G01N2015/1402	
G01N15/1404	｛フローサイトメータ内の流体調整，例．フローセル；供給；流れ制御｝
G01N2015/1406	液滴ポイントの制御
G01N15/1409	
G01N2015/1411	シース流体の特徴
G01N2015/1413	水力学的な収束
G01N2015/1415	粒子位置の制御
G01N2015/1418	破砕物の目詰まりを排除するもの
G01N2015/142	
G01N2015/1422	
G01N15/1425	
G01N15/1427	
G01N15/1429	
G01N15/1431	
G01N15/1433	
G01N15/1434	光学系；照明
G01N15/1436	
G01N2015/1438	２レーザを連続して用いるもの
G01N2015/144	イメージング
G01N2015/1443	補助イメージング
G01N2015/1445	
G01N2015/1447	空間選択
G01N2015/145	光模様，例．フリンジ模様，によるもの
G01N2015/1452	焦点調整；アライメンメント
G01N2015/1454	
G01N15/1456	｛粒状材料の内部構造の空間分解能をもたないもの，例．パルス信号の処理｝
G01N15/1459	
G01N2015/1461	一致検出；その回路
G01N15/1468	｛試料の空間分解能を有するもの｝．．．｛参考<br><br><u>注</u><br><br>．先行グループに包含される主題事項に関する検索を行う際，重要となるＥＣＬＡ領域を以下に示す参照事項により示す:．．．‐粒子サイズを分別しながらランダムに配置された対象物を数えるものＧ０６Ｍ１１／０４．．．‐パターン認識のための画像特徴抽出Ｇ０６Ｋ９／４６．．．‐画像強調Ｇ０６Ｔ５／００．．．‐画像分析Ｇ０６Ｔ７／００｝
G01N15/147	｛分析が試料の流れについて行われるもの｝
G01N2015/1472	色を有するもの
G01N2015/1477	マルチパラメータ
G01N2015/1479	拡散照明または励起を用いるもの
G01N2015/1481	
G01N15/1484	｛マイクロ構造装置｝．．．<br><br><u>｛注</u><br><br>．．．このグループは未完；暫定的にグループＧ０１Ｎ１５／１４，Ｇ０１Ｎ１５／１４０４，Ｇ０１Ｎ１５／１４５６及び関連ＩＣＯ−コードを参照｝
G01N2015/1486	および粒子を計数するもの
G01N2015/1488	決定のための方法
G01N15/149	
G01N15/1492	
G01N2015/1493	粒子サイズ
G01N2015/1495	
G01N2015/1497	粒子形状
G01N17/00	天候，腐蝕または光に対する耐久性の調査
G01N17/002	｛測定室｝
G01N17/004	｛光に対するもの｝
G01N17/006	｛金属に関するもの｝
G01N17/008	｛汚れを監視するもの｝
G01N17/02	風化，腐蝕または防蝕を測定するための電気化学的測定システム
G01N17/04	腐触プローブ
G01N17/043	｛試験片｝
G01N17/046	｛試験片を支持または導入するための手段｝
G01N19/00	機械的方法による材料の調査（Ｇ０１Ｎ３／００〜Ｇ０１Ｎ１７／００が優先）
G01N19/02	材料間の摩擦係数の測定　｛（タイヤテストＧ０１Ｍ１７／０２；車輌ブレーキまたは牽引制御装置に用いる摩擦係数の測定Ｂ６０Ｔ８／１７２）｝
G01N19/04	材料間，例．シールテープ，被覆材，の粘着力の測定
G01N19/06	材料の掻取りによる調査，例．火花試験
G01N19/08	きずまたは不規則性の存在の検知（表面の粗さまたは不規則性の測定Ｇ０１Ｂ５／２８）
G01N19/10	含水量の測定，例．吸湿性フィラメントの長さの変化の測定によるもの；湿度計
G01N21/00	光学的手段，すなわち．赤外線，可視光線または紫外線を使用することによる材料の調査または分析（Ｇ０１Ｎ３／００〜Ｇ０１Ｎ１９／００が優先；応力測定一般Ｇ０１Ｌ１／００；計測器の光学要素Ｇ０２Ｂ）<br><br><u>｛注</u><br><br>このグループは光それ自体の分光特性の調査，または光との干渉が既知または重要でない分光特性が検出される材料の特性測定を含まない（Ｇ０１後の注４も参照）．これらの主題はＧ０１Ｊ３／００に含む｝
G01N21/01	光学的調査を容易に行なうための配置または装置
G01N2021/0106	それぞれの部品の一般的配置
G01N2021/0112	機械的，光学的または電子的ブロック内の装置
G01N2021/0118	遠隔処理を有する装置
G01N2021/0125	プログラム記憶式または命令方式のもの
G01N2021/0131	外部記憶のもの
G01N2021/0137	ＰＣまたは類似のものを有するもの
G01N2021/0143	内部または外部計算機を有するもの
