A47L11/4088	10	{Supply pumps; Spraying devices; Supply conduits}	A47L11/40	A47L11/40		4651
A47L11/4091	9	{Storing or parking devices, arrangements therefor; Means allowing transport of the machine when it is not being used}	A47L11/40	A47L11/40		2384
A47L11/4094	9	{Accessories to be used in combination with conventional vacuum-cleaning devices}	A47L11/40	A47L11/40		2678
A47L11/4097	9	{Means for exhaust-air diffusion; Exhaust-air treatment, e.g. air purification; Means for sound or vibration damping}	A47L11/40	A47L11/40		431
A47L13/00	7	Implements for cleaning floors, carpets, furniture, walls, or wall coverings (brushes, their handles or fastenings A46B, B25G; scrapers for finishing work on buildings E04F21/00)	A47L13/00	A47L13/00		220
A47L13/02	8	Scraping	A47L13/02	A47L13/02		337
A47L13/022	9	Scraper handles	A47L13/022	A47L13/022		476
A47L13/03	9	Scrapers having provisions for supplying cleaning agents	A47L13/03	A47L13/03		110
A47L13/04	9	with steel wool	A47L13/04	A47L13/04		175
A47L13/06	9	with wire brushes or wire meshes	A47L13/06	A47L13/06		122
A47L13/07	10	Metal sponges (A47L13/022, A47L13/03 take precedence)	A47L13/07	A47L13/07		147
A47L13/08	9	with scraping blades	A47L13/08	A47L13/08		954
A47L13/10	8	Scrubbing; Scouring; Cleaning; Polishing	A47L13/10	A47L13/10		756
A47L13/11	9	Squeegees	A47L13/11	A47L13/11		557
A47L13/12	9	Implements with several different treating devices	A47L13/12	A47L13/12		1380
A47L13/14	9	combined with squeezing or wringing devices	A47L13/14	A47L13/14		337
A47L13/142	10	having torsional squeezing or wringing action	A47L13/142	A47L13/142		492
A47L13/144	10	having squeezing rollers	A47L13/144	A47L13/144		415
A47L13/146	10	having pivoting squeezing plates	A47L13/146	A47L13/146		421
A47L13/16	9	Cloths; Pads; Sponges (metal scraping sponges A47L13/07)	A47L13/16	A47L13/16		3222
A47L13/17	10	containing cleaning agents (A47L13/19 takes precedence {; chemical compositions C11D17/049})	A47L13/17	A47L13/17		1205
A47L13/18	10	Gloves; Glove-like cloths	A47L13/18	A47L13/18		728
A47L13/19	11	containing cleaning agents	A47L13/19	A47L13/19		241
A47L13/20	9	Mops	A47L13/20	A47L13/20		2406
A47L13/22	10	with liquid-feeding devices	A47L13/22	A47L13/22		1133
A47L13/225	11	{Steam mops}	A47L13/22	A47L13/22		514
A47L13/23	11	connectable to the water mains	A47L13/23	A47L13/23		222
