E02F3/84	11	Drives or control devices therefor {, e.g. hydraulic drive systems}	E02F3/84	E02F3/84		498
E02F3/841	12	{Devices for controlling and guiding the whole machine, e.g. by feeler elements and reference lines placed exteriorly of the machine (construction of roads E01C19/008)}	E02F3/84	E02F3/84		491
E02F3/842	13	{using electromagnetic, optical or photoelectric beams, e.g. laser beams}	E02F3/84	E02F3/84		172
E02F3/844	12	{for positioning the blade, e.g. hydraulically}	E02F3/84	E02F3/84		831
E02F3/845	13	{using mechanical sensors to determine the blade position, e.g. inclinometers, gyroscopes, pendulums}	E02F3/84	E02F3/84		281
E02F3/847	13	{using electromagnetic, optical or acoustic beams to determine the blade position, e.g. laser beams}	E02F3/84	E02F3/84		351
E02F3/848	13	{using cable drums}	E02F3/84	E02F3/84		31
E02F3/88	9	with arrangements acting by a sucking or forcing effect, e.g. suction dredgers (pumps in general F04)	E02F3/88	E02F3/88		1754
E02F3/8808	10	{Stationary installations, e.g. installations using spuds or other stationary supports (spuds on floating substructures per seE02F9/062; cleaning the beds of waterways E02B3/02)}	E02F3/88	E02F3/88		312
E02F3/8816	10	{Mobile land installations}	E02F3/88	E02F3/88		573
E02F3/8825	11	{wherein at least a part of the soil-shifting equipment is mounted on a dipper-arm, backhoes or the like}	E02F3/88	E02F3/88		198
E02F3/8833	10	{Floating installations (floating substructures per seE02F9/06)}	E02F3/88	E02F3/88		295
E02F3/8841	11	{wherein at least a part of the soil-shifting equipment is mounted on a ladder or boom}	E02F3/88	E02F3/88		239
E02F3/885	11	{self propelled, e.g. ship}	E02F3/88	E02F3/88		978
E02F3/8858	10	{Submerged units (self propelled units for burying conduits or cables in trenches under water E02F5/105)}	E02F3/88	E02F3/88		327
E02F3/8866	11	{self propelled}	E02F3/88	E02F3/88		259
E02F3/8875	11	{pulled or pushed}	E02F3/88	E02F3/88		125
E02F3/8883	10	{Using the force of explosions, e.g. by the use of internal combustion engines}	E02F3/88	E02F3/88		27
E02F3/8891	10	{wherein at least a part of the soil-shifting equipment is handheld}	E02F3/88	E02F3/88		68
E02F3/90	10	Component parts {, e.g. arrangement or adaptation of pumps}	E02F3/90	E02F3/90		1743
E02F3/902	11	{for modifying the concentration of the dredged material, e.g. relief valves preventing the clogging of the suction pipe}	E02F3/90	E02F3/90		216
E02F3/905	11	{Manipulating or supporting suction pipes or ladders; Mechanical supports or floaters therefor; pipe joints for suction pipes (for heave compensation E02F9/067 takes precedence; pipelines per seE02F7/10; joints for pipes in general F16L)}	E02F3/90	E02F3/90		989
E02F3/907	11	{Measuring or control devices, e.g. control units, detection means or sensors (E02F3/902 takes precedence)}	E02F3/90	E02F3/90		818
E02F3/92	11	Digging elements, e.g. suction heads	E02F3/92	E02F3/92		938
E02F3/9206	12	{Digging devices using blowing effect only, like jets or propellers (E02F5/107 takes precedence; passive suction heads with jets E02F3/925; active suction heads with jets E02F3/9262; drilling by jets E21B7/18; slitting by jets E21C25/60)}	E02F3/92	E02F3/92		341
E02F3/9212	12	{Mechanical digging means, e.g. suction wheels, i.e. wheel with a suction inlet attached behind the wheel (E02F3/9287 takes precedence; active suction heads E02F3/9256)}	E02F3/92	E02F3/92		383
E02F3/9218	13	{with jets}	E02F3/92	E02F3/92		178
E02F3/9225	13	{with rotating cutting elements}	E02F3/92	E02F3/92		298
E02F3/9231	14	{Suction wheels with axis of rotation parallel to longitudinal axis of the suction pipe}	E02F3/92	E02F3/92		491
E02F3/9237	14	{Suction wheels with axis of rotation in transverse direction of the longitudinal axis of the suction pipe}	E02F3/92	E02F3/92		352
E02F3/9243	12	{Passive suction heads with no mechanical cutting means (E02F5/108 takes precedence)}	E02F3/92	E02F3/92		338
E02F3/925	13	{with jets}	E02F3/92	E02F3/92		378
E02F3/9256	12	{Active suction heads; Suction heads with cutting elements, i.e. the cutting elements are mounted within the housing of the suction head (E02F5/108 takes precedence)}	E02F3/92	E02F3/92		401
E02F3/9262	13	{with jets}	E02F3/92	E02F3/92		228
E02F3/9268	13	{with rotating cutting elements}	E02F3/92	E02F3/92		220
E02F3/9275	14	{with axis of rotation parallel to longitudinal axis of the suction pipe}	E02F3/92	E02F3/92		220
E02F3/9281	14	{with axis of rotation in horizontal and transverse direction of the suction pipe}	E02F3/92	E02F3/92		146
E02F3/9287	12	{Vibrating suction heads}	E02F3/92	E02F3/92		60
E02F3/9293	12	{Component parts of suction heads, e.g. edges, strainers for preventing the entry of stones or the like}	E02F3/92	E02F3/92		653
E02F3/94	11	Apparatus for separating stones from the dredged material {, i.e. separating or treating dredged material (screening plants mounted on dredger therefor E02F7/06)}	E02F3/94	E02F3/94		268
E02F3/945	12	{for environmental purposes}	E02F3/94	E02F3/94		32
E02F3/96	9	with arrangements for alternate {or simultaneous} use of different digging elements {(E02F3/7604, E02F3/769, E02F3/78 take precedence; quick-acting devices to connect tools to arms or booms E02F3/3609, for arms to tractors or the like E02F3/627)}	E02F3/96	E02F3/96		1100
E02F3/961	10	{with several digging elements or tools mounted on one machine (for backhoes E02F3/964 takes precedence)}	E02F3/96	E02F3/96		629
E02F3/962	10	{Mounting of implements directly on tools already attached to the machine (E02F3/404 and E02F3/8152 take precedence)}	E02F3/96	E02F3/96		825
E02F3/963	10	{Arrangements on backhoes for alternate use of different tools (backhoes per seE02F3/30; quick-acting devices to connect tools to arms E02F3/3609, for arms to tractors or the like E02F3/627)}	E02F3/96	E02F3/96		668
E02F3/964	11	{of several tools mounted on one machine (E02F3/962 takes precedence)}	E02F3/96	E02F3/96		620
E02F3/965	10	{of metal-cutting or concrete-crushing implements (shearing devices B23D17/00; wrecking of buildings, e.g. tools therefor, E04G23/08)}	E02F3/96	E02F3/96		956
E02F3/966	10	{of hammer-type tools (arrangements for breaking-up hard ground E02F5/305; percussion -type rippers E02F5/323)}	E02F3/96	E02F3/96		1309
E02F3/967	10	{of compacting-type tools (compacting tools in combination with special-purpose dredges or soil-shifting machines E02F5/30)}	E02F3/96	E02F3/96		213
E02F3/968	10	{Storing, handling or otherwise manipulating tools when detached from the machine (E02F3/6273 takes precedence)}	E02F3/96	E02F3/96		227
E02F5/00	7	Dredgers or soil-shifting machines for special purposes	E02F5/00	E02F5/00		428
E02F5/003	8	{for uncovering conduits}	E02F5/00	E02F5/00		196
E02F5/006	8	{adapted for working ground under water not otherwise provided for (E02F3/081, E02F3/4131, E02F3/8833, E02F5/104, E02F5/125, E02F7/005, E02F7/023, E02F7/065, E02F9/026, E02F9/045, E02F9/06 take precedence)}	E02F5/00	E02F5/00		549
