B41M9/00	7	Processes wherein make-ready devices are used (make-ready devices per seB41N6/00)	B41M9/00	B41M9/00		157
B41M9/02	8	Relief make-readies	B41M9/02	B41M9/02		68
B41M9/04	9	photomechanical	B41M9/04	B41M9/04		37
B41M99/00	7	Subject matter not provided for in other groups of this subclass	B41M99/00	B41M99/00		20
B41M2205/00	7	Printing methods or features related to printing methods; Location or type of the layers	CPCONLY	B41M2205/00		8
B41M2205/02	8	Dye diffusion thermal transfer printing (D2T2)	CPCONLY	B41M2205/02		516
B41M2205/04	8	Direct thermal recording [DTR]	CPCONLY	B41M2205/04		780
B41M2205/06	8	relating to melt (thermal) mass transfer	CPCONLY	B41M2205/06		298
B41M2205/08	8	Ablative thermal transfer, i.e. the exposed transfer medium is propelled from the donor to a receptor by generation of a gas	CPCONLY	B41M2205/08		47
B41M2205/10	8	Post-imaging transfer of imaged layer; transfer of the whole imaged layer	CPCONLY	B41M2205/10		160
B41M2205/12	8	Preparation of material for subsequent imaging, e.g. corona treatment, simultaneous coating, pre-treatments	CPCONLY	B41M2205/12		298
B41M2205/14	8	Production or use of a mask	CPCONLY	B41M2205/14		46
B41M2205/16	8	Correction processes or materials	CPCONLY	B41M2205/16		33
B41M2205/18	8	Erasure; Erasable marking; Non-permanent marking	CPCONLY	B41M2205/18		29
B41M2205/20	8	Stability against chemicals, e.g. grease	CPCONLY	B41M2205/20		8
B41M2205/22	8	improving gradation of image	CPCONLY	B41M2205/22		6
B41M2205/24	8	Reactive compound reacting in image receiving layer other than leuco dyes or mordants	CPCONLY	B41M2205/24		17
B41M2205/26	8	Donor or receiver with registry means	CPCONLY	B41M2205/26		25
B41M2205/28	8	Storage stability; Improved self life	CPCONLY	B41M2205/28		38
B41M2205/30	8	Thermal donors, e.g. thermal ribbons	CPCONLY	B41M2205/30		370
B41M2205/32	8	Thermal receivers	CPCONLY	B41M2205/32		458
B41M2205/34	8	Both sides of a layer or material are treated, e.g. coated	CPCONLY	B41M2205/34		127
B41M2205/36	8	Backcoats; Back layers	CPCONLY	B41M2205/36		420
B41M2205/38	8	Intermediate layers; Layers between substrate and imaging layer	CPCONLY	B41M2205/38		835
B41M2205/40	8	Cover layers; Layers separated from substrate by imaging layer; Protective layers; Layers applied before imaging	CPCONLY	B41M2205/40		578
B41M2205/42	8	Multiple imaging layers	CPCONLY	B41M2205/42		126
