E04G13/062	9	{for stairs or steps}	E04G13/06	E04G13/06		535
E04G13/064	9	{for chimney crowns}	E04G13/06	E04G13/06		38
E04G13/066	9	{for overhangs}	E04G13/06	E04G13/06		368
E04G13/068	9	{for window or door sills}	E04G13/06	E04G13/06		110
E04G15/00	7	Forms or shutterings for making openings, cavities, slits, or channels (forming part of shuttering for walls E04G11/06{, e.g. double walls E04G11/18; prefabricated elements with elements wholly or partly embedded therein B28B23/00; core or mandrels for the prefabrication of concrete elements B28B7/28})	E04G15/00	E04G15/00		301
E04G15/02	8	for windows, doors, or the like	E04G15/02	E04G15/02		517
E04G15/04	8	Cores for anchor holes or the like {around anchors embedded in the concrete (means in or on the building element for connecting to handling apparatus E04G21/142)}	E04G15/04	E04G15/04		382
E04G15/06	8	for cavities or channels in walls of floors, e.g. for making chimneys	E04G15/06	E04G15/06		546
E04G15/061	9	{Non-reusable forms (positioning means without forming function E04G21/185; electric distribution boxes H02G3/08)}	E04G15/06	E04G15/06		1319
E04G15/063	9	{Re-usable forms}	E04G15/06	E04G15/06		687
E04G15/065	10	{with mechanical means to modify the section (E04G15/068 takes precedence)}	E04G15/06	E04G15/06		179
E04G15/066	10	{with fluid means to modify the section (E04G15/068 takes precedence)}	E04G15/06	E04G15/06		52
E04G15/068	10	{for channels open towards the surface}	E04G15/06	E04G15/06		188
E04G17/00	7	Connecting or other auxiliary members for forms, falsework structures, or shutterings	E04G17/00	E04G17/00		4208
E04G17/001	8	{Corner fastening or connecting means for forming or stiffening elements (forms for rooms as a whole E04G11/02; forms for vertical ducts E04G11/06; forms for columns E04G13/02)}	E04G17/00	E04G17/00		1649
E04G17/002	8	{Workplatforms, railings; Arrangements for pouring concrete, attached to the form}	E04G17/00	E04G17/00		783
E04G17/004	8	{Strips for creating a chamfered edge}	E04G17/00	E04G17/00		151
E04G17/005	8	{Strips for covering joints between form sections, e.g. to avoid burring or spilling of laitance}	E04G17/00	E04G17/00		523
E04G17/007	8	{Plugs to close openings in forms&apos; surface}	E04G17/00	E04G17/00		145
E04G2017/008	8	{Pin and hole connection type}	E04G17/00	E04G17/00		214
E04G17/02	8	Connecting or fastening means for non-metallic forming or stiffening elements {(E04G17/001 takes precedence)}	E04G17/02	E04G17/02		860
E04G17/04	8	Connecting or fastening means for metallic forming or stiffening elements {, e.g. for connecting metallic elements to non-metallic elements (E04G17/001 takes precedence)}	E04G17/04	E04G17/04		1347
E04G17/042	9	{being tensioned by threaded elements (E04G17/047 takes precedence)}	E04G17/04	E04G17/04		739
E04G17/045	9	{being tensioned by wedge-shaped elements (E04G17/047 takes precedence)}	E04G17/04	E04G17/04		885
E04G17/047	9	{simultaneously tying two facing forms}	E04G17/04	E04G17/04		440
E04G17/06	8	Tying means; Spacers {; Devices for extracting or inserting wall ties (E04G17/047 takes precedence; permanent forms for walls, e.g. with ties E04B2/86)}	E04G17/06	E04G17/06		1281
E04G17/064	9	{Spacers placed on the bottom of the mould}	E04G17/06	E04G17/06		234
E04G17/0642	9	{Devices for extracting or inserting wall ties or parts thereof}	E04G17/06	E04G17/06		131
E04G17/0644	9	{Plug means for tie-holes}	E04G17/06	E04G17/06		197
E04G2017/0646	9	{made of a flat strip, e.g. of metal}	E04G17/06	E04G17/06		286
E04G2017/0648	10	{The strip being twisted}	E04G17/06	E04G17/06		36
E04G17/065	9	Tying means, the tensional elements of which are threaded to enable their fastening or tensioning	E04G17/065	E04G17/065		830
E04G17/0651	10	{One-piece elements}	E04G17/065	E04G17/065		114
E04G17/0652	11	{fully recoverable}	E04G17/065	E04G17/065		384
E04G17/0654	11	{remaining completely or partially embedded in the cast material}	E04G17/065	E04G17/065		149
E04G17/0655	10	{the element consisting of several parts}	E04G17/065	E04G17/065		537
E04G17/0657	11	{fully recoverable}	E04G17/065	E04G17/065		515
E04G17/0658	11	{remaining completely or partially embedded in the cast material}	E04G17/065	E04G17/065		483
E04G17/07	9	Tying means, the tensional elements of which are fastened or tensioned by means of wedge-shaped members	E04G17/07	E04G17/07		290
E04G17/0707	10	{One-piece elements}	E04G17/07	E04G17/07		49
E04G17/0714	11	{fully recoverable}	E04G17/07	E04G17/07		175
E04G17/0721	11	{remaining completely or partially embedded in the cast material}	E04G17/07	E04G17/07		376
E04G17/0728	10	{the element consisting of several parts}	E04G17/07	E04G17/07		83
E04G17/0735	11	{fully recoverable}	E04G17/07	E04G17/07		66
E04G17/0742	11	{remaining completely or partially embedded in the cast material}	E04G17/07	E04G17/07		112
E04G17/075	9	Tying means, the tensional elements of which are fastened or tensioned by other means	E04G17/075	E04G17/075		253
E04G17/0751	10	{One-piece elements}	E04G17/075	E04G17/075		39
E04G17/0752	11	{fully recoverable}	E04G17/075	E04G17/075		103
E04G17/0754	11	{remaining completely or partially embedded in the cast material}	E04G17/075	E04G17/075		275
E04G17/0755	10	{the element consisting of several parts}	E04G17/075	E04G17/075		95
E04G17/0757	11	{fully recoverable}	E04G17/075	E04G17/075		93
E04G17/0758	11	{remaining completely or partially embedded in the cast material}	E04G17/075	E04G17/075		76
E04G17/12	9	with arms engaging the forms	E04G17/12	E04G17/12		394
E04G17/14	8	Bracing or strutting arrangements for formwalls; Devices for aligning forms (E04G25/00 takes precedence; {connecting and aligning E04G17/04})	E04G17/14	E04G17/14		2818
E04G17/16	8	Members, e.g. consoles, for attachment to the wall to support girders, beams, or the like carrying forms or moulds for floors, lintels, or transoms	E04G17/16	E04G17/16		663
E04G17/18	8	Devices for suspending or anchoring form elements to girders placed in ceilings, e.g. hangers	E04G17/18	E04G17/18		470
E04G19/00	7	Auxiliary treatment of forms, e.g. dismantling; Cleaning devices (lubricating compositions C10M)	E04G19/00	E04G19/00		1616
E04G19/003	8	{Arrangements for stabilising the forms or for moving the forms from one place to another (lifting of articles in general B66C1/00)}	E04G19/00	E04G19/00		632
E04G19/006	8	{Cleaning devices}	E04G19/00	E04G19/00		453
