F16F9/0454	10	{characterised by the assembling method or by the mounting arrangement, e.g. mounting of the membrane (F16F9/0409, F16F9/0445 take precedence)}	F16F9/04	F16F9/04		579
F16F9/0463	11	{with separate crimping rings}	F16F9/04	F16F9/04		78
F16F9/0472	10	{characterised by comprising a damping device (with plastic deformation of members F16F7/12; delay devices or arrangements F15B21/10)}	F16F9/04	F16F9/04		269
F16F9/0481	11	{provided in an opening to the exterior atmosphere}	F16F9/04	F16F9/04		100
F16F9/049	10	{multi-chamber units (F16F9/0472, F16F9/05 take precedence)}	F16F9/04	F16F9/04		354
F16F9/05	10	the flexible wall being of the rolling diaphragm type	F16F9/05	F16F9/05		755
F16F9/052	11	{characterised by the bumper}	F16F9/05	F16F9/05		109
F16F9/055	11	{having a double diaphragm construction}	F16F9/05	F16F9/05		48
F16F9/057	11	{characterised by the piston}	F16F9/05	F16F9/05		248
F16F9/06	8	using both gas and liquid {(F16F9/486 take precedence; self-pumping fluid springs B60G17/044)}	F16F9/06	F16F9/06		1009
F16F9/061	9	{Mono-tubular units}	F16F9/06	F16F9/06		478
F16F9/062	9	{Bi-tubular units}	F16F9/06	F16F9/06		551
F16F9/063	9	{comprising a hollow piston rod}	F16F9/06	F16F9/06		420
F16F9/064	9	{Units characterised by the location or shape of the expansion chamber (F16F9/068, F16F9/08 take precedence)}	F16F9/06	F16F9/06		350
F16F9/065	10	{Expansion chamber provided on the upper or lower end of a damper, separately there from or laterally on the damper}	F16F9/06	F16F9/06		305
F16F9/066	9	{Units characterised by the partition, baffle or like element (F16F9/068, F16F9/08 take precedence)}	F16F9/06	F16F9/06		152
F16F9/067	10	{Partitions of the piston type, e.g. sliding pistons}	F16F9/06	F16F9/06		420
F16F9/068	9	{where the throttling of a gas flow provides damping action}	F16F9/06	F16F9/06		74
F16F9/08	9	{where gas is} in a chamber with a flexible wall {(pressurised fluid system accumulators per seF15B1/04)}	F16F9/08	F16F9/08		227
F16F9/081	10	{being of the fluid displacement type, i.e. the piston not comprising damping arrangements (F16F9/096 takes precedence)}	F16F9/08	F16F9/08		50
F16F9/082	10	{characterised by the hydropneumatic accumulator}	F16F9/08	F16F9/08		69
F16F9/084	10	comprising a gas spring contained within a flexible wall, the wall not being in contact with the damping fluid, i.e. mounted externally on the damper cylinder	F16F9/084	F16F9/084		356
F16F9/088	10	comprising a gas spring with a flexible wall provided within the cylinder on the piston rod of a monotubular damper or within the inner tube of a bitubular damper	F16F9/088	F16F9/088		206
F16F9/092	10	comprising a gas spring with a flexible wall provided between the tubes of a bitubular damper	F16F9/092	F16F9/092		206
