A47F9/045	10	{Handling of baskets or shopping trolleys at check-out counters, e.g. unloading, checking}	A47F9/04	A47F9/04		171
A47F9/046	10	{Arrangement of recording means in or on check-out counters (record carriers or readers per seG06K)}	A47F9/04	A47F9/04		217
A47F9/047	11	{for recording self-service articles without cashier or assistant}	A47F9/04	A47F9/04		220
A47F9/048	12	{automatically}	A47F9/04	A47F9/04		174
A47F10/00	7	Furniture or installations specially adapted to particular types of service systems, not otherwise provided for (conveyor aspects B65G; building aspects E04H; coin-freed apparatus G07F)	A47F10/00	A47F10/00		437
A47F2010/005	8	{using RFID elements}	A47F10/00	A47F10/00		114
A47F10/02	8	for self-service type systems, e.g. supermarkets (A47F10/06 takes precedence; hand-carts B62B; baskets B65D)	A47F10/02	A47F10/02		508
A47F2010/025	9	{using stock management systems}	A47F10/02	A47F10/02		232
A47F10/04	9	for storing or handling self-service hand-carts or baskets	A47F10/04	A47F10/04		278
A47F10/045	10	{Row-length limitation means for stored shopping trolleys}	A47F10/04	A47F10/04		30
A47F10/06	8	for restaurant service systems (table equipment A47G{; dirty crockery transport in association with crockery washing machines A47L15/00})	A47F10/06	A47F10/06		1126
A47F2010/065	9	{Food shields;  sneeze guards}	A47F10/06	A47F10/06		139
A47F11/00	7	Arrangements in shop windows, {shop floors} or show cases	A47F11/00	A47F11/00		1268
A47F11/02	8	Removable walls {, scaffolding or the like}; Pillars; Special curtains or the like	A47F11/02	A47F11/02		291
A47F11/04	8	Special arrangements of mirrors or the like	A47F11/04	A47F11/04		212
A47F11/06	8	Means for bringing about special optical effects	A47F11/06	A47F11/06		482
A47F11/08	9	Non-reflecting shop-windows	A47F11/08	A47F11/08		51
A47F11/10	9	Arrangements of light sources	A47F11/10	A47F11/10		2455
A47F13/00	7	Shop or like accessories (devices for drawing-off and cutting paper from a roll B65H; movably-mounted ladders E06C9/06)	A47F13/00	A47F13/00		394
A47F13/04	8	Twine holders or cutters	A47F13/04	A47F13/04		388
A47F13/045	9	{Twine cutters also combined with twine holders}	A47F13/04	A47F13/04		123
A47F13/06	8	Reaching devices (having gripping means B25J)	A47F13/06	A47F13/06		112
A47F13/08	8	Hand implements, e.g. grocers&apos; scoops, ladles, paper-bag holders	A47F13/08	A47F13/08		167
A47F13/085	9	{Shopping-bag holders (A47F9/042 takes precedence)}	A47F13/08	A47F13/08		419
