G09F1/00	7	Cardboard or like show-cards of foldable or flexible material	G09F1/00	G09F1/00		442
G09F13/0481	10	{Signs, boards or panels having a curved shape}	G09F13/04	G09F13/04		212
G09F13/0486	10	{Neon tubes}	G09F13/04	G09F13/04		31
G09F13/049	10	{Edge illuminated signs, boards or panels}	G09F13/04	G09F13/04		317
G09F13/0495	10	{Signs, boards or panels attached to the ground}	G09F13/04	G09F13/04		54
G09F2013/05	10	{indicating exit way or orientation}	G09F13/04	G09F2013/05		882
G09F13/06	9	using individual cut-out symbols or cut-out silhouettes, e.g. perforated signs	G09F13/06	G09F13/06		1172
G09F13/08	9	using both translucent and non-translucent layers	G09F13/08	G09F13/08		912
G09F13/10	10	using transparencies	G09F13/10	G09F13/10		488
G09F13/12	9	using a transparent mirror or other light reflecting surface transparent to transmitted light whereby a sign, symbol, picture or other is visible only when illuminated	G09F13/12	G09F13/12		869
G09F13/14	9	Arrangements of reflectors therein	G09F13/14	G09F13/14		1544
G09F2013/142	10	{multiple reflectors}	G09F13/14	G09F13/14		82
G09F2013/145	10	{curved reflectors}	G09F13/14	G09F13/14		229
G09F2013/147	10	{plane reflectors}	G09F13/14	G09F13/14		96
G09F13/16	8	Signs formed of or incorporating reflecting elements or surfaces, e.g. warning signs having triangular or other geometrical shape	G09F13/16	G09F13/16		2408
G09F13/165	9	{rotatably or swingatly mounted reflecting elements or surfaces}	G09F13/16	G09F13/16		90
G09F13/18	8	Edge-illuminated signs	G09F13/18	G09F13/18		1733
G09F2013/1804	9	{Achieving homogeneous illumination}	G09F13/18	G09F13/18		114
G09F2013/1809	10	{using a non-homogeneous front window}	G09F13/18	G09F13/18		11
G09F2013/1813	11	{provided with a coating showing a pattern of dots of variable density}	G09F13/18	G09F13/18		41
G09F2013/1818	11	{provided with a coating of variable thickness}	G09F13/18	G09F13/18		3
G09F2013/1822	10	{Stair-cased profiled window}	G09F13/18	G09F13/18		19
G09F2013/1827	10	{Prismatic window}	G09F13/18	G09F13/18		59
G09F2013/1831	10	{using more than one light source}	G09F13/18	G09F13/18		251
