E21D15/02	8	Non-telescopic props	E21D15/02	E21D15/02		289
E21D15/04	9	with wooden prop parts joined by double conical connectors	E21D15/04	E21D15/04		19
E21D15/06	9	with parts joined by a lock, with or without slight axial adjustability	E21D15/06	E21D15/06		11
E21D15/08	10	with toggle joint connection	E21D15/08	E21D15/08		22
E21D15/10	10	with dog-clutch or pin-and-hole connection	E21D15/10	E21D15/10		12
E21D15/12	10	with locking devices located near head or foot {(E21D15/08 and E21D15/10 take precedence)}	E21D15/12	E21D15/12		72
E21D15/14	8	Telescopic props (general means for fixing telescopic parts together {F16B7/10})	E21D15/14	E21D15/14		172
E21D15/15	9	Means counteracting entry of dirt; Built-in cleaning devices	E21D15/15	E21D15/15		51
E21D15/155	10	{Built-in cleaning devices}	E21D15/15	E21D15/15		50
E21D15/16	9	with parts held together by positive means, with or without relative sliding movement when the prop is subject to excessive pressure	E21D15/16	E21D15/16		46
E21D15/18	10	with one part resting on a supporting medium, e.g. rubber, sand, bitumen, lead, located in the other part, with or without expulsion or displacement of the medium upon excessive pressure {(clamping pressure between telescopic prop elements by means of granular material E21D15/303)}	E21D15/18	E21D15/18		173
E21D15/20	10	with pawl, pin, cross-piece, or the like engaging with ratchet teeth, notches, holes, or the like, spaced apart at intervals	E21D15/20	E21D15/20		115
E21D15/22	10	with member, pin, cross- piece, or the like, ruptured, sheared through, or permanently deformed upon excessive pressure	E21D15/22	E21D15/22		123
E21D15/24	10	with axial screw-and-nut, rack-and-worm, or like mechanism	E21D15/24	E21D15/24		216
E21D15/26	11	with screw, worm, or the like, not self-locking but normally prevented from rotation by friction members which slip upon excessive pressure	E21D15/26	E21D15/26		52
E21D15/28	9	with parts held relatively to each other by friction or gripping	E21D15/28	E21D15/28		36
E21D15/285	10	{by means of wedges or wedge combinations (details of wedges E21D15/43)}	E21D15/28	E21D15/28		401
E21D15/30	10	by means expanded or contracted by pressure applied through the medium of a fluid or quasi- fluid, e.g. rubber {(setting props E21D15/588, E21D15/589)}	E21D15/30	E21D15/30		19
E21D15/303	11	{by means of granular material (supporting by means of granular material E21D15/18)}	E21D15/30	E21D15/30		23
E21D15/306	11	{by means of a liquid}	E21D15/30	E21D15/30		71
E21D15/32	10	by a deformable collar {or clamping means applied symmetrically inside a locking ring}	E21D15/32	E21D15/32		101
E21D15/325	11	{by a clamping ring}	E21D15/32	E21D15/32		164
E21D15/34	10	by axially- moving balls, rollers, or the like	E21D15/34	E21D15/34		50
E21D15/36	10	by a tiltable collar surrounding one or both parts	E21D15/36	E21D15/36		78
E21D15/38	10	with longitudinally-divided upper or lower prop parts, e.g. interfitting laminations	E21D15/38	E21D15/38		234
E21D15/40	10	Collar or other support gripped to one or both parts by toggle-action, cam, or other member pivoted or similarly mounted	E21D15/40	E21D15/40		129
E21D15/42	10	with special parts to influence the friction	E21D15/42	E21D15/42		128
E21D15/43	10	Details of wedges (friction linings or pads E21D15/42)	E21D15/43	E21D15/43		54
E21D15/435	11	{hydraulic}	E21D15/43	E21D15/43		3
E21D15/44	9	Hydraulic, pneumatic, or hydraulic-pneumatic props {(see also E21D15/51)}	E21D15/44	E21D15/44		1287
E21D15/445	10	{comprising a fluid cushion}	E21D15/44	E21D15/44		30
E21D15/45	10	having closed fluid system, e.g. with built-in pumps or accumulators	E21D15/45	E21D15/45		131
E21D15/46	9	with load-measuring devices; with alarm devices	E21D15/46	E21D15/46		180
E21D15/465	10	{with essential hydraulic or pneumatic details}	E21D15/46	E21D15/46		62
E21D15/48	8	Chocks or the like	E21D15/48	E21D15/48		145
E21D15/483	9	{made of flexible containers, e.g. inflatable, with or without reinforcement, e.g. filled with water, backfilling material or the like (laggings making use of fluid cushions E21D11/157)}	E21D15/48	E21D15/48		153
E21D15/486	9	{with essential hydraulic or pneumatic details}	E21D15/48	E21D15/48		42
E21D15/50	8	Component parts or details of props (E21D15/43, E21D15/58, E21D15/60 take precedence)	E21D15/50	E21D15/50		727
E21D15/502	9	Prop bodies characterised by their shape, e.g. of specified cross-section	E21D15/502	E21D15/502		311
