F16K7/17	10	the diaphragm being actuated by fluid pressure	F16K7/17	F16K7/17		966
F16K7/18	8	with diaphragm secured at one side only, e.g. to be laid on the seat by rolling action	F16K7/18	F16K7/18		179
F16K7/20	8	with a compressible solid closure member	F16K7/20	F16K7/20		200
F16K11/00	7	Multiple-way valves, e.g. mixing valves; Pipe fittings incorporating such valves	F16K11/00	F16K11/00		1084
F16K11/02	8	with all movable sealing faces moving as one unit	F16K11/02	F16K11/02		1156
F16K11/022	9	{comprising a deformable member}	F16K11/02	F16K11/02		423
F16K11/025	10	{with an O-ring}	F16K11/02	F16K11/02		57
F16K11/027	10	{the fluid flowing through a constrictable tubular diaphragm}	F16K11/02	F16K11/02		113
F16K11/04	9	comprising only lift valves	F16K11/04	F16K11/04		791
F16K11/044	10	with movable valve members positioned between valve seats	F16K11/044	F16K11/044		2159
F16K11/0445	11	{Bath/shower selectors}	F16K11/044	F16K11/044		217
F16K11/048	10	with valve seats positioned between movable valve members	F16K11/048	F16K11/048		504
F16K11/052	10	with pivoted closure members, e.g. butterfly valves	F16K11/052	F16K11/052		663
F16K11/0525	11	{the closure members being pivoted around an essentially central axis}	F16K11/052	F16K11/052		372
F16K11/056	10	with ball-shaped valve members	F16K11/056	F16K11/056		379
F16K11/0565	11	{moving in a combined straight line and rotating movement}	F16K11/056	F16K11/056		200
F16K11/06	9	comprising only sliding valves {, i.e. sliding closure elements}	F16K11/06	F16K11/06		293
F16K11/065	10	with linearly sliding closure members	F16K11/065	F16K11/065		1007
F16K11/0655	11	{with flat slides}	F16K11/065	F16K11/065		1076
F16K11/07	11	with cylindrical slides	F16K11/07	F16K11/07		2506
F16K11/0704	12	{comprising locking elements}	F16K11/07	F16K11/07		363
F16K11/0708	12	{comprising means to avoid jamming of the slide or means to modify the flow}	F16K11/07	F16K11/07		412
F16K11/0712	12	{comprising particular spool-valve sealing means}	F16K11/07	F16K11/07		706
F16K11/0716	12	{with fluid passages through the valve member (F16K11/0704, F16K11/0708, F16K11/0712 take precedence)}	F16K11/07	F16K11/07		1366
F16K11/072	10	with pivoted closure members	F16K11/072	F16K11/072		401
F16K11/074	11	with flat sealing faces	F16K11/074	F16K11/074		2410
F16K11/0743	12	{with both the supply and the discharge passages being on one side of the closure plates}	F16K11/074	F16K11/074		1043
F16K11/0746	12	{with two or more closure plates comprising a single lever control}	F16K11/074	F16K11/074		262
F16K11/076	11	with sealing faces shaped as surfaces of solids of revolution	F16K11/076	F16K11/076		752
F16K11/078	10	with pivoted and linearly movable closure members	F16K11/078	F16K11/078		636
F16K11/0782	11	{Single-lever operated mixing valves with closure members having flat sealing faces}	F16K11/078	F16K11/078		309
F16K11/0785	12	{the movable closure member being pivotally supported at one point and being linked to the operating lever at only one other point}	F16K11/078	F16K11/078		50
F16K11/0787	12	{with both the supply and the discharge passages being on the same side of the closure members (F16K11/0785 takes precedence)}	F16K11/078	F16K11/078		576
F16K11/08	9	comprising only taps or cocks	F16K11/08	F16K11/08		447
F16K11/083	10	with tapered plug	F16K11/083	F16K11/083		379
F16K11/0833	11	{having all the connecting conduits situated in a single plane perpendicular to the axis of the plug}	F16K11/083	F16K11/083		220
F16K11/0836	11	{having all the connecting conduits situated in more than one plane perpendicular to the axis of the plug}	F16K11/083	F16K11/083		205
F16K11/085	10	with cylindrical plug	F16K11/085	F16K11/085		1490
F16K11/0853	11	{having all the connecting conduits situated in a single plane perpendicular to the axis of the plug}	F16K11/085	F16K11/085		1048
F16K11/0856	11	{having all the connecting conduits situated in more than one plane perpendicular to the axis of the plug}	F16K11/085	F16K11/085		1007
F16K11/087	10	with spherical plug	F16K11/087	F16K11/087		578
F16K11/0873	11	{the plug being only rotatable around one spindle}	F16K11/087	F16K11/087		759
F16K11/0876	12	{one connecting conduit having the same axis as the spindle}	F16K11/087	F16K11/087		406
F16K11/10	8	with two or more closure members not moving as a unit	F16K11/10	F16K11/10		1288
F16K11/105	9	{Three-way check or safety valves with two or more closure members}	F16K11/10	F16K11/10		506
F16K11/12	9	with one plug turning in another	F16K11/12	F16K11/12		114
F16K11/14	9	operated by one actuating member, e.g. a handle (with one plug turning in another F16K11/12)	F16K11/14	F16K11/14		435
F16K11/16	10	which only slides, or only turns, or only swings in one plane	F16K11/16	F16K11/16		277
F16K11/161	11	{only slides}	F16K11/16	F16K11/16		292
F16K11/163	11	{only turns}	F16K11/16	F16K11/16		251
F16K11/165	12	{with the rotating spindles parallel to the closure members}	F16K11/16	F16K11/16		405
F16K11/166	12	{with the rotating spindles at right angles to the closure members}	F16K11/16	F16K11/16		323
F16K11/168	11	{only swings}	F16K11/16	F16K11/16		192
F16K11/18	10	with separate operating movements for separate closure members	F16K11/18	F16K11/18		566
F16K11/185	11	{with swinging shafts}	F16K11/18	F16K11/18		88
