G08B17/00	7	Fire alarms; Alarms responsive to explosion	G08B17/00	G08B17/00		4829
G08B17/005	8	{for forest fires, e.g. detecting fires spread over a large or outdoors area (fire fighting forest fires A62C3/02)}	G08B17/00	G08B17/00		1264
G08B17/02	8	Mechanical actuation of the alarm, e.g. by the breaking of a wire	G08B17/02	G08B17/02		459
G08B17/04	8	Hydraulic or pneumatic actuation of the alarm, e.g. by change of fluid pressure	G08B17/04	G08B17/04		566
G08B17/06	8	Electric actuation of the alarm, e.g. using a thermally-operated switch	G08B17/06	G08B17/06		7084
G08B17/08	8	Actuation involving the use of explosive means	G08B17/08	G08B17/08		156
G08B17/10	8	Actuation by presence of smoke or gases {, e.g. automatic alarm devices for analysing flowing fluid materials by the use of optical means}	G08B17/10	G08B17/10		8809
G08B17/103	9	using a light emitting and receiving device	G08B17/103	G08B17/103		855
G08B17/107	10	for detecting light-scattering due to smoke	G08B17/107	G08B17/107		1396
G08B17/11	9	using an ionisation chamber for detecting smoke or gas	G08B17/11	G08B17/11		504
G08B17/113	10	Constructional details	G08B17/113	G08B17/113		2169
G08B17/117	9	by using a detection device for specific gases, e.g. combustion products, produced by the fire (G08B17/103, G08B17/11 take precedence)	G08B17/117	G08B17/117		979
G08B17/12	8	Actuation by presence of radiation or particles, e.g. of infrared radiation or of ions	G08B17/12	G08B17/12		2133
G08B17/125	9	{by using a video camera to detect fire or smoke}	G08B17/12	G08B17/12		3538
G08B19/00	7	Alarms responsive to two or more different undesired or abnormal conditions, e.g. burglary and fire, abnormal temperature and abnormal rate of flow	G08B19/00	G08B19/00		3977
G08B19/005	8	{combined burglary and fire alarm systems}	G08B19/00	G08B19/00		1133
G08B19/02	8	Alarm responsive to formation or anticipated formation of ice	G08B19/02	G08B19/02		427
G08B21/00	7	Alarms responsive to a single specified undesired or abnormal condition and not otherwise provided for	G08B21/00	G08B21/00		2382
G08B21/02	8	Alarms for ensuring the safety of persons	G08B21/02	G08B21/02		10679
G08B21/0202	9	{Child monitoring systems using a transmitter-receiver system carried by the parent and the child}	G08B21/02	G08B21/02		819
G08B21/0205	10	{Specific application combined with child monitoring using a transmitter-receiver system}	G08B21/02	G08B21/02		742
G08B21/0208	11	{Combination with audio or video communication, e.g. combination with "baby phone" function}	G08B21/02	G08B21/02		1028
G08B21/0211	11	{Combination with medical sensor, e.g. for measuring heart rate, temperature}	G08B21/02	G08B21/02		1020
G08B21/0213	11	{System disabling if a separation threshold is exceeded (disabling electrical appliances in case of unplugging G08B13/1409)}	G08B21/02	G08B21/02		195
G08B21/0216	10	{Alarm cancellation after generation}	G08B21/02	G08B21/02		177
G08B21/0219	10	{Circuit arrangements}	G08B21/02	G08B21/02		71
G08B21/0222	10	{Message structure or message content, e.g. message protocol}	G08B21/02	G08B21/02		228
G08B21/0225	10	{Monitoring making use of different thresholds, e.g. for different alarm levels}	G08B21/02	G08B21/02		372
G08B21/0227	10	{System arrangements with a plurality of child units}	G08B21/02	G08B21/02		584
G08B21/023	10	{Power management, e.g. system sleep and wake up provisions}	G08B21/02	G08B21/02		443
G08B21/0233	10	{System arrangements with pre-alarms, e.g. when a first distance is exceeded}	G08B21/02	G08B21/02		345
G08B21/0236	10	{Threshold setting}	G08B21/02	G08B21/02		299
G08B21/0238	10	{adding new units to the system}	G08B21/02	G08B21/02		81
G08B21/0241	10	{Data exchange details, e.g. data protocol}	G08B21/02	G08B21/02		38
G08B21/0244	11	{System arrangements wherein the alarm criteria uses signal delay or phase shift}	G08B21/02	G08B21/02		33
G08B21/0247	11	{System arrangements wherein the alarm criteria uses signal strength}	G08B21/02	G08B21/02		483
G08B21/025	11	{System arrangements wherein the alarm criteria uses absence of reply signal after an elapsed time}	G08B21/02	G08B21/02		186
G08B21/0252	11	{System arrangements wherein the child unit emits, i.e. the child unit incorporates the emitter}	G08B21/02	G08B21/02		151
G08B21/0255	11	{System arrangements wherein the parent unit emits, i.e. the parent unit incorporates the emitter}	G08B21/02	G08B21/02		68
G08B21/0258	11	{System arrangements wherein both parent and child units can emit and receive}	G08B21/02	G08B21/02		146
G08B21/0261	10	{System arrangements wherein the object is to detect trespassing over a fixed physical boundary, e.g. the end of a garden}	G08B21/02	G08B21/02		843
G08B21/0263	10	{System arrangements wherein the object is to detect the direction in which child or item is located}	G08B21/02	G08B21/02		344
G08B21/0266	10	{System arrangements wherein the object is to detect the exact distance between parent and child or surveyor and item}	G08B21/02	G08B21/02		512
G08B21/0269	10	{System arrangements wherein the object is to detect the exact location of child or item using a navigation satellite system, e.g. GPS}	G08B21/02	G08B21/02		1946
G08B21/0272	10	{System arrangements wherein the object is to detect exact location of child or item using triangulation other than GPS}	G08B21/02	G08B21/02		530
G08B21/0275	10	{Electronic Article Surveillance [EAS] tag technology used for parent or child unit, e.g. same transmission technology, magnetic tag, RF tag, RFID}	G08B21/02	G08B21/02		624
G08B21/0277	10	{Communication between units on a local network, e.g. Bluetooth, piconet, zigbee, Wireless Personal Area Networks [WPAN]}	G08B21/02	G08B21/02		1155
G08B21/028	10	{Communication between parent and child units via remote transmission means, e.g. satellite network}	G08B21/02	G08B21/02		514
